tenant_key,dataset_version,extraction_id,contract_id,vendor_ref,vendor_name,concept_ref,evidence_class,subject_kind,subject_ref,value_text,value_num,value_bool,source_file_id,source_section,source_page,confidence,review_state
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-M365-001:auto_renew,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,auto_renew,renewal,contract,MER-TECH-M365-001,Contract auto-renews unless written notice is delivered before the notice deadline.,,true,DOC-MER-TECH-M365-001-MSA,Commercial Terms,2,0.92,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-M365-001:notice_period_days,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,notice_period_days,renewal,contract,MER-TECH-M365-001,Renewal or non-renewal notice must be delivered 90 days before term end.,90,,DOC-MER-TECH-M365-001-MSA,Commercial Terms,2,0.94,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-M365-001:benchmarking_clause,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,benchmarking_clause,commercial_right,contract,MER-TECH-M365-001,Benchmarking rights are present.,,,DOC-MER-TECH-M365-001-MSA,Commercial Terms,2,0.9,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-M365-001:termination_rights,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,termination_rights,exit_right,contract,MER-TECH-M365-001,termination for convenience with 120-day notice after year two,,,DOC-MER-TECH-M365-001-MSA,Commercial Terms,2,0.89,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-M365-001:service_credit,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,service_credit,sla,contract,MER-TECH-M365-001,Service credits apply only to platform availability below committed availability threshold.,0.02,,DOC-MER-TECH-M365-001-SLA,Service Levels and Credits,3,0.91,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-M365-001:data_security,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,data_security,compliance,contract,MER-TECH-M365-001,"Vendor must maintain HIPAA-aligned controls, incident notification, access logging, and annual security attestation.",,,DOC-MER-TECH-M365-001-MSA,Commercial Terms,3,0.88,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-M365-001:audit_rights,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,audit_rights,governance,contract,MER-TECH-M365-001,"Client may request supporting delivery, invoice, usage, and SLA records during quarterly business review or dispute process.",,true,DOC-MER-TECH-M365-001-MSA,Commercial Terms,3,0.87,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SFDC-001:auto_renew,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",auto_renew,renewal,contract,MER-TECH-SFDC-001,Contract auto-renews unless written notice is delivered before the notice deadline.,,true,DOC-MER-TECH-SFDC-001-MSA,Commercial Terms,2,0.92,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SFDC-001:notice_period_days,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",notice_period_days,renewal,contract,MER-TECH-SFDC-001,Renewal or non-renewal notice must be delivered 90 days before term end.,90,,DOC-MER-TECH-SFDC-001-MSA,Commercial Terms,2,0.94,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SFDC-001:benchmarking_clause,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",benchmarking_clause,commercial_right,contract,MER-TECH-SFDC-001,Benchmarking rights are limited.,,,DOC-MER-TECH-SFDC-001-MSA,Commercial Terms,2,0.9,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SFDC-001:termination_rights,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",termination_rights,exit_right,contract,MER-TECH-SFDC-001,no convenience termination during committed term,,,DOC-MER-TECH-SFDC-001-MSA,Commercial Terms,2,0.89,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SFDC-001:service_credit,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",service_credit,sla,contract,MER-TECH-SFDC-001,Service credits apply only to platform availability below committed availability threshold.,0.02,,DOC-MER-TECH-SFDC-001-SLA,Service Levels and Credits,3,0.91,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SFDC-001:data_security,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",data_security,compliance,contract,MER-TECH-SFDC-001,"Vendor must maintain HIPAA-aligned controls, incident notification, access logging, and annual security attestation.",,,DOC-MER-TECH-SFDC-001-MSA,Commercial Terms,3,0.88,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SFDC-001:audit_rights,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",audit_rights,governance,contract,MER-TECH-SFDC-001,"Client may request supporting delivery, invoice, usage, and SLA records during quarterly business review or dispute process.",,true,DOC-MER-TECH-SFDC-001-MSA,Commercial Terms,3,0.87,synthetic_demo_reviewed
