system_id,system_name,vendor,category,business_function,criticality,hosting,data_classification,owner,users,year_deployed,contract_expiry,notes
sys:fcfi:cleartouch,FiServ Cleartouch,FiServ,Core Banking,Enterprise,Tier-1,On-premises,Confidential,person:fcfi:karen-nakamura,2800,1998,2028-12-31,"Incumbent core; 1998 vintage; replacement under evaluation (fcfi-core-2026); primary constraint for digital and API capabilities"
sys:fcfi:digital-banking,First Capital Digital Banking Platform,Jack Henry (Banno),Digital Banking,Retail Banking,Tier-1,Cloud (AWS),Confidential,person:fcfi:vincent-morales,312000,2019,2027-06-30,"Consumer online + mobile banking; 68% active user rate; redesign underway"
sys:fcfi:mortgage-cadence,MortgageCadence (LOS),MortgageCadence (an Accenture company),Mortgage Origination,Retail Banking,Tier-1,Cloud (Azure),Confidential,person:fcfi:robert-landon,145,2017,2027-12-31,"Loan origination system for consumer mortgage; pull-through rate 67%; integration to Cleartouch manual"
sys:fcfi:salesforce-fsc,Salesforce Financial Services Cloud,Salesforce,CRM / Wealth CRM,Commercial Banking + Wealth,Tier-2,Cloud (Salesforce),Confidential,person:fcfi:thomas-yuen,280,2021,2027-03-31,"Commercial CRM (68 RMs + ops) and wealth CRM (42 advisors); FSC overlay; two separate instances with no sync"
sys:fcfi:advent-geneva,Advent Geneva (Portfolio Mgmt),SS&C Advent,Portfolio Management,Wealth Management,Tier-1,On-premises,Confidential,person:fcfi:diana-stern,42,2012,2027-09-30,"Primary portfolio management + performance reporting; integration to Salesforce FSC batch-only"
sys:fcfi:orion-wealth,Orion Advisor Technology,Orion,Wealth Client Portal,Wealth Management,Tier-2,Cloud (AWS),Confidential,person:fcfi:diana-stern,4200,2020,2026-09-30,"Client-facing wealth portal; 42% adoption; renewal decision tied to platform consolidation"
sys:fcfi:axiom,Axiom Finance & Regulatory Reporting,Axiom Software,Financial + Regulatory Reporting,Finance,Tier-1,Cloud (Azure),Confidential,person:fcfi:charlotte-reid,35,2016,2028-06-30,"CFO system for management reporting, DFAST, FFIEC call report; 4 of 8 reports still partially manual"
sys:fcfi:actimize,NICE Actimize (AML / Fraud),NICE Actimize,BSA/AML + Fraud Detection,Compliance,Tier-1,On-premises,Confidential - PII,person:fcfi:patricia-holbrook,18,2015,2027-06-30,"Primary BSA/AML and fraud detection; transaction monitoring + SAR workflow; model overdue for validation"
sys:fcfi:secureworks-soc,Secureworks Taegis (SIEM + SOC),Secureworks,Cybersecurity,IT,Tier-1,Cloud (Secureworks),Confidential,person:fcfi:karen-nakamura,8,2022,2026-11-30,"Managed SIEM and 24x7 SOC; MTTD improved from 8.1h to 4.2h since deployment"
sys:fcfi:qualys,Qualys Vulnerability Management,Qualys,Security / Vulnerability Mgmt,IT,Tier-2,Cloud (SaaS),Internal,person:fcfi:karen-nakamura,12,2020,2027-01-31,"Continuous vulnerability scanning; critical patch compliance 91% — below 98% target"
sys:fcfi:servicenow,ServiceNow ITSM,ServiceNow,IT Service Management,IT,Tier-2,Cloud (SaaS),Internal,person:fcfi:karen-nakamura,120,2021,2027-06-30,"IT ticketing, change management, incident tracking; change failure rate tracked here"
sys:fcfi:workday,Workday HCM,Workday,HR Information System,HR,Tier-2,Cloud (SaaS),Confidential - PII,person:fcfi:aisha-nkosi,2800,2020,2028-03-31,"Core HRIS; payroll, benefits, performance; headcount analytics"
sys:fcfi:cornerstone-lms,Cornerstone OnDemand LMS,Cornerstone OnDemand,Learning Management,HR / Compliance,Tier-3,Cloud (SaaS),Internal,person:fcfi:aisha-nkosi,2800,2019,2026-12-31,"Mandatory compliance training delivery; BSA/AML module completion at 87%"
sys:fcfi:regulatory-reporting,Regulatory Capital Reporting (custom),Internal + FiServ,Capital + Regulatory Calc,Risk Management,Tier-1,On-premises,Confidential,person:fcfi:marcus-osei,12,2016,N/A,"Custom calculations layered on Cleartouch extract; DFAST, FFIEC 031, call report; 4 manual steps identified as SOX findings"
sys:fcfi:model-risk-system,Model Risk Management System,Internal (SharePoint-based),Model Inventory + Governance,Risk Management,Tier-3,On-premises,Internal,person:fcfi:marcus-osei,8,2018,N/A,"SharePoint-based model inventory; inadequate for SR 11-7 requirements; replacement in MRM program backlog"
sys:fcfi:regulatory-tracking,Regulatory Issues Tracker,Internal (SharePoint + Excel),Compliance Tracking,Compliance,Tier-3,On-premises,Confidential,person:fcfi:patricia-holbrook,15,2019,N/A,"MRA tracking, complaint management, exam scheduling; manual and fragile; enhancement planned"
sys:fcfi:teammate-audit,TeamMate Audit,Galvanize (Diligent),Internal Audit,Compliance,Tier-3,Cloud (SaaS),Confidential,person:fcfi:patricia-holbrook,8,2021,2027-06-30,"Internal audit workflow and finding tracking; 4 open High/Critical findings as of Q1 2026"
sys:fcfi:bloomberg,Bloomberg Terminal + PORT,Bloomberg,Market Data + Risk Analytics,Risk Management,Tier-2,Bloomberg cloud,Confidential,person:fcfi:marcus-osei,12,2008,Annual renewal,"Market data, securities analytics, VaR calculation; 12 terminals"
sys:fcfi:ncr-atm-mgmt,NCR ATM Management Platform,NCR Atleos,ATM / ITM Operations,Retail Banking,Tier-2,On-premises + cloud hybrid,Internal,person:fcfi:robert-landon,8,2016,2027-03-31,"47-branch fleet management; uptime 98.4% — below 99.2% target; fleet age avg 8.2 years"
sys:fcfi:visa-dps,Visa DPS (Debit Processing),Visa DPS,Card Processing,Retail Banking,Tier-1,Visa hosted,Confidential,person:fcfi:robert-landon,312000,2008,2028-06-30,"Debit card issuing + processing; contactless migration complete 2025; $1,240 spend per active cardholder"
sys:fcfi:fhlb-collateral,FHLB Collateral Management,FHLB Atlanta,Collateral / Liquidity,Risk Management,Tier-2,FHLB hosted,Confidential,person:fcfi:marcus-osei,6,2010,Membership-based,"$380M FHLB advances outstanding; collateral pledging system; liquidity management"
sys:fcfi:market-data,Market Data Feed (Reuters Eikon),LSEG Refinitiv,Market Data,Finance,Tier-3,Cloud (LSEG),Internal,person:fcfi:charlotte-reid,25,2019,2027-12-31,"Market pricing for securities portfolio, equity compensation tracking, TSR calculation"
