tenant_key,domain,raw_row_count,semantic_status,blocking_reason_count,top_blocking_reason
apex-retail,enterprise_profile,1,semantic_pass,0,
apex-retail,business_functions,26,semantic_blocker,1,"substantively_empty_despite_row_count: 26 rows, 0 pass the substantive-row rule for business_functions"
apex-retail,org_ownership,50,semantic_pass,0,
apex-retail,workforce_roles,12,semantic_partial,1,distinct_identity_count 12 below minimum 25 for this company-size band
apex-retail,applications_systems,122,semantic_pass,0,
apex-retail,data_assets_integrations,235,semantic_pass,0,
apex-retail,infrastructure_platforms,0,semantic_blocker,1,zero_rows: this domain is required and has no data for this tenant
apex-retail,vendors_contracts,100,semantic_pass,0,
apex-retail,spend_value,8,semantic_partial,2,substantive_coverage_pct 25% below minimum 60%
apex-retail,programs_initiatives,80,semantic_pass,0,
apex-retail,ai_automation_use_cases,58,semantic_blocker,1,"substantively_empty_despite_row_count: 58 rows, 0 pass the substantive-row rule for ai_automation_use_cases"
apex-retail,risks_controls,135,semantic_pass,0,
apex-retail,relationships,1713,semantic_pass,0,
apex-retail,metrics_outcomes,108,semantic_pass,0,
apex-retail,industry_context_patterns,107,semantic_blocker,1,"substantively_empty_despite_row_count: 107 rows, 0 pass the substantive-row rule for industry_context_patterns"
apex-retail,expert_lenses,5,semantic_blocker,1,"substantively_empty_despite_row_count: 5 rows, 0 pass the substantive-row rule for expert_lenses"
apex-retail,service_scope_managed_services,0,semantic_blocker,1,zero_rows: this domain is required and has no data for this tenant
apex-retail,operational_process_evidence,0,semantic_blocker,1,zero_rows: this domain is required and has no data for this tenant
apex-retail,evidence_sources,5,semantic_partial,1,source_owner coverage 0% below 50%
apex-retail,evidence_items,22,semantic_partial,3,"63.64% of evidence items carry a bare locator/file-path as their summary, not real narrative content (>2 words)"
apex-retail,executive_interviews,0,not_applicable,0,
first-capital-financial,enterprise_profile,1,semantic_pass,0,
first-capital-financial,business_functions,27,semantic_blocker,1,"substantively_empty_despite_row_count: 27 rows, 0 pass the substantive-row rule for business_functions"
first-capital-financial,org_ownership,65,semantic_pass,0,
first-capital-financial,workforce_roles,16,semantic_partial,1,distinct_identity_count 16 below minimum 25 for this company-size band
first-capital-financial,applications_systems,212,semantic_pass,0,
first-capital-financial,data_assets_integrations,114,semantic_pass,0,
first-capital-financial,infrastructure_platforms,0,semantic_blocker,1,zero_rows: this domain is required and has no data for this tenant
first-capital-financial,vendors_contracts,120,semantic_pass,0,
first-capital-financial,spend_value,8,semantic_partial,2,substantive_coverage_pct 25% below minimum 60%
first-capital-financial,programs_initiatives,96,semantic_pass,0,
first-capital-financial,ai_automation_use_cases,146,semantic_blocker,1,"substantively_empty_despite_row_count: 146 rows, 0 pass the substantive-row rule for ai_automation_use_cases"
first-capital-financial,risks_controls,210,semantic_pass,0,
first-capital-financial,relationships,380,semantic_partial,1,distinct_identity_count 18 below minimum 100 for this company-size band
first-capital-financial,metrics_outcomes,157,semantic_pass,0,
first-capital-financial,industry_context_patterns,151,semantic_blocker,1,"substantively_empty_despite_row_count: 151 rows, 0 pass the substantive-row rule for industry_context_patterns"
first-capital-financial,expert_lenses,5,semantic_blocker,1,"substantively_empty_despite_row_count: 5 rows, 0 pass the substantive-row rule for expert_lenses"
first-capital-financial,service_scope_managed_services,0,semantic_blocker,1,zero_rows: this domain is required and has no data for this tenant
first-capital-financial,operational_process_evidence,0,semantic_blocker,1,zero_rows: this domain is required and has no data for this tenant
first-capital-financial,evidence_sources,7,semantic_partial,1,source_owner coverage 0% below 50%
first-capital-financial,evidence_items,266,semantic_partial,1,215 evidence items are normalized-content duplicates of another item under the same source
first-capital-financial,executive_interviews,216,semantic_partial,2,"the v4-candidate executive_interviews schema has no persisted foreign key (evidence_id/source_record_id) back to its derived evidence_items row -- correspondence exists only positionally inside the migration script, not as an auditable column"
lakeshore-holdings,enterprise_profile,1,semantic_pass,0,
lakeshore-holdings,business_functions,14,semantic_blocker,1,"substantively_empty_despite_row_count: 14 rows, 0 pass the substantive-row rule for business_functions"
lakeshore-holdings,org_ownership,8,semantic_pass,0,
lakeshore-holdings,workforce_roles,10,semantic_pass,0,
lakeshore-holdings,applications_systems,24,semantic_partial,1,distinct_identity_count 24 below minimum 25 for this company-size band
lakeshore-holdings,data_assets_integrations,34,semantic_partial,1,distinct_identity_count 34 below minimum 40 for this company-size band
lakeshore-holdings,infrastructure_platforms,0,semantic_blocker,1,zero_rows: this domain is required and has no data for this tenant
lakeshore-holdings,vendors_contracts,19,semantic_pass,0,
lakeshore-holdings,spend_value,86,semantic_partial,1,substantive_coverage_pct 1.16% below minimum 60%
lakeshore-holdings,programs_initiatives,15,semantic_pass,0,
lakeshore-holdings,ai_automation_use_cases,8,semantic_blocker,1,"substantively_empty_despite_row_count: 8 rows, 0 pass the substantive-row rule for ai_automation_use_cases"
lakeshore-holdings,risks_controls,10,semantic_partial,1,distinct_identity_count 10 below minimum 20 for this company-size band
lakeshore-holdings,relationships,364,semantic_partial,1,normalized_duplicate_pct 28.85% above maximum 15%
lakeshore-holdings,metrics_outcomes,12,semantic_pass,0,
lakeshore-holdings,industry_context_patterns,4,semantic_blocker,1,"substantively_empty_despite_row_count: 4 rows, 0 pass the substantive-row rule for industry_context_patterns"
lakeshore-holdings,expert_lenses,4,semantic_blocker,1,"substantively_empty_despite_row_count: 4 rows, 0 pass the substantive-row rule for expert_lenses"
lakeshore-holdings,service_scope_managed_services,0,semantic_blocker,1,zero_rows: this domain is required and has no data for this tenant
lakeshore-holdings,operational_process_evidence,0,semantic_blocker,1,zero_rows: this domain is required and has no data for this tenant
lakeshore-holdings,evidence_sources,7,semantic_partial,1,source_owner coverage 0% below 50%
lakeshore-holdings,evidence_items,18,semantic_pass,0,
lakeshore-holdings,executive_interviews,0,not_applicable,0,
lakeshore-industries,enterprise_profile,8,semantic_pass,0,
lakeshore-industries,business_functions,59,semantic_pass,0,
lakeshore-industries,org_ownership,116,semantic_blocker,1,"substantively_empty_despite_row_count: 116 rows, 0 pass the substantive-row rule for org_ownership"
lakeshore-industries,workforce_roles,22,semantic_blocker,1,"substantively_empty_despite_row_count: 22 rows, 0 pass the substantive-row rule for workforce_roles"
lakeshore-industries,applications_systems,152,semantic_pass,0,
lakeshore-industries,data_assets_integrations,82,semantic_partial,1,distinct_identity_count 82 below minimum 100 for this company-size band
lakeshore-industries,infrastructure_platforms,128,semantic_blocker,2,no_usable_identity: only 0% of rows carry a real identity value (floor: 50%)
lakeshore-industries,vendors_contracts,19,semantic_partial,1,distinct_identity_count 19 below minimum 25 for this company-size band
lakeshore-industries,spend_value,71,semantic_blocker,1,no_usable_identity: only 23.94% of rows carry a real identity value (floor: 50%)
lakeshore-industries,programs_initiatives,36,semantic_pass,0,
lakeshore-industries,ai_automation_use_cases,36,semantic_blocker,1,"substantively_empty_despite_row_count: 36 rows, 0 pass the substantive-row rule for ai_automation_use_cases"
lakeshore-industries,risks_controls,48,semantic_pass,0,
lakeshore-industries,relationships,519,semantic_blocker,2,no_usable_identity: only 0% of rows carry a real identity value (floor: 50%)
lakeshore-industries,metrics_outcomes,236,semantic_pass,0,
lakeshore-industries,industry_context_patterns,24,semantic_blocker,2,no_usable_identity: only 0% of rows carry a real identity value (floor: 50%)
lakeshore-industries,expert_lenses,18,semantic_blocker,2,no_usable_identity: only 0% of rows carry a real identity value (floor: 50%)
lakeshore-industries,service_scope_managed_services,8,semantic_blocker,1,"substantively_empty_despite_row_count: 8 rows, 0 pass the substantive-row rule for service_scope_managed_services"
lakeshore-industries,operational_process_evidence,112,semantic_blocker,2,no_usable_identity: only 0% of rows carry a real identity value (floor: 50%)
lakeshore-industries,evidence_sources,55,semantic_pass,0,
lakeshore-industries,evidence_items,384,semantic_partial,1,"97.92% of evidence items carry a bare locator/file-path as their summary, not real narrative content (>2 words)"
lakeshore-industries,executive_interviews,0,not_applicable,0,
meridian-health,enterprise_profile,2,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (entity_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,business_functions,228,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (function_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,org_ownership,228,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (org_unit, leader_name_or_role) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,workforce_roles,221,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (persona_or_role) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_adapter_id, source_adapter_name, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,applications_systems,241,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (system_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,data_assets_integrations,242,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (data_asset_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,infrastructure_platforms,15,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (platform_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,vendors_contracts,231,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (vendor_name, contract_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,spend_value,298,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (spend_category) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,programs_initiatives,256,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (program_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,ai_automation_use_cases,251,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (use_case_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
