Item_ID,Initiative_ID,Type,Description,Severity,Likelihood,Status,Owner,Due_Date,Mitigation
RAID-000001,INIT-0001,Issue,Issue: Scope creep from stakeholders,Critical,Medium,In Progress,Data Lead,2026-01-12,Mitigation: add resource.
RAID-000002,INIT-0001,Dependency,Dependency: Third-party SLA risk,Critical,Medium,Closed,Security,2026-02-20,Mitigation: rebaseline.
RAID-000003,INIT-0001,Decision,Decision: Scope creep from stakeholders,Critical,High,Escalated,Security,2027-02-13,Mitigation: add resource.
RAID-000004,INIT-0001,Dependency,Dependency: Security finding to remediate,Low,Low,Mitigated,PMO,2027-08-30,Mitigation: rebaseline.
RAID-000005,INIT-0001,Action,Action: Budget overrun risk,Critical,High,Open,PMO,2026-05-25,Mitigation: add resource.
RAID-000006,INIT-0001,Action,Action: Scope creep from stakeholders,High,High,Escalated,Security,2026-08-08,Mitigation: remediate.
RAID-000007,INIT-0001,Dependency,Dependency: Third-party SLA risk,Critical,High,Open,Architecture,2027-07-16,Mitigation: rebaseline.
RAID-000008,INIT-0001,Dependency,Dependency: Skill gap in delivery team,High,High,Mitigated,Data Lead,2026-12-25,Mitigation: escalate.
RAID-000009,INIT-0001,Dependency,Dependency: Security finding to remediate,Low,Low,Closed,Data Lead,2027-12-22,Mitigation: remediate.
RAID-000010,INIT-0002,Dependency,Dependency: Change-adoption resistance,Critical,Low,In Progress,Vendor Manager,2026-04-14,Mitigation: add resource.
RAID-000011,INIT-0002,Action,Action: Scope creep from stakeholders,Critical,High,In Progress,Architecture,2026-11-26,Mitigation: remediate.
RAID-000012,INIT-0002,Dependency,Dependency: Security finding to remediate,High,Medium,Closed,PMO,2027-04-05,Mitigation: add controls.
RAID-000013,INIT-0002,Decision,Decision: Scope creep from stakeholders,Critical,Low,Closed,PMO,2027-03-12,Mitigation: escalate.
RAID-000014,INIT-0002,Risk,Risk: Integration test environment delay,Critical,Medium,Mitigated,Security,2026-03-07,Mitigation: add resource.
RAID-000015,INIT-0002,Action,Action: Security finding to remediate,Critical,High,Mitigated,Business Owner,2027-04-10,Mitigation: risk-accept.
RAID-000016,INIT-0002,Risk,Risk: Regulatory approval pending,Medium,Medium,Escalated,Business Owner,2027-09-24,Mitigation: add controls.
RAID-000017,INIT-0002,Dependency,Dependency: Regulatory approval pending,High,Medium,In Progress,Delivery Lead,2026-04-25,Mitigation: escalate.
RAID-000018,INIT-0002,Risk,Risk: Third-party SLA risk,Low,High,Closed,Security,2026-06-17,Mitigation: rebaseline.
RAID-000019,INIT-0002,Issue,Issue: Key vendor resource availability,High,Medium,Open,Vendor Manager,2026-06-16,Mitigation: remediate.
RAID-000020,INIT-0002,Decision,Decision: Dependency on platform team,High,Low,Mitigated,Delivery Lead,2027-11-01,Mitigation: rebaseline.
RAID-000021,INIT-0002,Dependency,Dependency: Legacy interface instability,Critical,Low,Mitigated,PMO,2026-01-29,Mitigation: rebaseline.
RAID-000022,INIT-0002,Issue,Issue: Scope creep from stakeholders,Low,Medium,Closed,Business Owner,2026-11-22,Mitigation: add resource.
RAID-000023,INIT-0003,Issue,Issue: Key vendor resource availability,Critical,High,Mitigated,Security,2027-11-06,Mitigation: escalate.
RAID-000024,INIT-0003,Risk,Risk: Data quality below threshold,High,Low,Mitigated,Business Owner,2026-01-25,Mitigation: escalate.
RAID-000025,INIT-0003,Risk,Risk: Budget overrun risk,Critical,Medium,In Progress,Data Lead,2027-08-23,Mitigation: rebaseline.
RAID-000026,INIT-0003,Issue,Issue: Skill gap in delivery team,High,High,Escalated,Delivery Lead,2027-12-21,Mitigation: escalate.
RAID-000027,INIT-0003,Action,Action: Data quality below threshold,High,High,In Progress,Business Owner,2026-10-20,Mitigation: risk-accept.
RAID-000028,INIT-0003,Action,Action: Key vendor resource availability,Medium,Medium,In Progress,Security,2027-12-09,Mitigation: escalate.
RAID-000029,INIT-0003,Issue,Issue: Scope creep from stakeholders,Critical,High,In Progress,Delivery Lead,2026-11-18,Mitigation: add resource.
RAID-000030,INIT-0003,Risk,Risk: Regulatory approval pending,Low,Low,Open,Architecture,2026-07-15,Mitigation: risk-accept.
RAID-000031,INIT-0003,Action,Action: Data quality below threshold,Medium,Medium,Escalated,Vendor Manager,2027-09-20,Mitigation: rebaseline.
RAID-000032,INIT-0003,Dependency,Dependency: Dependency on platform team,Medium,Low,Open,Delivery Lead,2027-05-21,Mitigation: remediate.
RAID-000033,INIT-0003,Risk,Risk: Key vendor resource availability,Low,High,Mitigated,Vendor Manager,2027-01-15,Mitigation: remediate.
RAID-000034,INIT-0003,Action,Action: Change-adoption resistance,High,Medium,Mitigated,Business Owner,2026-04-16,Mitigation: add resource.
RAID-000035,INIT-0004,Issue,Issue: Dependency on platform team,Medium,Medium,Closed,PMO,2027-04-14,Mitigation: remediate.
RAID-000036,INIT-0004,Risk,Risk: Regulatory approval pending,Critical,Low,Escalated,Delivery Lead,2027-12-31,Mitigation: escalate.
RAID-000037,INIT-0004,Risk,Risk: Third-party SLA risk,High,Low,In Progress,Delivery Lead,2027-03-19,Mitigation: escalate.
RAID-000038,INIT-0004,Risk,Risk: Security finding to remediate,Critical,High,Closed,PMO,2026-01-02,Mitigation: rebaseline.
RAID-000039,INIT-0004,Risk,Risk: Key vendor resource availability,Critical,High,In Progress,Security,2027-01-12,Mitigation: add controls.
RAID-000040,INIT-0004,Decision,Decision: Regulatory approval pending,Low,Low,In Progress,Architecture,2027-02-20,Mitigation: escalate.
RAID-000041,INIT-0004,Dependency,Dependency: Third-party SLA risk,High,High,Open,Business Owner,2026-10-25,Mitigation: add controls.
RAID-000042,INIT-0004,Decision,Decision: Security finding to remediate,High,High,Open,Vendor Manager,2026-06-29,Mitigation: add resource.
RAID-000043,INIT-0004,Action,Action: Integration test environment delay,Critical,High,Closed,Security,2026-03-07,Mitigation: add resource.
RAID-000044,INIT-0004,Risk,Risk: Legacy interface instability,Medium,Medium,Escalated,Delivery Lead,2027-02-12,Mitigation: risk-accept.
RAID-000045,INIT-0004,Action,Action: Budget overrun risk,Low,High,Mitigated,PMO,2027-08-31,Mitigation: risk-accept.
RAID-000046,INIT-0004,Dependency,Dependency: Security finding to remediate,High,Low,Mitigated,Vendor Manager,2026-06-04,Mitigation: add controls.
RAID-000047,INIT-0004,Dependency,Dependency: Third-party SLA risk,Medium,High,Mitigated,Data Lead,2027-08-03,Mitigation: escalate.
RAID-000048,INIT-0004,Dependency,Dependency: Third-party SLA risk,High,Medium,Open,Business Owner,2027-02-12,Mitigation: add controls.
RAID-000049,INIT-0005,Risk,Risk: Security finding to remediate,Critical,Low,In Progress,Security,2026-11-30,Mitigation: remediate.
RAID-000050,INIT-0005,Issue,Issue: Skill gap in delivery team,High,Medium,In Progress,Business Owner,2026-03-26,Mitigation: escalate.
RAID-000051,INIT-0005,Risk,Risk: Integration test environment delay,Critical,Low,Open,Security,2027-06-12,Mitigation: add resource.
RAID-000052,INIT-0005,Risk,Risk: Dependency on platform team,Medium,Medium,Mitigated,Data Lead,2027-12-06,Mitigation: escalate.
RAID-000053,INIT-0005,Decision,Decision: Regulatory approval pending,Low,High,Open,Architecture,2027-09-21,Mitigation: add resource.
RAID-000054,INIT-0005,Action,Action: Third-party SLA risk,Low,Medium,Mitigated,Architecture,2026-03-18,Mitigation: add resource.
RAID-000055,INIT-0005,Dependency,Dependency: Legacy interface instability,Medium,Medium,Mitigated,Security,2026-10-19,Mitigation: add controls.
RAID-000056,INIT-0005,Action,Action: Data quality below threshold,Critical,Low,Mitigated,Vendor Manager,2026-02-13,Mitigation: escalate.
RAID-000057,INIT-0005,Action,Action: Integration test environment delay,Critical,Low,Escalated,PMO,2027-11-26,Mitigation: rebaseline.
RAID-000058,INIT-0005,Action,Action: Regulatory approval pending,Critical,High,Closed,PMO,2026-12-03,Mitigation: escalate.
RAID-000059,INIT-0005,Risk,Risk: Integration test environment delay,Critical,Low,Open,PMO,2026-07-31,Mitigation: escalate.
RAID-000060,INIT-0006,Risk,Risk: Integration test environment delay,Medium,High,Closed,Data Lead,2027-12-07,Mitigation: rebaseline.
RAID-000061,INIT-0006,Action,Action: Regulatory approval pending,Critical,High,In Progress,Architecture,2027-07-15,Mitigation: remediate.
RAID-000062,INIT-0006,Decision,Decision: Third-party SLA risk,Medium,Medium,In Progress,Delivery Lead,2027-02-27,Mitigation: risk-accept.
RAID-000063,INIT-0006,Risk,Risk: Third-party SLA risk,Critical,Medium,Closed,Data Lead,2027-04-11,Mitigation: rebaseline.
RAID-000064,INIT-0006,Issue,Issue: Integration test environment delay,High,Medium,In Progress,Delivery Lead,2027-10-27,Mitigation: add controls.
RAID-000065,INIT-0006,Decision,Decision: Key vendor resource availability,Critical,Low,Mitigated,Security,2026-09-01,Mitigation: risk-accept.
RAID-000066,INIT-0006,Decision,Decision: Integration test environment delay,Low,Medium,In Progress,Architecture,2027-12-11,Mitigation: add controls.
RAID-000067,INIT-0006,Decision,Decision: Change-adoption resistance,Low,Medium,Escalated,Architecture,2026-09-01,Mitigation: risk-accept.
RAID-000068,INIT-0006,Issue,Issue: Third-party SLA risk,Low,Medium,Escalated,PMO,2026-06-02,Mitigation: add resource.
RAID-000069,INIT-0007,Dependency,Dependency: Security finding to remediate,Low,High,Mitigated,Data Lead,2026-05-24,Mitigation: rebaseline.
RAID-000070,INIT-0007,Risk,Risk: Budget overrun risk,Low,Medium,Escalated,Data Lead,2026-08-27,Mitigation: escalate.
RAID-000071,INIT-0007,Issue,Issue: Integration test environment delay,Low,Medium,Open,PMO,2026-12-11,Mitigation: add resource.
RAID-000072,INIT-0007,Issue,Issue: Scope creep from stakeholders,Medium,High,Mitigated,Security,2027-02-02,Mitigation: add controls.
RAID-000073,INIT-0007,Risk,Risk: Skill gap in delivery team,Medium,Medium,In Progress,Vendor Manager,2026-09-07,Mitigation: add resource.
RAID-000074,INIT-0007,Action,Action: Scope creep from stakeholders,Low,Low,Open,PMO,2026-01-10,Mitigation: rebaseline.
RAID-000075,INIT-0007,Dependency,Dependency: Scope creep from stakeholders,High,Medium,Escalated,Data Lead,2027-06-02,Mitigation: remediate.
RAID-000076,INIT-0007,Action,Action: Third-party SLA risk,Critical,High,In Progress,Security,2026-05-18,Mitigation: remediate.
RAID-000077,INIT-0007,Risk,Risk: Scope creep from stakeholders,High,Medium,In Progress,Security,2026-06-21,Mitigation: risk-accept.
RAID-000078,INIT-0007,Decision,Decision: Skill gap in delivery team,Medium,Low,Open,Delivery Lead,2026-02-23,Mitigation: add controls.
RAID-000079,INIT-0007,Decision,Decision: Integration test environment delay,Medium,Medium,Closed,PMO,2027-10-02,Mitigation: rebaseline.
RAID-000080,INIT-0007,Issue,Issue: Budget overrun risk,Critical,Medium,Open,Security,2027-08-19,Mitigation: add controls.
RAID-000081,INIT-0007,Dependency,Dependency: Scope creep from stakeholders,Critical,High,In Progress,Vendor Manager,2026-11-19,Mitigation: add resource.
RAID-000082,INIT-0007,Decision,Decision: Skill gap in delivery team,Critical,Medium,In Progress,Business Owner,2027-12-29,Mitigation: add controls.
RAID-000083,INIT-0007,Issue,Issue: Change-adoption resistance,Critical,Medium,In Progress,Data Lead,2026-12-02,Mitigation: add controls.
RAID-000084,INIT-0008,Dependency,Dependency: Dependency on platform team,High,Low,Mitigated,Security,2027-06-19,Mitigation: add resource.
RAID-000085,INIT-0008,Dependency,Dependency: Dependency on platform team,Medium,Medium,Closed,PMO,2027-03-18,Mitigation: rebaseline.
RAID-000086,INIT-0008,Risk,Risk: Dependency on platform team,Medium,Low,Closed,Architecture,2027-03-19,Mitigation: rebaseline.
RAID-000087,INIT-0008,Dependency,Dependency: Skill gap in delivery team,Low,Medium,Escalated,Business Owner,2026-04-08,Mitigation: risk-accept.
RAID-000088,INIT-0008,Issue,Issue: Legacy interface instability,Low,Low,Open,PMO,2026-04-09,Mitigation: add controls.
RAID-000089,INIT-0008,Dependency,Dependency: Skill gap in delivery team,High,Medium,Closed,Data Lead,2027-04-19,Mitigation: remediate.
RAID-000090,INIT-0008,Issue,Issue: Change-adoption resistance,High,High,Open,Business Owner,2026-07-15,Mitigation: rebaseline.
