Gov_ID,Initiative_ID,Model_Count,Model_Risk_Tier,HITL,Bias_Monitoring,Drift_Monitoring,Reg_Regime,Responsible_AI_Gate_Status
GOV-0001,INIT-0006,5,2,Y,Periodic,Periodic,NIST RMF,In Review
GOV-0002,INIT-0007,11,1,Y,Periodic,Not Yet,Internal,In Review
GOV-0003,INIT-0008,11,2,N,Active,Not Yet,Internal,Passed
GOV-0004,INIT-0010,3,4,Y,Not Yet,Active,EU AI Act,Conditional
GOV-0005,INIT-0011,9,4,N,Periodic,Not Yet,Internal,Passed
GOV-0006,INIT-0012,5,4,Y,Not Yet,Periodic,NIST RMF,In Review
GOV-0007,INIT-0014,3,2,N,Not Yet,Periodic,NIST RMF,Passed
GOV-0008,INIT-0019,12,4,Y,Periodic,Not Yet,EU AI Act,In Review
GOV-0009,INIT-0020,3,2,N,Periodic,Periodic,NIST RMF,In Review
GOV-0010,INIT-0022,5,1,N,Active,Periodic,NIST RMF,Not Started
GOV-0011,INIT-0024,2,4,N,Periodic,Not Yet,Internal,Not Started
GOV-0012,INIT-0025,5,1,N,Active,Active,EU AI Act,Conditional
GOV-0013,INIT-0026,9,2,Y,Active,Periodic,NIST RMF,In Review
GOV-0014,INIT-0028,8,2,Y,Not Yet,Active,EU AI Act,In Review
GOV-0015,INIT-0029,6,1,N,Periodic,Periodic,EU AI Act,Passed
GOV-0016,INIT-0031,4,1,N,Active,Periodic,NIST RMF,Passed
GOV-0017,INIT-0032,9,2,N,Active,Not Yet,NIST RMF,Passed
GOV-0018,INIT-0037,12,2,Y,Periodic,Active,EU AI Act,Passed
GOV-0019,INIT-0039,5,3,N,Not Yet,Active,Internal,Conditional
GOV-0020,INIT-0041,12,3,Y,Active,Not Yet,NIST RMF,Conditional
GOV-0021,INIT-0045,10,4,Y,Not Yet,Periodic,NIST RMF,In Review
GOV-0022,INIT-0048,6,4,N,Active,Periodic,Internal,In Review
GOV-0023,INIT-0050,12,2,N,Periodic,Periodic,EU AI Act,Not Started
GOV-0024,INIT-0051,2,1,Y,Not Yet,Active,NIST RMF,Conditional
GOV-0025,INIT-0052,1,3,N,Periodic,Periodic,NIST RMF,Conditional
GOV-0026,INIT-0053,8,3,Y,Not Yet,Not Yet,Internal,Passed
GOV-0027,INIT-0056,10,3,N,Periodic,Not Yet,NIST RMF,In Review
GOV-0028,INIT-0058,6,2,N,Periodic,Not Yet,NIST RMF,Conditional
GOV-0029,INIT-0059,1,3,N,Not Yet,Not Yet,NIST RMF,Conditional
GOV-0030,INIT-0060,11,4,Y,Active,Not Yet,Internal,Passed
GOV-0031,INIT-0063,5,3,Y,Periodic,Not Yet,EU AI Act,Not Started
GOV-0032,INIT-0064,6,2,Y,Active,Periodic,Internal,Not Started
GOV-0033,INIT-0065,7,2,N,Active,Not Yet,NIST RMF,In Review
GOV-0034,INIT-0074,8,2,Y,Not Yet,Not Yet,EU AI Act,Conditional
GOV-0035,INIT-0100,9,4,N,Not Yet,Not Yet,NIST RMF,In Review
GOV-0036,INIT-0105,7,3,Y,Periodic,Periodic,Internal,Passed
GOV-0037,INIT-0119,9,3,N,Not Yet,Not Yet,NIST RMF,Conditional
