tenant_key,lens_name,expert_role,questions_to_answer,required_inputs,decision_use,limitations,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
lakeshore-industries,,,,,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,universal-standard-v3,2,,synthetic-demo,bcb6bf1e235e047097251a2b16f147ef6a8d283a2f4bbdb1e383c86356903160,retained_from_active_source,none
lakeshore-industries,,,,,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,universal-standard-v3,3,,synthetic-demo,bcb6bf1e235e047097251a2b16f147ef6a8d283a2f4bbdb1e383c86356903160,retained_from_active_source,none
lakeshore-industries,,,,,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,universal-standard-v3,4,,synthetic-demo,bcb6bf1e235e047097251a2b16f147ef6a8d283a2f4bbdb1e383c86356903160,retained_from_active_source,none
lakeshore-industries,,,,,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,universal-standard-v3,5,,synthetic-demo,bcb6bf1e235e047097251a2b16f147ef6a8d283a2f4bbdb1e383c86356903160,retained_from_active_source,none
lakeshore-industries,,,,,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,universal-standard-v3,6,,synthetic-demo,bcb6bf1e235e047097251a2b16f147ef6a8d283a2f4bbdb1e383c86356903160,retained_from_active_source,none
lakeshore-industries,,,,,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,universal-standard-v3,7,,synthetic-demo,bcb6bf1e235e047097251a2b16f147ef6a8d283a2f4bbdb1e383c86356903160,retained_from_active_source,none
lakeshore-industries,,,,,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,universal-standard-v3,8,,synthetic-demo,bcb6bf1e235e047097251a2b16f147ef6a8d283a2f4bbdb1e383c86356903160,retained_from_active_source,none
lakeshore-industries,,,,,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,universal-standard-v3,9,,synthetic-demo,bcb6bf1e235e047097251a2b16f147ef6a8d283a2f4bbdb1e383c86356903160,retained_from_active_source,none
lakeshore-industries,,,,,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,universal-standard-v3,10,,synthetic-demo,bcb6bf1e235e047097251a2b16f147ef6a8d283a2f4bbdb1e383c86356903160,retained_from_active_source,none
lakeshore-industries,,,,,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/16_expert_lenses.csv,universal-standard-v3,11,,synthetic-demo,bcb6bf1e235e047097251a2b16f147ef6a8d283a2f4bbdb1e383c86356903160,retained_from_active_source,none
