tenant_key,risk_or_control_name,risk_domain,business_function,systems_impacted,severity,likelihood,control_owner,control_status,evidence_required,mitigation_plan,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
lakeshore-industries,Lakeshore Data owner signoff,data_quality,,,high,,Corporate CIO,open,"policy, owner attestation, source-system extract, and control test result",,datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,universal-standard-v3,2,LSH-HOLDCO,synthetic-demo,137a5070d61a3962a19914398f82030647e9024e1107290127777439788e3bf0,retained_from_active_source,none
lakeshore-industries,Lakeshore AI human review control,model_risk,,,high,,Corporate CIO,drafted,"policy, owner attestation, source-system extract, and control test result",,datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,universal-standard-v3,3,LSH-HOLDCO,synthetic-demo,137a5070d61a3962a19914398f82030647e9024e1107290127777439788e3bf0,retained_from_active_source,none
lakeshore-industries,Lakeshore Access and segregation of duties,security,,,critical,,CISO,in_place,"policy, owner attestation, source-system extract, and control test result",,datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,universal-standard-v3,4,LSH-HOLDCO,synthetic-demo,137a5070d61a3962a19914398f82030647e9024e1107290127777439788e3bf0,retained_from_active_source,none
lakeshore-industries,Lakeshore Process baseline evidence,value_proof,,,high,,Corporate CIO,open,"policy, owner attestation, source-system extract, and control test result",,datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,universal-standard-v3,5,LSH-HOLDCO,synthetic-demo,137a5070d61a3962a19914398f82030647e9024e1107290127777439788e3bf0,retained_from_active_source,none
lakeshore-industries,Lakeshore Change-management and adoption plan,change,,,medium,,Corporate CIO,drafted,"policy, owner attestation, source-system extract, and control test result",,datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,universal-standard-v3,6,LSH-HOLDCO,synthetic-demo,137a5070d61a3962a19914398f82030647e9024e1107290127777439788e3bf0,retained_from_active_source,none
lakeshore-industries,Lakeshore Vendor data processing review,third_party,,,medium,,Corporate CIO,open,"policy, owner attestation, source-system extract, and control test result",,datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,universal-standard-v3,7,LSH-HOLDCO,synthetic-demo,137a5070d61a3962a19914398f82030647e9024e1107290127777439788e3bf0,retained_from_active_source,none
lakeshore-industries,Northline Data owner signoff,data_quality,,,high,,Northline CIO,open,"policy, owner attestation, source-system extract, and control test result",,datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,universal-standard-v3,8,LSH-OPCO-NLS,synthetic-demo,137a5070d61a3962a19914398f82030647e9024e1107290127777439788e3bf0,retained_from_active_source,none
lakeshore-industries,Northline AI human review control,model_risk,,,high,,Northline CIO,drafted,"policy, owner attestation, source-system extract, and control test result",,datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,universal-standard-v3,9,LSH-OPCO-NLS,synthetic-demo,137a5070d61a3962a19914398f82030647e9024e1107290127777439788e3bf0,retained_from_active_source,none
lakeshore-industries,Northline Access and segregation of duties,security,,,critical,,CISO,in_place,"policy, owner attestation, source-system extract, and control test result",,datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,universal-standard-v3,10,LSH-OPCO-NLS,synthetic-demo,137a5070d61a3962a19914398f82030647e9024e1107290127777439788e3bf0,retained_from_active_source,none
lakeshore-industries,Northline Process baseline evidence,value_proof,,,high,,Northline CIO,open,"policy, owner attestation, source-system extract, and control test result",,datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,2026-07-06,,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",datasets/tenant-inputs/active/lakeshore-industries/current/11_risks_controls.csv,universal-standard-v3,11,LSH-OPCO-NLS,synthetic-demo,137a5070d61a3962a19914398f82030647e9024e1107290127777439788e3bf0,retained_from_active_source,none
