tenant_key,entity_id,entity_name,entity_scope,function_id,function_name,executive_owner_role,head_count,description,source_file,source_row,value_source,source_basis
lakeshore-industries,LSH-CORP,Corporate Shared Services,shared_services,CORP-BF-001,Corporate Finance and Treasury,Group CFO / Treasurer,135,"Cash, treasury, consolidation, FP&A standards, close oversight",datasets/lakeshore-holdings-synthetic-v6/holdco_tower/H01_entity_hierarchy.csv,2,synthetic_pilot_reconciled,approved_holdco_contract
lakeshore-industries,LSH-CORP,Corporate Shared Services,shared_services,CORP-BF-002,"HR, Legal, Risk and Procurement Shared Services",CHRO / General Counsel / CPO,210,"Shared HR, legal, vendor governance, risk, and procurement support",datasets/lakeshore-holdings-synthetic-v6/holdco_tower/H01_entity_hierarchy.csv,3,synthetic_pilot_reconciled,approved_holdco_contract
lakeshore-industries,LSH-CORP,Corporate Shared Services,shared_services,CORP-BF-003,"Corporate IT, Cybersecurity, Data and AI",Group CIO / CISO / CDO,265,"Shared platforms, cyber, data governance, AI enablement, integration standards",datasets/lakeshore-holdings-synthetic-v6/holdco_tower/H01_entity_hierarchy.csv,4,synthetic_pilot_reconciled,approved_holdco_contract
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,NLS-BF-001,Supply Chain Operations,Northline COO,2300,"Distribution, transportation, warehousing, cold-chain operations",datasets/lakeshore-holdings-synthetic-v6/holdco_tower/H01_entity_hierarchy.csv,5,synthetic_pilot_reconciled,approved_holdco_contract
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,NLS-BF-002,"Customer, Sales and Local IT",Northline CEO / CIO,3700,"Commercial operations, support, analytics, local application and site IT",datasets/lakeshore-holdings-synthetic-v6/holdco_tower/H01_entity_hierarchy.csv,6,synthetic_pilot_reconciled,approved_holdco_contract
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,BMS-BF-001,"Campaign, Loyalty and Fulfillment Operations",Brightmark COO,1550,"Marketing services delivery, fulfillment, retail promotion execution",datasets/lakeshore-holdings-synthetic-v6/holdco_tower/H01_entity_hierarchy.csv,7,synthetic_pilot_reconciled,approved_holdco_contract
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,BMS-BF-002,"Client Services, Analytics and Local IT",Brightmark CEO / CIO,900,"Account teams, campaign analytics, local SaaS and data operations",datasets/lakeshore-holdings-synthetic-v6/holdco_tower/H01_entity_hierarchy.csv,8,synthetic_pilot_reconciled,approved_holdco_contract
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,FFF-BF-001,Manufacturing and Product Operations,Forge & Field COO,890,"Product operations, quality, supplier coordination, plant execution",datasets/lakeshore-holdings-synthetic-v6/holdco_tower/H01_entity_hierarchy.csv,9,synthetic_pilot_reconciled,approved_holdco_contract
lakeshore-industries,LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,FFF-BF-002,"Commerce, Brand and Local IT",Forge & Field CEO / CIO,640,"Retail, DTC commerce, product data, local IT and analytics",datasets/lakeshore-holdings-synthetic-v6/holdco_tower/H01_entity_hierarchy.csv,10,synthetic_pilot_reconciled,approved_holdco_contract
lakeshore-industries,LSH-OPCO-GLP,Great Lakes Pantry Services,portfolio_company,GLP-BF-001,Foodservice Field Operations,Great Lakes Pantry COO,830,"Route operations, micro-market service, onsite dining operations",datasets/lakeshore-holdings-synthetic-v6/holdco_tower/H01_entity_hierarchy.csv,11,synthetic_pilot_reconciled,approved_holdco_contract
lakeshore-industries,LSH-OPCO-GLP,Great Lakes Pantry Services,portfolio_company,GLP-BF-002,"Customer Experience, Procurement and Local IT",Great Lakes Pantry CEO / CIO,380,"Customer service, inventory planning, local systems and reporting",datasets/lakeshore-holdings-synthetic-v6/holdco_tower/H01_entity_hierarchy.csv,12,synthetic_pilot_reconciled,approved_holdco_contract
