entity_id,entity_name,entity_scope,parent_entity_id,parent_entity_name,portfolio_company_id,portfolio_company_name,team_id,team_name,executive_owner_role,leader_name,reports_to_role,domain,head_count_fte,offshore_pct,annual_budget_usd,decision_rights,key_initiatives_owned,source_file,source_row,value_source
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-001-corporate-cio,Corporate shared services,Corporate CIO,Maya Okafor,CEO,IT,28,,190600000,"Technology strategy, platform standards, AI/data governance",entity-spine data foundation; ERP rationalization; shared-services platform standardization,V7_03_org_ownership.csv,2,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-002-cfo,Corporate shared services,CFO,Victor Hale,CEO,Business,74,,7120000000,"Finance, treasury, FP&A, value realization",Kyriba control evidence; close automation; value-realization office,V7_03_org_ownership.csv,3,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-003-vp-innovation,Corporate shared services,VP Innovation,Elena Marchetti,Corporate CIO,Business,18,,11800000,"AI and automation portfolio, use-case intake, experiment governance",AI use-case intake; automation factory; 90-day value proof sprints,V7_03_org_ownership.csv,4,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-004-chro,Corporate shared services,CHRO,Marcus Keller,CEO,Business,42,,0,HR shared services and workforce modernization,HR service delivery modernization; employee knowledge assistant,V7_03_org_ownership.csv,5,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-005-general-counsel,Corporate shared services,General Counsel,Priya Walker,CEO,Business,16,,2100000,"Legal, compliance, contracting, outside counsel",contract AI intake; matter triage; outside-counsel spend governance,V7_03_org_ownership.csv,6,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-006-ciso,Corporate shared services,CISO,Daniel Shah,Corporate CIO,IT,31,,24778000,"Cybersecurity, identity, risk posture",identity posture; privileged access; AI security controls,V7_03_org_ownership.csv,7,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-007-chief-data-officer,Corporate shared services,Chief Data Officer,Sofia Ortiz,Corporate CIO,IT,26,,26684000,"Data platform, semantic layer, data quality",semantic layer certification; data product ownership; lineage and data quality observability,V7_03_org_ownership.csv,8,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-008-treasurer,Corporate shared services,Treasurer,Jordan Donnelly,CFO,Business,11,,22872000,"Cash, liquidity, payments, bank relationships",Kyriba control evidence; close automation; value-realization office,V7_03_org_ownership.csv,9,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-009-vp-enterprise-applicatio,Corporate shared services,VP Enterprise Applications,Leah Santos,Corporate CIO,Business,54,,59086000,"ERP, EPM, HCM, CLM, enterprise app portfolio",entity-spine data foundation; ERP rationalization; shared-services platform standardization,V7_03_org_ownership.csv,10,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-010-vp-it-operations,Corporate shared services,VP IT Operations,Nolan Shah,Corporate CIO,IT,88,,13342000,"ITSM, infrastructure, endpoint, service delivery",shared-services operating model; service catalog; performance governance,V7_03_org_ownership.csv,11,tenant_file
