stage,approved_process_name,reserved_aca_job_name,managed_identity,database_role,status
01_register_source,airline-demo-new-source-register-v1,job-airdn-source-register-lab,mi-airdn-ingest-lab-001,airline_demo_new_ingest,plan_only_ready
03_parse_source,airline-demo-new-source-parse-v1,job-airdn-source-parse-lab,mi-airdn-ingest-lab-001,airline_demo_new_ingest,plan_only_ready
04_extract_evidence,airline-demo-new-evidence-extract-v1,job-airdn-evidence-extract-lab,mi-airdn-ingest-lab-001,airline_demo_new_ingest,plan_only_ready
05_normalize_values,airline-demo-new-knowledge-normalize-v1,job-airdn-normalize-lab,mi-airdn-ingest-lab-001,airline_demo_new_ingest,plan_only_ready
06_resolve_identity,airline-demo-new-entity-resolve-v1,job-airdn-entity-resolve-lab,mi-airdn-ingest-lab-001,airline_demo_new_ingest,plan_only_ready
07_validate_semantics,airline-demo-new-knowledge-validate-v1,job-airdn-validate-lab,mi-airdn-ingest-lab-001,airline_demo_new_ingest,plan_only_ready
09_route_review_quarantine,airline-demo-new-knowledge-review-v1,job-airdn-review-apply-lab,mi-airdn-review-lab-001,airline_demo_new_reviewer,plan_only_ready
11_publish_domain,airline-demo-new-domain-publish-v1,job-airdn-domain-publish-lab,mi-airdn-publish-lab-001,airline_demo_new_publisher,plan_only_ready
12_publish_baseline,airline-demo-new-baseline-publish-v1,job-airdn-baseline-publish-lab,mi-airdn-publish-lab-001,airline_demo_new_publisher,plan_only_ready
13_build_module_projections,airline-demo-new-projection-build-v1,job-airdn-projection-build-lab,mi-airdn-publish-lab-001,airline_demo_new_publisher,plan_only_ready
14_refresh_home_readmodel,airline-demo-new-home-readmodel-v1,job-airdn-home-readmodel-lab,mi-airdn-publish-lab-001,airline_demo_new_publisher,plan_only_ready
15_backfill_replay,airline-demo-new-knowledge-backfill-v1,job-airdn-backfill-lab,mi-airdn-ingest-lab-001,airline_demo_new_ingest,plan_only_ready
16_reconciliation_audit,airline-demo-new-reconciliation-audit-v1,job-airdn-reconcile-audit-lab,mi-airdn-evaluator-lab-001,airline_demo_new_evaluator,plan_only_ready
17_cube_metric_parity,airline-demo-new-metric-parity-v1,job-airdn-metric-parity-lab,mi-airdn-evaluator-lab-001,airline_demo_new_evaluator,plan_only_ready
