source_file_id,title,instrument,dataclass,last_updated,depth_score
MR-SRC-001,CIO 30-60-90 memo 1,interview,confidential,2026-01-15,8
MR-SRC-002,CMIO ambient documentation playbook 2,workbook,internal,2026-02-15,9
MR-SRC-003,CFO renewal calendar workbook 3,contract_extract,internal,2026-03-15,10
MR-SRC-004,Board pack excerpt 4,charter,confidential,2026-04-15,8
MR-SRC-005,Joint Commission readiness note 5,survey,internal,2026-05-15,9
MR-SRC-006,HIMSS Most Wired attestation 6,regulatory_checklist,internal,2026-01-15,10
MR-SRC-007,CalAIM contract excerpt 7,interview,confidential,2026-02-15,8
MR-SRC-008,CISO AI platform policy 8,workbook,internal,2026-03-15,9
MR-SRC-009,CIO 30-60-90 memo 9,contract_extract,internal,2026-04-15,10
MR-SRC-010,CMIO ambient documentation playbook 10,charter,confidential,2026-05-15,8
MR-SRC-011,CFO renewal calendar workbook 11,survey,internal,2026-01-15,9
MR-SRC-012,Board pack excerpt 12,regulatory_checklist,internal,2026-02-15,10
MR-SRC-013,Joint Commission readiness note 13,interview,confidential,2026-03-15,8
MR-SRC-014,HIMSS Most Wired attestation 14,workbook,internal,2026-04-15,9
MR-SRC-015,CalAIM contract excerpt 15,contract_extract,internal,2026-05-15,10
MR-SRC-016,CISO AI platform policy 16,charter,confidential,2026-01-15,8
MR-SRC-017,CIO 30-60-90 memo 17,survey,internal,2026-02-15,9
MR-SRC-018,CMIO ambient documentation playbook 18,regulatory_checklist,internal,2026-03-15,10
MR-SRC-019,CFO renewal calendar workbook 19,interview,confidential,2026-04-15,8
MR-SRC-020,Board pack excerpt 20,workbook,internal,2026-05-15,9
MR-SRC-021,Joint Commission readiness note 21,contract_extract,internal,2026-01-15,10
MR-SRC-022,HIMSS Most Wired attestation 22,charter,confidential,2026-02-15,8
MR-SRC-023,CalAIM contract excerpt 23,survey,internal,2026-03-15,9
MR-SRC-024,CISO AI platform policy 24,regulatory_checklist,internal,2026-04-15,10
MR-SRC-025,CIO 30-60-90 memo 25,interview,confidential,2026-05-15,8
MR-SRC-026,CMIO ambient documentation playbook 26,workbook,internal,2026-01-15,9
MR-SRC-027,CFO renewal calendar workbook 27,contract_extract,internal,2026-02-15,10
MR-SRC-028,Board pack excerpt 28,charter,confidential,2026-03-15,8
MR-SRC-029,Joint Commission readiness note 29,survey,internal,2026-04-15,9
MR-SRC-030,HIMSS Most Wired attestation 30,regulatory_checklist,internal,2026-05-15,10
MR-SRC-031,CalAIM contract excerpt 31,interview,confidential,2026-01-15,8
MR-SRC-032,CISO AI platform policy 32,workbook,internal,2026-02-15,9
MR-SRC-033,CIO 30-60-90 memo 33,contract_extract,internal,2026-03-15,10
MR-SRC-034,CMIO ambient documentation playbook 34,charter,confidential,2026-04-15,8
MR-SRC-035,CFO renewal calendar workbook 35,survey,internal,2026-05-15,9
MR-SRC-036,Board pack excerpt 36,regulatory_checklist,internal,2026-01-15,10
MR-SRC-037,Joint Commission readiness note 37,interview,confidential,2026-02-15,8
MR-SRC-038,HIMSS Most Wired attestation 38,workbook,internal,2026-03-15,9
MR-SRC-039,CalAIM contract excerpt 39,contract_extract,internal,2026-04-15,10
MR-SRC-040,CISO AI platform policy 40,charter,confidential,2026-05-15,8
MR-SRC-041,CIO 30-60-90 memo 41,survey,internal,2026-01-15,9
MR-SRC-042,CMIO ambient documentation playbook 42,regulatory_checklist,internal,2026-02-15,10
MR-SRC-043,CFO renewal calendar workbook 43,interview,confidential,2026-03-15,8
MR-SRC-044,Board pack excerpt 44,workbook,internal,2026-04-15,9
MR-SRC-045,Joint Commission readiness note 45,contract_extract,internal,2026-05-15,10
MR-SRC-046,HIMSS Most Wired attestation 46,charter,confidential,2026-01-15,8
MR-SRC-047,CalAIM contract excerpt 47,survey,internal,2026-02-15,9
MR-SRC-048,CISO AI platform policy 48,regulatory_checklist,internal,2026-03-15,10
