tenant_key,interview_id,source_version_id,interview_group,executive_area,stakeholder_role,question_id,question,answer,priority_theme,pain_point,initiative_link,business_priority,evidence_needed,interview_date,confidence,approval_status,known_gaps
skyharbor-air,SHA-INT-01-Q01,SRCV-SKYHARBORAIR-24B88DC6CAF3,CEO / enterprise strategy,Enterprise strategy,CEO,Q01,Which enterprise decision is blocked by missing evidence?,"CEO says IROPS Resilience and Recovery and Maintenance troubleshooting assistant are useful candidate planning topics, but the team needs flight planning platform lineage, PCI control evidence, and owner signoff before active runtime or value claims.",decision readiness,decision confidence,IROPS Resilience and Recovery,IROPS Resilience and Recovery,flight planning platform lineage; PCI control evidence; finance baseline; owner attestation,2026-07-17,high,candidate,
skyharbor-air,SHA-INT-01-Q02,SRCV-SKYHARBORAIR-24B88DC6CAF3,CEO / enterprise strategy,Enterprise strategy,CEO,Q02,Which operating constraint creates the most friction?,"CEO says Passenger Service Modernization and Contact center agent assist are useful candidate planning topics, but the team needs operations control and IROPS platform lineage, cyber risk control evidence, and owner signoff before active runtime or value claims.",operating model,operational friction,Contact center agent assist,Contact center agent assist,operations control and IROPS platform lineage; cyber risk control evidence; finance baseline; owner attestation,2026-07-17,medium,candidate,
skyharbor-air,SHA-INT-01-Q03,SRCV-SKYHARBORAIR-24B88DC6CAF3,CEO / enterprise strategy,Enterprise strategy,CEO,Q03,Which data lineage gap should be fixed first?,"CEO says Loyalty Platform Modernization and Passenger rebooking personalization are useful candidate planning topics, but the team needs maintenance and MRO platform lineage, identity and access control evidence, and owner signoff before active runtime or value claims.",data lineage,lineage uncertainty,Passenger rebooking personalization,Passenger rebooking personalization,maintenance and MRO platform lineage; identity and access control evidence; finance baseline; owner attestation,2026-07-17,medium,candidate,
skyharbor-air,SHA-INT-01-Q04,SRCV-SKYHARBORAIR-24B88DC6CAF3,CEO / enterprise strategy,Enterprise strategy,CEO,Q04,Which system dependency creates the greatest risk?,"CEO says Crew Operations Optimization and Baggage recovery prediction are useful candidate planning topics, but the team needs cargo management platform lineage, vendor concentration control evidence, and owner signoff before active runtime or value claims.",systems,integration risk,Crew Operations Optimization,Crew Operations Optimization,cargo management platform lineage; vendor concentration control evidence; finance baseline; owner attestation,2026-07-17,high,candidate,
skyharbor-air,SHA-INT-01-Q05,SRCV-SKYHARBORAIR-24B88DC6CAF3,CEO / enterprise strategy,Enterprise strategy,CEO,Q05,Which vendor obligation needs contract evidence?,"CEO says Maintenance Predictive Analytics Foundation and Airport turnaround risk predictor are useful candidate planning topics, but the team needs revenue management platform lineage, model explainability control evidence, and owner signoff before active runtime or value claims.",vendor,contract evidence,Airport turnaround risk predictor,Airport turnaround risk predictor,revenue management platform lineage; model explainability control evidence; finance baseline; owner attestation,2026-07-17,high,candidate,
skyharbor-air,SHA-INT-01-Q06,SRCV-SKYHARBORAIR-24B88DC6CAF3,CEO / enterprise strategy,Enterprise strategy,CEO,Q06,Which budget line needs a finance-approved baseline?,"CEO says Airport Turnaround Performance Program and Revenue management scenario assistant are useful candidate planning topics, but the team needs loyalty platform lineage, human-in-the-loop operations control evidence, and owner signoff before active runtime or value claims.",finance,baseline proof,Revenue management scenario assistant,Revenue management scenario assistant,loyalty platform lineage; human-in-the-loop operations control evidence; finance baseline; owner attestation,2026-07-17,medium,candidate,
skyharbor-air,SHA-INT-01-Q07,SRCV-SKYHARBORAIR-24B88DC6CAF3,CEO / enterprise strategy,Enterprise strategy,CEO,Q07,Which control blocks AI movement beyond pilot?,"CEO says Data Platform and Lakehouse Foundation and Loyalty next-best-action assistant are useful candidate planning topics, but the team needs ecommerce and mobile app lineage, incident response control evidence, and owner signoff before active runtime or value claims.",AI governance,control gate,Data Platform and Lakehouse Foundation,Data Platform and Lakehouse Foundation,ecommerce and mobile app lineage; incident response control evidence; finance baseline; owner attestation,2026-07-17,medium,candidate,
skyharbor-air,SHA-INT-01-Q08,SRCV-SKYHARBORAIR-24B88DC6CAF3,CEO / enterprise strategy,Enterprise strategy,CEO,Q08,Which workforce role needs change evidence?,"CEO says Contact Center Experience Transformation and Flight operations knowledge assistant are useful candidate planning topics, but the team needs customer CRM lineage, airport-local operating variation control evidence, and owner signoff before active runtime or value claims.",workforce,adoption proof,Flight operations knowledge assistant,Flight operations knowledge assistant,customer CRM lineage; airport-local operating variation control evidence; finance baseline; owner attestation,2026-07-17,high,candidate,
skyharbor-air,SHA-INT-01-Q09,SRCV-SKYHARBORAIR-24B88DC6CAF3,CEO / enterprise strategy,Enterprise strategy,CEO,Q09,Which metric should Tower validate before executives act?,"CEO says Revenue Management Modernization and IT incident and change-risk copilot are useful candidate planning topics, but the team needs contact center platform lineage, reservation-system dependency control evidence, and owner signoff before active runtime or value claims.",metrics,measurement gap,IT incident and change-risk copilot,IT incident and change-risk copilot,contact center platform lineage; reservation-system dependency control evidence; finance baseline; owner attestation,2026-07-17,high,candidate,
skyharbor-air,SHA-INT-01-Q10,SRCV-SKYHARBORAIR-24B88DC6CAF3,CEO / enterprise strategy,Enterprise strategy,CEO,Q10,Which handoff should Moves or Source receive only after evidence closes?,"CEO says Cloud Resilience and Cyber Program and Procurement and vendor contract intelligence are useful candidate planning topics, but the team needs baggage tracking platform lineage, cloud resilience control evidence, and owner signoff before active runtime or value claims.",handoff,evidence gate,Cloud Resilience and Cyber Program,Cloud Resilience and Cyber Program,baggage tracking platform lineage; cloud resilience control evidence; finance baseline; owner attestation,2026-07-17,medium,candidate,
