tenant_key,row_ref,input_file,source_version_id,source_identity_method,source_identity_confidence,notes
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/templates/V6_13_evidence_sources.csv#2,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/templates/V6_13_evidence_sources.csv,SRCV-SKYHARBORAIR-5323395121D1,unspecified,unspecified,
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/templates/V6_13_evidence_sources.csv#3,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/templates/V6_13_evidence_sources.csv,SRCV-SKYHARBORAIR-5323395121D1,unspecified,unspecified,
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/templates/V6_13_evidence_sources.csv#4,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/templates/V6_13_evidence_sources.csv,SRCV-SKYHARBORAIR-5323395121D1,unspecified,unspecified,
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/templates/V6_13_evidence_sources.csv#5,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/templates/V6_13_evidence_sources.csv,SRCV-SKYHARBORAIR-5323395121D1,unspecified,unspecified,
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_13_source_evidence_registry.csv#2,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_13_source_evidence_registry.csv,SRCV-SKYHARBORAIR-500E0DCFD516,unspecified,unspecified,
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_13_source_evidence_registry.csv#3,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_13_source_evidence_registry.csv,SRCV-SKYHARBORAIR-43D9A183936D,unspecified,unspecified,
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_13_source_evidence_registry.csv#4,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_13_source_evidence_registry.csv,SRCV-SKYHARBORAIR-2F3FE7F546FE,unspecified,unspecified,
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_13_source_evidence_registry.csv#5,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_13_source_evidence_registry.csv,SRCV-SKYHARBORAIR-9CDB3BA9F07C,unspecified,unspecified,
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_20_chunk_retrieval_registry.csv#2,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_20_chunk_retrieval_registry.csv,SRCV-SKYHARBORAIR-7371ABE8FBE0,unspecified,unspecified,
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_20_chunk_retrieval_registry.csv#3,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_20_chunk_retrieval_registry.csv,SRCV-SKYHARBORAIR-E1D80D966A3E,unspecified,unspecified,
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_20_chunk_retrieval_registry.csv#4,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_20_chunk_retrieval_registry.csv,SRCV-SKYHARBORAIR-A712F3FBAA8F,unspecified,unspecified,
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_20_chunk_retrieval_registry.csv#5,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_20_chunk_retrieval_registry.csv,SRCV-SKYHARBORAIR-A712F3FBAA8F,unspecified,unspecified,
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_20_chunk_retrieval_registry.csv#6,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_20_chunk_retrieval_registry.csv,SRCV-SKYHARBORAIR-A712F3FBAA8F,unspecified,unspecified,
skyharbor-air,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_20_chunk_retrieval_registry.csv#7,datasets/tenant-inputs/archive/skyharbor-air/consolidated-20260714/upgrade-candidate-pack/v7/V7_20_chunk_retrieval_registry.csv,SRCV-SKYHARBORAIR-A712F3FBAA8F,unspecified,unspecified,
