tool_id,tool_name,owner_role,workflow,risk_classification,model_name,regulated_workflow_flag
NST-AI-001,Northstar AI Tool 1,EVP HIS,product engineering,internal productivity,domain encoder,false
NST-AI-002,Northstar AI Tool 2,VP Engineering,complaint triage,internal productivity,vision inspection model,false
NST-AI-003,Northstar AI Tool 3,Chief Quality Officer,quality release,internal productivity,forecasting model,false
NST-AI-004,Northstar AI Tool 4,AI Governance Lead,customer support,internal productivity,gpt-5-class,false
NST-AI-005,Northstar AI Tool 5,EVP HIS,clinical coding,high-risk regulated workflow,domain encoder,true
NST-AI-006,Northstar AI Tool 6,VP Engineering,product engineering,internal productivity,vision inspection model,false
NST-AI-007,Northstar AI Tool 7,Chief Quality Officer,complaint triage,internal productivity,forecasting model,false
NST-AI-008,Northstar AI Tool 8,AI Governance Lead,quality release,internal productivity,gpt-5-class,false
NST-AI-009,Northstar AI Tool 9,EVP HIS,customer support,internal productivity,domain encoder,false
NST-AI-010,Northstar AI Tool 10,VP Engineering,clinical coding,high-risk regulated workflow,vision inspection model,true
NST-AI-011,Northstar AI Tool 11,Chief Quality Officer,product engineering,internal productivity,forecasting model,false
NST-AI-012,Northstar AI Tool 12,AI Governance Lead,complaint triage,internal productivity,gpt-5-class,false
NST-AI-013,Northstar AI Tool 13,EVP HIS,quality release,internal productivity,domain encoder,false
NST-AI-014,Northstar AI Tool 14,VP Engineering,customer support,internal productivity,vision inspection model,false
NST-AI-015,Northstar AI Tool 15,Chief Quality Officer,clinical coding,high-risk regulated workflow,forecasting model,true
NST-AI-016,Northstar AI Tool 16,AI Governance Lead,product engineering,internal productivity,gpt-5-class,false
NST-AI-017,Northstar AI Tool 17,EVP HIS,complaint triage,internal productivity,domain encoder,false
NST-AI-018,Northstar AI Tool 18,VP Engineering,quality release,internal productivity,vision inspection model,false
NST-AI-019,Northstar AI Tool 19,Chief Quality Officer,customer support,internal productivity,forecasting model,false
NST-AI-020,Northstar AI Tool 20,AI Governance Lead,clinical coding,high-risk regulated workflow,gpt-5-class,true
NST-AI-021,Northstar AI Tool 21,EVP HIS,product engineering,internal productivity,domain encoder,false
NST-AI-022,Northstar AI Tool 22,VP Engineering,complaint triage,internal productivity,vision inspection model,false
NST-AI-023,Northstar AI Tool 23,Chief Quality Officer,quality release,internal productivity,forecasting model,false
NST-AI-024,Northstar AI Tool 24,AI Governance Lead,customer support,internal productivity,gpt-5-class,false
NST-AI-025,Northstar AI Tool 25,EVP HIS,clinical coding,high-risk regulated workflow,domain encoder,true
NST-AI-026,Northstar AI Tool 26,VP Engineering,product engineering,internal productivity,vision inspection model,false
NST-AI-027,Northstar AI Tool 27,Chief Quality Officer,complaint triage,internal productivity,forecasting model,false
NST-AI-028,Northstar AI Tool 28,AI Governance Lead,quality release,internal productivity,gpt-5-class,false
NST-AI-029,Northstar AI Tool 29,EVP HIS,customer support,internal productivity,domain encoder,false
NST-AI-030,Northstar AI Tool 30,VP Engineering,clinical coding,high-risk regulated workflow,vision inspection model,true
NST-AI-031,Northstar AI Tool 31,Chief Quality Officer,product engineering,internal productivity,forecasting model,false
NST-AI-032,Northstar AI Tool 32,AI Governance Lead,complaint triage,internal productivity,gpt-5-class,false
NST-AI-033,Northstar AI Tool 33,EVP HIS,quality release,internal productivity,domain encoder,false
NST-AI-034,Northstar AI Tool 34,VP Engineering,customer support,internal productivity,vision inspection model,false
NST-AI-035,Northstar AI Tool 35,Chief Quality Officer,clinical coding,high-risk regulated workflow,forecasting model,true
NST-AI-036,Northstar AI Tool 36,AI Governance Lead,product engineering,internal productivity,gpt-5-class,false
NST-AI-037,Northstar AI Tool 37,EVP HIS,complaint triage,internal productivity,domain encoder,false
NST-AI-038,Northstar AI Tool 38,VP Engineering,quality release,internal productivity,vision inspection model,false
NST-AI-039,Northstar AI Tool 39,Chief Quality Officer,customer support,internal productivity,forecasting model,false
NST-AI-040,Northstar AI Tool 40,AI Governance Lead,clinical coding,high-risk regulated workflow,gpt-5-class,true
NST-AI-041,Northstar AI Tool 41,EVP HIS,product engineering,internal productivity,domain encoder,false
NST-AI-042,Northstar AI Tool 42,VP Engineering,complaint triage,internal productivity,vision inspection model,false
