application_id,application_name,domain,primary_business_owner,technical_owner_team,platform_type,hosting_model,environment,criticality,annual_run_cost_usd,users_or_entities_supported,integration_count,data_classification,modernization_state,evidence_id,source_file,source_row,value_source
APX-APP-001,Oracle Retail Merchandising,merchandising,COO,APX-IT-003,custom,saas,production,critical,18200000,1800,8,pci_pii,invest,APX-EVID-001,family-2-technology-estate/F05_applications-systems.csv,2,tenant_file
APX-APP-002,Manhattan Active WMS,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,16525000,11000,9,internal,optimize,APX-EVID-002,family-2-technology-estate/F05_applications-systems.csv,3,tenant_file
APX-APP-003,IBM Sterling OMS,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,22050000,20200,10,internal,contain,APX-EVID-003,family-2-technology-estate/F05_applications-systems.csv,4,tenant_file
APX-APP-004,Toshiba POS,pos,Chief Supply Chain Officer,APX-IT-001,package,store_edge,production,critical,22975000,29400,11,confidential,replace_candidate,APX-EVID-004,family-2-technology-estate/F05_applications-systems.csv,5,tenant_file
APX-APP-005,Salesforce Commerce Cloud,ecommerce,Chief Marketing Officer,APX-IT-002,package,saas,production,critical,24600000,38600,12,pci_pii,invest,APX-EVID-005,family-2-technology-estate/F05_applications-systems.csv,6,tenant_file
APX-APP-006,Adobe Experience Cloud,personalization,CFO,APX-IT-005,custom,saas,production,high,13425000,47800,13,internal,optimize,APX-EVID-006,family-2-technology-estate/F05_applications-systems.csv,7,tenant_file
APX-APP-007,Blue Yonder Demand Planning,forecasting,Chief Risk Officer,APX-IT-003,package,saas,production,critical,14950000,57000,14,confidential,contain,APX-EVID-007,family-2-technology-estate/F05_applications-systems.csv,8,tenant_file
APX-APP-008,SAP S/4 Finance,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,18475000,66200,15,internal,replace_candidate,APX-EVID-008,family-2-technology-estate/F05_applications-systems.csv,9,tenant_file
APX-APP-009,ServiceNow ITSM,itsm,CHRO,APX-IT-010,package,saas,production,high,9300000,75400,16,pci_pii,invest,APX-EVID-009,family-2-technology-estate/F05_applications-systems.csv,10,tenant_file
APX-APP-010,Databricks Retail Lakehouse,data_platform,Chief Procurement Officer,APX-IT-007,package,aws,production,critical,16325000,84600,17,confidential,optimize,APX-EVID-010,family-2-technology-estate/F05_applications-systems.csv,11,tenant_file
APX-APP-011,Snowflake Marketing Data Cloud,analytics,Chief Real Estate Officer,APX-IT-007,custom,cloud,production,high,12150000,93800,18,internal,contain,APX-EVID-011,family-2-technology-estate/F05_applications-systems.csv,12,tenant_file
APX-APP-012,Kronos Workforce Central,workforce,SVP Private Brands,APX-IT-006,package,saas,production,critical,13175000,103000,19,internal,replace_candidate,APX-EVID-012,family-2-technology-estate/F05_applications-systems.csv,13,tenant_file
APX-APP-013,Oracle Retail Merchandising regional/service component 2,merchandising,COO,APX-IT-003,package,saas,production,critical,19700000,112200,20,pci_pii,invest,APX-EVID-013,family-2-technology-estate/F05_applications-systems.csv,14,tenant_file
APX-APP-014,Manhattan Active WMS regional/service component 2,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,18025000,121400,21,internal,optimize,APX-EVID-014,family-2-technology-estate/F05_applications-systems.csv,15,tenant_file
APX-APP-015,IBM Sterling OMS regional/service component 2,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,23550000,130600,22,internal,contain,APX-EVID-001,family-2-technology-estate/F05_applications-systems.csv,16,tenant_file
APX-APP-016,Toshiba POS regional/service component 2,pos,Chief Supply Chain Officer,APX-IT-001,custom,store_edge,production,critical,24475000,139800,23,confidential,replace_candidate,APX-EVID-002,family-2-technology-estate/F05_applications-systems.csv,17,tenant_file
APX-APP-017,Salesforce Commerce Cloud regional/service component 2,ecommerce,Chief Marketing Officer,APX-IT-002,package,saas,production,critical,26100000,149000,24,pci_pii,invest,APX-EVID-003,family-2-technology-estate/F05_applications-systems.csv,18,tenant_file
APX-APP-018,Adobe Experience Cloud regional/service component 2,personalization,CFO,APX-IT-005,package,saas,production,high,14925000,158200,25,internal,optimize,APX-EVID-004,family-2-technology-estate/F05_applications-systems.csv,19,tenant_file
APX-APP-019,Blue Yonder Demand Planning regional/service component 2,forecasting,Chief Risk Officer,APX-IT-003,package,saas,production,critical,16450000,167400,26,confidential,contain,APX-EVID-005,family-2-technology-estate/F05_applications-systems.csv,20,tenant_file
APX-APP-020,SAP S/4 Finance regional/service component 2,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,19975000,176600,27,internal,replace_candidate,APX-EVID-006,family-2-technology-estate/F05_applications-systems.csv,21,tenant_file
APX-APP-021,ServiceNow ITSM regional/service component 2,itsm,CHRO,APX-IT-010,custom,saas,production,high,10800000,185800,28,pci_pii,invest,APX-EVID-007,family-2-technology-estate/F05_applications-systems.csv,22,tenant_file
