team_id,team_name,team_type,stack_focus,vp_owner,fte_count
TEAM-MR-EPIC-CLINICAL,Epic Clinical Applications,clinical_apps,Epic clinical core,VP Clinical Informatics,95
TEAM-MR-EPIC-RC,Epic Revenue Cycle Applications,revenue_cycle,"Resolute, charge, denials",VP Revenue Cycle IT,85
TEAM-MR-EPIC-ANC,Epic Ancillaries Applications,ancillaries,"Beaker, Willow, Radiant, Cupid",VP Ancillary Systems,80
TEAM-MR-EPIC-OR-ED,Epic ED and Perioperative,clinical_apps,"ASAP, OpTime, anesthesia",VP Clinical Operations IT,80
TEAM-MR-INTEGRATION,Integration and Interoperability,platform,"HL7, FHIR, HIE, MLLP",VP Interoperability,85
TEAM-MR-INFRA,Infrastructure and Platform,platform,"Sacramento DC, Citrix, VMware, storage",VP Infrastructure,210
TEAM-MR-SECURITY,Security and Identity,security,"Okta, Zscaler, CrowdStrike, HIPAA controls",CISO,95
TEAM-MR-DATA-AI,Data Analytics and AI Enablement,data_ai,"Cogito, Power BI, AI platform, data governance",VP Data and AI,240
TEAM-MR-DIGITAL,Digital Front Door and Consumer,digital,"MyChart, Luma, patient messaging",VP Digital Experience,75
TEAM-MR-POPHEALTH,Population Health Analytics,population_health,"Healthy Planet, Innovaccer, ACO analytics",VP Value Based Care,60
TEAM-MR-RESEARCH,Research Informatics,research,"OnCore, REDCap, cohorts, IRB",Director Research Informatics,40
TEAM-MR-CORP-IT,Corporate IT,corporate,"Workday, ServiceNow, M365",VP Corporate Systems,115
TEAM-MR-WORKFORCE,Workforce and HR Technology,workforce,"QGenda, UKG, HealthStream, Symplr",Director Workforce Tech,45
TEAM-MR-IMAGING,Imaging Informatics,imaging,"Sectra, Visage, MUSE, imaging AI",Director Imaging Informatics,55
TEAM-MR-PMO,PMO and Governance,governance,"portfolio, charters, value ledger",VP PMO,70
TEAM-MR-SERVICE,Service Desk and Field Support,support,"field support, device support, command center",VP Support Services,220
