person_key,team_id,role_family,employment_type,level,location
MR-ROLE-0001,TEAM-MR-EPIC-CLINICAL,engineer,fte,L2,Roseville
MR-ROLE-0002,TEAM-MR-EPIC-CLINICAL,app_specialist,fte,L3,Oakland
MR-ROLE-0003,TEAM-MR-EPIC-CLINICAL,security_engineer,fte,L4,Remote CA
MR-ROLE-0004,TEAM-MR-EPIC-CLINICAL,data_engineer,fte,director,Hybrid
MR-ROLE-0005,TEAM-MR-EPIC-CLINICAL,service_desk,fte,L1,Sacramento
MR-ROLE-0006,TEAM-MR-EPIC-CLINICAL,product_manager,fte,L2,Roseville
MR-ROLE-0007,TEAM-MR-EPIC-CLINICAL,clinical_informaticist,fte,L3,Oakland
MR-ROLE-0008,TEAM-MR-EPIC-CLINICAL,analyst,fte,L4,Remote CA
MR-ROLE-0009,TEAM-MR-EPIC-CLINICAL,engineer,contractor,director,Hybrid
MR-ROLE-0010,TEAM-MR-EPIC-CLINICAL,app_specialist,fte,L1,Sacramento
MR-ROLE-0011,TEAM-MR-EPIC-CLINICAL,security_engineer,fte,L2,Roseville
MR-ROLE-0012,TEAM-MR-EPIC-CLINICAL,data_engineer,fte,L3,Oakland
MR-ROLE-0013,TEAM-MR-EPIC-CLINICAL,service_desk,fte,L4,Remote CA
MR-ROLE-0014,TEAM-MR-EPIC-CLINICAL,product_manager,fte,director,Hybrid
MR-ROLE-0015,TEAM-MR-EPIC-CLINICAL,clinical_informaticist,fte,L1,Sacramento
MR-ROLE-0016,TEAM-MR-EPIC-CLINICAL,analyst,fte,L2,Roseville
MR-ROLE-0017,TEAM-MR-EPIC-CLINICAL,engineer,fte,L3,Oakland
MR-ROLE-0018,TEAM-MR-EPIC-CLINICAL,app_specialist,contractor,L4,Remote CA
MR-ROLE-0019,TEAM-MR-EPIC-CLINICAL,security_engineer,fte,director,Hybrid
MR-ROLE-0020,TEAM-MR-EPIC-CLINICAL,data_engineer,fte,L1,Sacramento
MR-ROLE-0021,TEAM-MR-EPIC-CLINICAL,service_desk,fte,L2,Roseville
MR-ROLE-0022,TEAM-MR-EPIC-CLINICAL,product_manager,fte,L3,Oakland
MR-ROLE-0023,TEAM-MR-EPIC-CLINICAL,clinical_informaticist,fte,L4,Remote CA
MR-ROLE-0024,TEAM-MR-EPIC-CLINICAL,analyst,fte,director,Hybrid
MR-ROLE-0025,TEAM-MR-EPIC-CLINICAL,engineer,fte,L1,Sacramento
MR-ROLE-0026,TEAM-MR-EPIC-CLINICAL,app_specialist,fte,L2,Roseville
MR-ROLE-0027,TEAM-MR-EPIC-CLINICAL,security_engineer,contractor,L3,Oakland
MR-ROLE-0028,TEAM-MR-EPIC-CLINICAL,data_engineer,fte,L4,Remote CA
MR-ROLE-0029,TEAM-MR-EPIC-CLINICAL,service_desk,fte,director,Hybrid
MR-ROLE-0030,TEAM-MR-EPIC-CLINICAL,product_manager,fte,L1,Sacramento
MR-ROLE-0031,TEAM-MR-EPIC-CLINICAL,clinical_informaticist,fte,L2,Roseville
MR-ROLE-0032,TEAM-MR-EPIC-CLINICAL,analyst,fte,L3,Oakland
MR-ROLE-0033,TEAM-MR-EPIC-CLINICAL,engineer,fte,L4,Remote CA
MR-ROLE-0034,TEAM-MR-EPIC-CLINICAL,app_specialist,fte,director,Hybrid
MR-ROLE-0035,TEAM-MR-EPIC-CLINICAL,security_engineer,fte,L1,Sacramento
MR-ROLE-0036,TEAM-MR-EPIC-CLINICAL,data_engineer,contractor,L2,Roseville
MR-ROLE-0037,TEAM-MR-EPIC-CLINICAL,service_desk,fte,L3,Oakland
MR-ROLE-0038,TEAM-MR-EPIC-CLINICAL,product_manager,fte,L4,Remote CA
MR-ROLE-0039,TEAM-MR-EPIC-CLINICAL,clinical_informaticist,fte,director,Hybrid
MR-ROLE-0040,TEAM-MR-EPIC-CLINICAL,analyst,fte,L1,Sacramento
MR-ROLE-0041,TEAM-MR-EPIC-CLINICAL,engineer,fte,L2,Roseville
MR-ROLE-0042,TEAM-MR-EPIC-CLINICAL,app_specialist,fte,L3,Oakland
MR-ROLE-0043,TEAM-MR-EPIC-CLINICAL,security_engineer,fte,L4,Remote CA
MR-ROLE-0044,TEAM-MR-EPIC-CLINICAL,data_engineer,fte,director,Hybrid
MR-ROLE-0045,TEAM-MR-EPIC-CLINICAL,service_desk,contractor,L1,Sacramento
MR-ROLE-0046,TEAM-MR-EPIC-CLINICAL,product_manager,fte,L2,Roseville
MR-ROLE-0047,TEAM-MR-EPIC-CLINICAL,clinical_informaticist,fte,L3,Oakland
MR-ROLE-0048,TEAM-MR-EPIC-CLINICAL,analyst,fte,L4,Remote CA
MR-ROLE-0049,TEAM-MR-EPIC-CLINICAL,engineer,fte,director,Hybrid
MR-ROLE-0050,TEAM-MR-EPIC-CLINICAL,app_specialist,fte,L1,Sacramento
MR-ROLE-0051,TEAM-MR-EPIC-CLINICAL,security_engineer,fte,L2,Roseville
MR-ROLE-0052,TEAM-MR-EPIC-CLINICAL,data_engineer,fte,L3,Oakland
MR-ROLE-0053,TEAM-MR-EPIC-CLINICAL,service_desk,fte,L4,Remote CA
MR-ROLE-0054,TEAM-MR-EPIC-CLINICAL,product_manager,contractor,director,Hybrid
MR-ROLE-0055,TEAM-MR-EPIC-CLINICAL,clinical_informaticist,fte,L1,Sacramento
MR-ROLE-0056,TEAM-MR-EPIC-CLINICAL,analyst,fte,L2,Roseville
MR-ROLE-0057,TEAM-MR-EPIC-CLINICAL,engineer,fte,L3,Oakland
MR-ROLE-0058,TEAM-MR-EPIC-CLINICAL,app_specialist,fte,L4,Remote CA
MR-ROLE-0059,TEAM-MR-EPIC-CLINICAL,security_engineer,fte,director,Hybrid
MR-ROLE-0060,TEAM-MR-EPIC-CLINICAL,data_engineer,fte,L1,Sacramento
MR-ROLE-0061,TEAM-MR-EPIC-CLINICAL,service_desk,fte,L2,Roseville
MR-ROLE-0062,TEAM-MR-EPIC-CLINICAL,product_manager,fte,L3,Oakland
MR-ROLE-0063,TEAM-MR-EPIC-CLINICAL,clinical_informaticist,contractor,L4,Remote CA
MR-ROLE-0064,TEAM-MR-EPIC-CLINICAL,analyst,fte,director,Hybrid
MR-ROLE-0065,TEAM-MR-EPIC-CLINICAL,engineer,fte,L1,Sacramento
MR-ROLE-0066,TEAM-MR-EPIC-CLINICAL,app_specialist,fte,L2,Roseville
MR-ROLE-0067,TEAM-MR-EPIC-CLINICAL,security_engineer,fte,L3,Oakland
MR-ROLE-0068,TEAM-MR-EPIC-CLINICAL,data_engineer,fte,L4,Remote CA
MR-ROLE-0069,TEAM-MR-EPIC-CLINICAL,service_desk,fte,director,Hybrid
MR-ROLE-0070,TEAM-MR-EPIC-CLINICAL,product_manager,fte,L1,Sacramento
MR-ROLE-0071,TEAM-MR-EPIC-CLINICAL,clinical_informaticist,fte,L2,Roseville
MR-ROLE-0072,TEAM-MR-EPIC-CLINICAL,analyst,contractor,L3,Oakland
MR-ROLE-0073,TEAM-MR-EPIC-CLINICAL,engineer,fte,L4,Remote CA
MR-ROLE-0074,TEAM-MR-EPIC-CLINICAL,app_specialist,fte,director,Hybrid
MR-ROLE-0075,TEAM-MR-EPIC-CLINICAL,security_engineer,fte,L1,Sacramento
MR-ROLE-0076,TEAM-MR-EPIC-CLINICAL,data_engineer,fte,L2,Roseville
MR-ROLE-0077,TEAM-MR-EPIC-CLINICAL,service_desk,fte,L3,Oakland
MR-ROLE-0078,TEAM-MR-EPIC-CLINICAL,product_manager,fte,L4,Remote CA
MR-ROLE-0079,TEAM-MR-EPIC-CLINICAL,clinical_informaticist,fte,director,Hybrid
MR-ROLE-0080,TEAM-MR-EPIC-CLINICAL,analyst,fte,L1,Sacramento
MR-ROLE-0081,TEAM-MR-EPIC-CLINICAL,engineer,contractor,L2,Roseville
MR-ROLE-0082,TEAM-MR-EPIC-CLINICAL,app_specialist,fte,L3,Oakland
MR-ROLE-0083,TEAM-MR-EPIC-CLINICAL,security_engineer,fte,L4,Remote CA
MR-ROLE-0084,TEAM-MR-EPIC-CLINICAL,data_engineer,fte,director,Hybrid
MR-ROLE-0085,TEAM-MR-EPIC-CLINICAL,service_desk,fte,L1,Sacramento
MR-ROLE-0086,TEAM-MR-EPIC-CLINICAL,product_manager,fte,L2,Roseville
MR-ROLE-0087,TEAM-MR-EPIC-CLINICAL,clinical_informaticist,fte,L3,Oakland
MR-ROLE-0088,TEAM-MR-EPIC-CLINICAL,analyst,fte,L4,Remote CA
MR-ROLE-0089,TEAM-MR-EPIC-CLINICAL,engineer,fte,director,Hybrid
MR-ROLE-0090,TEAM-MR-EPIC-CLINICAL,app_specialist,contractor,L1,Sacramento
MR-ROLE-0091,TEAM-MR-EPIC-CLINICAL,security_engineer,fte,L2,Roseville
MR-ROLE-0092,TEAM-MR-EPIC-CLINICAL,data_engineer,fte,L3,Oakland
MR-ROLE-0093,TEAM-MR-EPIC-CLINICAL,service_desk,fte,L4,Remote CA
MR-ROLE-0094,TEAM-MR-EPIC-CLINICAL,product_manager,fte,director,Hybrid
MR-ROLE-0095,TEAM-MR-EPIC-CLINICAL,clinical_informaticist,fte,L1,Sacramento
MR-ROLE-0096,TEAM-MR-EPIC-RC,analyst,fte,L2,Roseville
MR-ROLE-0097,TEAM-MR-EPIC-RC,engineer,fte,L3,Oakland
MR-ROLE-0098,TEAM-MR-EPIC-RC,app_specialist,fte,L4,Remote CA
MR-ROLE-0099,TEAM-MR-EPIC-RC,security_engineer,contractor,director,Hybrid
MR-ROLE-0100,TEAM-MR-EPIC-RC,data_engineer,fte,L1,Sacramento
MR-ROLE-0101,TEAM-MR-EPIC-RC,service_desk,fte,L2,Roseville
MR-ROLE-0102,TEAM-MR-EPIC-RC,product_manager,fte,L3,Oakland
MR-ROLE-0103,TEAM-MR-EPIC-RC,clinical_informaticist,fte,L4,Remote CA
MR-ROLE-0104,TEAM-MR-EPIC-RC,analyst,fte,director,Hybrid
MR-ROLE-0105,TEAM-MR-EPIC-RC,engineer,fte,L1,Sacramento
MR-ROLE-0106,TEAM-MR-EPIC-RC,app_specialist,fte,L2,Roseville
MR-ROLE-0107,TEAM-MR-EPIC-RC,security_engineer,fte,L3,Oakland
MR-ROLE-0108,TEAM-MR-EPIC-RC,data_engineer,contractor,L4,Remote CA
MR-ROLE-0109,TEAM-MR-EPIC-RC,service_desk,fte,director,Hybrid
MR-ROLE-0110,TEAM-MR-EPIC-RC,product_manager,fte,L1,Sacramento
MR-ROLE-0111,TEAM-MR-EPIC-RC,clinical_informaticist,fte,L2,Roseville
MR-ROLE-0112,TEAM-MR-EPIC-RC,analyst,fte,L3,Oakland
MR-ROLE-0113,TEAM-MR-EPIC-RC,engineer,fte,L4,Remote CA
MR-ROLE-0114,TEAM-MR-EPIC-RC,app_specialist,fte,director,Hybrid
MR-ROLE-0115,TEAM-MR-EPIC-RC,security_engineer,fte,L1,Sacramento
MR-ROLE-0116,TEAM-MR-EPIC-RC,data_engineer,fte,L2,Roseville
MR-ROLE-0117,TEAM-MR-EPIC-RC,service_desk,contractor,L3,Oakland
MR-ROLE-0118,TEAM-MR-EPIC-RC,product_manager,fte,L4,Remote CA
MR-ROLE-0119,TEAM-MR-EPIC-RC,clinical_informaticist,fte,director,Hybrid
MR-ROLE-0120,TEAM-MR-EPIC-RC,analyst,fte,L1,Sacramento
MR-ROLE-0121,TEAM-MR-EPIC-RC,engineer,fte,L2,Roseville
MR-ROLE-0122,TEAM-MR-EPIC-RC,app_specialist,fte,L3,Oakland
MR-ROLE-0123,TEAM-MR-EPIC-RC,security_engineer,fte,L4,Remote CA
MR-ROLE-0124,TEAM-MR-EPIC-RC,data_engineer,fte,director,Hybrid
MR-ROLE-0125,TEAM-MR-EPIC-RC,service_desk,fte,L1,Sacramento
MR-ROLE-0126,TEAM-MR-EPIC-RC,product_manager,contractor,L2,Roseville
MR-ROLE-0127,TEAM-MR-EPIC-RC,clinical_informaticist,fte,L3,Oakland
MR-ROLE-0128,TEAM-MR-EPIC-RC,analyst,fte,L4,Remote CA
MR-ROLE-0129,TEAM-MR-EPIC-RC,engineer,fte,director,Hybrid
MR-ROLE-0130,TEAM-MR-EPIC-RC,app_specialist,fte,L1,Sacramento
MR-ROLE-0131,TEAM-MR-EPIC-RC,security_engineer,fte,L2,Roseville
MR-ROLE-0132,TEAM-MR-EPIC-RC,data_engineer,fte,L3,Oakland
MR-ROLE-0133,TEAM-MR-EPIC-RC,service_desk,fte,L4,Remote CA
MR-ROLE-0134,TEAM-MR-EPIC-RC,product_manager,fte,director,Hybrid
MR-ROLE-0135,TEAM-MR-EPIC-RC,clinical_informaticist,contractor,L1,Sacramento
MR-ROLE-0136,TEAM-MR-EPIC-RC,analyst,fte,L2,Roseville
MR-ROLE-0137,TEAM-MR-EPIC-RC,engineer,fte,L3,Oakland
MR-ROLE-0138,TEAM-MR-EPIC-RC,app_specialist,fte,L4,Remote CA
MR-ROLE-0139,TEAM-MR-EPIC-RC,security_engineer,fte,director,Hybrid
MR-ROLE-0140,TEAM-MR-EPIC-RC,data_engineer,fte,L1,Sacramento
