team_id,leader_role,direct_reports,manager_layers,notes
TEAM-MR-EPIC-CLINICAL,VP Clinical Informatics,5,2,Span modeled for Meridian synthetic substrate.
TEAM-MR-EPIC-RC,VP Revenue Cycle IT,5,3,Span modeled for Meridian synthetic substrate.
TEAM-MR-EPIC-ANC,VP Ancillary Systems,4,4,Span modeled for Meridian synthetic substrate.
TEAM-MR-EPIC-OR-ED,VP Clinical Operations IT,4,2,Span modeled for Meridian synthetic substrate.
TEAM-MR-INTEGRATION,VP Interoperability,5,3,Span modeled for Meridian synthetic substrate.
TEAM-MR-INFRA,VP Infrastructure,12,4,Span modeled for Meridian synthetic substrate.
TEAM-MR-SECURITY,CISO,5,2,Span modeled for Meridian synthetic substrate.
TEAM-MR-DATA-AI,VP Data and AI,13,3,Span modeled for Meridian synthetic substrate.
TEAM-MR-DIGITAL,VP Digital Experience,4,4,Span modeled for Meridian synthetic substrate.
TEAM-MR-POPHEALTH,VP Value Based Care,4,2,Span modeled for Meridian synthetic substrate.
TEAM-MR-RESEARCH,Director Research Informatics,4,3,Span modeled for Meridian synthetic substrate.
TEAM-MR-CORP-IT,VP Corporate Systems,6,4,Span modeled for Meridian synthetic substrate.
TEAM-MR-WORKFORCE,Director Workforce Tech,4,2,Span modeled for Meridian synthetic substrate.
TEAM-MR-IMAGING,Director Imaging Informatics,4,3,Span modeled for Meridian synthetic substrate.
TEAM-MR-PMO,VP PMO,4,4,Span modeled for Meridian synthetic substrate.
TEAM-MR-SERVICE,VP Support Services,12,2,Span modeled for Meridian synthetic substrate.
