tenant_key,as_of_date,business_case_id,project_id,initiative_name,initiative_classification,primary_tool_or_platform,vendor_name,domain_key,domain_name,business_value_type,business_value_story,finance_status,committee_decision,cost_to_build_low_usd,cost_to_build_high_usd,approved_investment_usd,projected_annual_value_low_usd,projected_annual_value_high_usd,board_claimable_ytd_usd,finance_validated_ytd_usd,roi_low_multiple,roi_high_multiple,payback_months_target,benefit_realization_lag_months,success_metric,baseline_value,target_value,metric_unit,proof_needed,business_sponsor_role,finance_partner_role,cfo_approval_date,readiness_score,confidence_level,gating_constraint,value_tracking_cadence,source_system,source_record_id,extract_date,quality_state,source_object_id
meridian-health,2026-08-24,BC-MER-001,PRJ-MER-004,Enterprise AI platform foundation,platform_foundation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,sponsor_claimed,shape,14760000,20160000,18000000,0,0,0,0,,,,3,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,,42,low,baseline definition,monthly,AI Portfolio and Business Case Tracker,BC-MER-001,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-001
meridian-health,2026-08-24,BC-MER-002,PRJ-MER-005,Digital front door personalization,ai_use_case,Digital front door AI decisioning,Internal build,digital,Digital & Member Experience,Grow revenue,"AI improves member experience, conversion, retention, and channel containment.",finance_challenged,fund,9184000,12544000,11200000,50055476,60740197,0,0,4,4.8,3,6,digital conversion lift,0,3.2,percent,"Show conversion, retention, channel shift, and net financial impact against baseline.",Chief Digital Officer,IT Finance Business Partner,,53,medium,data quality,monthly,AI Portfolio and Business Case Tracker,BC-MER-002,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-002
meridian-health,2026-08-24,BC-MER-003,PRJ-MER-006,ServiceNow operations AI rollout,ai_enabled_tool_rollout,ServiceNow Now Assist,ServiceNow,apps,Enterprise Applications,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",cfo_approved_target,fund,8528000,11648000,10400000,51180318,65583033,0,0,4.4,5.6,3,9,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",VP Enterprise Platforms,IT Finance Business Partner,2026-08-15,64,medium,workflow adoption,monthly,AI Portfolio and Business Case Tracker,BC-MER-003,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-003
meridian-health,2026-08-24,BC-MER-004,PRJ-MER-007,Epic ambulatory access optimization,ai_assisted_automation,Epic clinical AI assist,Epic,clinical_epic,Clinical / Epic,Create capacity,"Clinical AI frees capacity by reducing documentation, triage, and access friction.",not_submitted,challenge,7298000,9968000,8900000,47820856,64527782,0,0,4.8,6.5,3,12,clinical capacity released,0,4.8,fte_equivalent,"Show clinician time released, encounters supported, access improvement, and quality guardrails.","President, Medical Group",IT Finance Business Partner,,75,high,control review,monthly,AI Portfolio and Business Case Tracker,BC-MER-004,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-004
meridian-health,2026-08-24,BC-MER-005,PRJ-MER-008,Data quality and interoperability foundation,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,finance_validated_actual,shape,8036000,10976000,9800000,0,0,0,0,,,,3,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,,86,low,Finance value treatment,monthly,AI Portfolio and Business Case Tracker,BC-MER-005,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-005
meridian-health,2026-08-24,BC-MER-006,PRJ-MER-009,Contact center AI assist,ai_use_case,Contact center agent assist,Genesys,digital,Digital & Member Experience,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",sponsor_claimed,fund,7052000,9632000,8600000,34548723,41923410,0,0,3.6,4.4,3,6,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",SVP Member Services,IT Finance Business Partner,,48,medium,baseline definition,monthly,AI Portfolio and Business Case Tracker,BC-MER-006,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-006
meridian-health,2026-08-24,BC-MER-007,PRJ-MER-010,Workday finance close AI assistant,ai_enabled_tool_rollout,Workday AI,Workday,corporate_it,Corporate IT,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",finance_challenged,challenge,5248000,7168000,6400000,28603129,36652370,0,0,4,5.1,3,9,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Controller,IT Finance Business Partner,,59,medium,data quality,monthly,AI Portfolio and Business Case Tracker,BC-MER-007,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-007
meridian-health,2026-08-24,BC-MER-008,PRJ-MER-011,Clinical documentation ambient pilot,ai_use_case,Epic clinical AI assist,Epic,clinical_epic,Clinical / Epic,Create capacity,"Clinical AI frees capacity by reducing documentation, triage, and access friction.",cfo_approved_target,fund,5904000,8064000,7200000,35432528,47811407,0,0,4.4,5.9,3,12,clinical capacity released,0,4.8,fte_equivalent,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",CMIO,IT Finance Business Partner,2026-08-15,70,high,workflow adoption,monthly,AI Portfolio and Business Case Tracker,BC-MER-008,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-008
meridian-health,2026-08-24,BC-MER-009,PRJ-MER-012,Copilot secure productivity rollout,ai_enabled_tool_rollout,Microsoft 365 Copilot,Microsoft,corporate_it,Corporate IT,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",not_submitted,shape,3936000,5376000,4800000,25791024,29543720,0,0,4.8,5.5,3,3,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Corporate IT,IT Finance Business Partner,,81,low,control review,monthly,AI Portfolio and Business Case Tracker,BC-MER-009,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-009
meridian-health,2026-08-24,BC-MER-010,PRJ-MER-013,Prior authorization automation,ai_use_case,Prior auth document AI,Internal build,apps,Enterprise Applications,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",finance_validated_actual,fund,6478000,8848000,7900000,46018096,55841008,13136248,13136248,5.2,6.3,3,6,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Claims Operations,IT Finance Business Partner,,43,medium,Finance value treatment,monthly,AI Portfolio and Business Case Tracker,BC-MER-010,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-010
meridian-health,2026-08-24,BC-MER-011,PRJ-MER-015,Security operations automation,ai_assisted_automation,Security operations assistant,Microsoft,security,Cybersecurity & Risk,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",sponsor_claimed,challenge,4674000,6384000,5700000,22898572,29342487,0,0,3.6,4.6,3,9,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",CISO,IT Finance Business Partner,,54,medium,baseline definition,monthly,AI Portfolio and Business Case Tracker,BC-MER-011,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-011
meridian-health,2026-08-24,BC-MER-012,PRJ-MER-016,ServiceNow knowledge article generation 1,ai_enabled_tool_rollout,ServiceNow Now Assist,ServiceNow,apps,Enterprise Applications,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",finance_challenged,challenge,1847881,2523936,2253514,10071492,13590117,0,0,4,5.4,3,12,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",VP Enterprise Platforms,IT Finance Business Partner,,65,high,data quality,monthly,AI Portfolio and Business Case Tracker,BC-MER-012,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-012
meridian-health,2026-08-24,BC-MER-013,PRJ-MER-017,claims intake document AI 1,ai_assisted_automation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",cfo_approved_target,fund,3141399,4290691,3830974,18852930,21596106,0,0,4.4,5,3,3,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",Chief Data and AI Officer,IT Finance Business Partner,2026-08-15,76,low,workflow adoption,monthly,AI Portfolio and Business Case Tracker,BC-MER-013,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-013
meridian-health,2026-08-24,BC-MER-014,PRJ-MER-019,clinical documentation queue summarization 1,ai_use_case,Epic clinical AI assist,Epic,clinical_epic,Clinical / Epic,Create capacity,"Clinical AI frees capacity by reducing documentation, triage, and access friction.",not_submitted,fund,3326187,4543084,4056325,21795161,26447504,0,0,4.8,5.8,3,6,clinical capacity released,0,4.8,fte_equivalent,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",CMIO,IT Finance Business Partner,,87,medium,control review,monthly,AI Portfolio and Business Case Tracker,BC-MER-014,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-014
meridian-health,2026-08-24,BC-MER-015,PRJ-MER-020,model monitoring and prompt-risk controls 1,platform_foundation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,finance_validated_actual,continue,2217458,3028723,2704217,0,0,0,0,,,,9,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,,49,medium,Finance value treatment,monthly,AI Portfolio and Business Case Tracker,BC-MER-015,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-015
meridian-health,2026-08-24,BC-MER-016,PRJ-MER-021,member identity resolution data product 1,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,sponsor_claimed,continue,3510975,4795478,4281677,0,0,0,0,,,,12,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,,60,high,baseline definition,monthly,AI Portfolio and Business Case Tracker,BC-MER-016,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-016
meridian-health,2026-08-24,BC-MER-017,PRJ-MER-022,member mobile next-best-action pilot 1,ai_use_case,Digital front door AI decisioning,Internal build,digital,Digital & Member Experience,Grow revenue,"AI improves member experience, conversion, retention, and channel containment.",finance_challenged,challenge,2402246,3281116,2929568,13092940,14998014,0,0,4,4.6,3,3,digital conversion lift,0,3.2,percent,"Show conversion, retention, channel shift, and net financial impact against baseline.",Chief Digital Officer,IT Finance Business Partner,,71,low,data quality,monthly,AI Portfolio and Business Case Tracker,BC-MER-017,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-017
meridian-health,2026-08-24,BC-MER-018,PRJ-MER-023,Microsoft 365 Copilot productivity wave 1,ai_enabled_tool_rollout,Microsoft 365 Copilot,Microsoft,corporate_it,Corporate IT,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",cfo_approved_target,fund,3695763,5047871,4507028,22179916,26914387,0,0,4.4,5.3,3,6,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Corporate IT,IT Finance Business Partner,2026-08-15,82,medium,workflow adoption,monthly,AI Portfolio and Business Case Tracker,BC-MER-018,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-018
meridian-health,2026-08-24,BC-MER-019,PRJ-MER-025,SOC alert summarization assistant 1,ai_assisted_automation,Security operations assistant,Microsoft,security,Cybersecurity & Risk,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",not_submitted,fund,3880552,5300266,4732380,25427692,32583331,0,0,4.8,6.1,3,9,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",CISO,IT Finance Business Partner,,44,medium,control review,monthly,AI Portfolio and Business Case Tracker,BC-MER-019,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-019
meridian-health,2026-08-24,BC-MER-020,PRJ-MER-026,AI service management controls foundation 1,platform_foundation,ServiceNow Now Assist,ServiceNow,apps,Enterprise Applications,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,finance_validated_actual,continue,2771822,3785904,3380271,0,0,0,0,,,,12,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,VP Enterprise Platforms,IT Finance Business Partner,,55,high,Finance value treatment,monthly,AI Portfolio and Business Case Tracker,BC-MER-020,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-020
meridian-health,2026-08-24,BC-MER-021,PRJ-MER-027,AI feature store governance uplift 1,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,sponsor_claimed,continue,4065339,5552659,4957731,0,0,0,0,,,,3,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,,66,low,baseline definition,monthly,AI Portfolio and Business Case Tracker,BC-MER-021,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-021
meridian-health,2026-08-24,BC-MER-022,PRJ-MER-028,prior authorization clinical policy assistant 1,ai_use_case,Prior auth document AI,Internal build,apps,Enterprise Applications,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",finance_challenged,challenge,2956610,4038297,3605622,16114386,19554125,0,0,4,4.8,3,6,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Claims Operations,IT Finance Business Partner,,77,medium,data quality,monthly,AI Portfolio and Business Case Tracker,BC-MER-022,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-022
meridian-health,2026-08-24,BC-MER-023,PRJ-MER-029,contact center agent assist rollout 1,ai_enabled_tool_rollout,Contact center agent assist,Genesys,digital,Digital & Member Experience,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",cfo_approved_target,fund,1847881,2523936,2253514,11089958,14210797,0,0,4.4,5.6,3,9,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",SVP Member Services,IT Finance Business Partner,2026-08-15,88,medium,workflow adoption,monthly,AI Portfolio and Business Case Tracker,BC-MER-023,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-023
meridian-health,2026-08-24,BC-MER-024,PRJ-MER-031,ambulatory access waitlist optimization 1,ai_assisted_automation,Epic clinical AI assist,Epic,clinical_epic,Clinical / Epic,Create capacity,"Clinical AI frees capacity by reducing documentation, triage, and access friction.",not_submitted,fund,2032669,2776329,2478865,13319264,17972547,0,0,4.8,6.5,3,12,clinical capacity released,0,4.8,fte_equivalent,"Show clinician time released, encounters supported, access improvement, and quality guardrails.","President, Medical Group",IT Finance Business Partner,,50,high,control review,monthly,AI Portfolio and Business Case Tracker,BC-MER-024,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-024
