tenant_key,as_of_date,tool_rollout_id,tool_name,vendor_name,domain_key,rollout_goal,linked_business_case_count,rollout_target_users,enabled_users,monthly_active_users,adoption_target_pct,adoption_actual_pct,adoption_gap_pct,rollout_stage,control_blocker,business_owner_role,finance_partner_role,source_system,source_record_id,extract_date,refresh_cadence,quality_state,source_object_id
meridian-health,2026-08-24,TOOL-MER-000,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,governed model build and serving foundation,14,520,234,281,54,54,0,pilot,DLP policy,Chief Data and AI Officer,IT Finance Business Partner,AI Portfolio and Business Case Tracker,TOOL-MER-000,2026-08-24,monthly,synthetic_review_ready,TOOL:TOOL-MER-000
meridian-health,2026-08-24,TOOL-MER-001,ServiceNow Now Assist,ServiceNow,apps,case deflection and ticket resolution,5,5200,2860,2756,61,53,8,funded,workflow telemetry,VP Enterprise Platforms,IT Finance Business Partner,Microsoft Entra ID and Microsoft 365 Admin Center,TOOL-MER-001,2026-08-24,monthly,synthetic_review_ready,TOOL:TOOL-MER-001
meridian-health,2026-08-24,TOOL-MER-002,Microsoft 365 Copilot,Microsoft,corporate_it,knowledge worker productivity,2,8400,5460,2688,48,32,16,scale,clinical safety review,VP Corporate IT,IT Finance Business Partner,AI Portfolio and Business Case Tracker,TOOL-MER-002,2026-08-24,monthly,synthetic_review_ready,TOOL:TOOL-MER-002
meridian-health,2026-08-24,TOOL-MER-003,GitHub Copilot,Microsoft GitHub,data_ai,engineering productivity,0,1100,825,638,58,58,0,controlled_rollout,SOX evidence,AI Portfolio Operations Lead,IT Finance Business Partner,AI Portfolio and Business Case Tracker,TOOL-MER-003,2026-08-24,monthly,synthetic_review_ready,TOOL:TOOL-MER-003
meridian-health,2026-08-24,TOOL-MER-003A,AI coding agents,OpenAI / Anthropic / Microsoft GitHub,architecture,product engineering throughput and build-vs-buy leverage,1,680,306,299,52,44,8,pilot,none,Chief Architect,IT Finance Business Partner,AI Portfolio and Business Case Tracker,TOOL-MER-003A,2026-08-24,monthly,synthetic_review_ready,TOOL:TOOL-MER-003A
meridian-health,2026-08-24,TOOL-MER-004,Workday AI,Workday,corporate_it,finance and HR workflow assist,2,1400,770,378,43,27,16,funded,DLP policy,VP Controller,IT Finance Business Partner,AI Portfolio and Business Case Tracker,TOOL-MER-004,2026-08-24,monthly,synthetic_review_ready,TOOL:TOOL-MER-004
meridian-health,2026-08-24,TOOL-MER-005,Epic clinical AI assist,Epic,clinical_epic,clinical workflow summarization,6,2600,1690,962,37,37,0,scale,workflow telemetry,"President, Medical Group",IT Finance Business Partner,AI Portfolio and Business Case Tracker,TOOL-MER-005,2026-08-24,monthly,synthetic_review_ready,TOOL:TOOL-MER-005
meridian-health,2026-08-24,TOOL-MER-006,Databricks Mosaic AI,Databricks,data_ai,model serving and governed AI platform,0,420,315,193,54,46,8,controlled_rollout,clinical safety review,AI Portfolio Operations Lead,IT Finance Business Partner,AI Portfolio and Business Case Tracker,TOOL-MER-006,2026-08-24,monthly,synthetic_review_ready,TOOL:TOOL-MER-006
meridian-health,2026-08-24,TOOL-MER-007,Power BI Copilot,Microsoft,data_ai,self-service analytics assistance,0,2300,1035,690,46,30,16,pilot,SOX evidence,AI Portfolio Operations Lead,IT Finance Business Partner,AI Portfolio and Business Case Tracker,TOOL-MER-007,2026-08-24,monthly,synthetic_review_ready,TOOL:TOOL-MER-007
meridian-health,2026-08-24,TOOL-MER-008,Contact center agent assist,Genesys,digital,member service call guidance,3,1800,990,936,52,52,0,funded,none,SVP Member Services,IT Finance Business Partner,AI Portfolio and Business Case Tracker,TOOL-MER-008,2026-08-24,monthly,synthetic_review_ready,TOOL:TOOL-MER-008
meridian-health,2026-08-24,TOOL-MER-009,Prior auth document AI,Internal build,apps,authorization document triage,3,620,403,130,29,21,8,scale,DLP policy,VP Claims Operations,IT Finance Business Partner,AI Portfolio and Business Case Tracker,TOOL-MER-009,2026-08-24,monthly,synthetic_review_ready,TOOL:TOOL-MER-009
meridian-health,2026-08-24,TOOL-MER-010,Security operations assistant,Microsoft,security,SOC investigation summarization,3,260,195,65,41,25,16,controlled_rollout,workflow telemetry,CISO,IT Finance Business Partner,AI Portfolio and Business Case Tracker,TOOL-MER-010,2026-08-24,monthly,synthetic_review_ready,TOOL:TOOL-MER-010
meridian-health,2026-08-24,TOOL-MER-011,Digital front door AI decisioning,Internal build,digital,personalized member navigation and offer selection,3,4100,1845,1845,45,45,0,pilot,clinical safety review,Chief Digital Officer,IT Finance Business Partner,AI Portfolio and Business Case Tracker,TOOL-MER-011,2026-08-24,monthly,synthetic_review_ready,TOOL:TOOL-MER-011
