kpi_observation_id,kpi_id,name,category,period_month,monthly_value,target,peer_benchmark,trend_24mo,modernization_correlation_score,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated
SHA-KPI-001,completion_factor,completion factor,operational,2024-01,80,92,90,improving,0,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 2,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-002,OTP_D0,OTP D0,financial,2024-02,80.7,92,90,flat,0.1,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 3,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-003,mishandled_bags_per_1k,mishandled bags per 1k,customer,2024-03,81.4,92,90,volatile,0.2,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 4,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-004,crew_legality_recovery_minutes,crew legality recovery minutes,safety,2024-04,82.1,92,90,deteriorating,0.3,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 5,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-005,IROPs_cost_per_disruption_usd,IROPs cost per disruption usd,operational,2024-05,82.8,92,90,improving,0.4,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 6,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-006,IT_run_rate_usd,IT run rate usd,financial,2024-06,88.5,92,90,flat,0.5,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 7,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-007,modernization_spend_velocity_usd,modernization spend velocity usd,customer,2024-07,89.2,92,90,volatile,0.6,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 8,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-008,customer_NPS_tier_A,customer NPS tier A,safety,2024-08,89.9,92,90,deteriorating,0.7,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 9,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-009,mobile_app_session_conversion_pct,mobile app session conversion pct,operational,2024-09,90.6,92,90,improving,0.8,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 10,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-010,completion_factor,completion factor,financial,2024-10,76,92,90,flat,0.9,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 11,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-011,OTP_D0,OTP D0,customer,2024-11,81.7,92,90,volatile,0,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 12,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-012,mishandled_bags_per_1k,mishandled bags per 1k,safety,2024-12,82.4,92,90,deteriorating,0.1,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 13,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-013,crew_legality_recovery_minutes,crew legality recovery minutes,operational,2024-01,83.1,92,90,improving,0.2,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 14,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-014,IROPs_cost_per_disruption_usd,IROPs cost per disruption usd,financial,2024-02,83.8,92,90,flat,0.3,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 15,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-015,IT_run_rate_usd,IT run rate usd,customer,2024-03,84.5,92,90,volatile,0.4,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 16,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-016,modernization_spend_velocity_usd,modernization spend velocity usd,safety,2024-04,90.2,92,90,deteriorating,0.5,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 17,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
