category,subcategory,business_function,fy2026_planned_usd,fy2025_actual_usd,fy2024_actual_usd,run_change_transform,vendor_top,notes
Total IT Spend,All,Enterprise,20650000,18900000,17200000,N/A,N/A,"~8.5% of revenue FY2026 (investment phase); Celent peer median 8.1%"
Run,Core Banking Operations,Enterprise,4200000,4100000,3900000,Run,FiServ Cleartouch,"FiServ license + maintenance + on-prem infrastructure for core; includes DRP/BCP hosting"
Run,Digital Banking Platform,Retail Banking,1800000,1650000,1420000,Run,Jack Henry Banno,"Consumer online + mobile; SaaS fees + integration middleware"
Run,BSA/AML + Fraud Systems,Compliance,1650000,1480000,1340000,Run,NICE Actimize,"BSA/AML + fraud detection run costs; enhanced screening added post-exam"
Run,Cybersecurity Operations,IT,2240000,2100000,1680000,Run,Secureworks / Qualys,"Managed SOC + SIEM + vulnerability management; Secureworks primary"
Run,Infrastructure + Cloud,IT,2100000,1980000,1840000,Run,AWS / Azure / On-prem,"AWS for digital banking + analytics; Azure for Axiom/data; on-prem for core and Actimize"
Run,End User Computing,IT,1120000,1060000,980000,Run,Microsoft / Dell,"M365 licensing; device refresh; support desk"
Run,Finance + HR Systems,Finance / HR,1060000,1000000,940000,Run,Workday / Axiom / ADP,"Workday HCM + Axiom finance reporting + ADP payroll"
Run,Wealth + CRM Systems,Wealth + Commercial,1480000,1360000,1240000,Run,SS&C Advent / Salesforce FSC / Orion,"Multi-system wealth tech stack; will consolidate post-platform decision"
Run,Network + Telecom,IT,940000,880000,820000,Run,AT&T / Lumen,"Branch connectivity (47 sites); data center interconnect; backup links"
Change,Digital Banking Transformation (fcfi-digital-2026),Retail Banking,4800000,2800000,0,Change,Jack Henry / Temenos / Q2,"In-flight; $4.8M FY2026 change budget; Phase P3 Design → P4 Build transition"
Change,AML/KYC Enhancement (fcfi-aml-2026),Compliance,3800000,1400000,0,Change,Exiger / NICE Actimize,"OCC MRA remediation program; Exiger consulting + Actimize enhanced modules"
Change,Data Governance & Analytics (fcfi-data-gov-2026),Finance / Risk,2800000,1900000,800000,Change,Informatica / Databricks / dbt,"Data platform build; blocked pending core banking decision"
Transform,Core Banking Modernization (fcfi-core-2026) — FY2026,Enterprise,3600000,3600000,0,Transform,Deloitte / Temenos / Finxact,"RFP + vendor selection phase only in FY2026; build budget in FY2027+"
Transform,Wealth Platform Consolidation (fcfi-wealth-2026),Wealth Management,680000,680000,0,Transform,SS&C / Envestnet evaluation,"Discovery and business case phase only in FY2026"
