Metric_ID,Function,Owning_CXO,Metric_Name,Definition,Unit,Current_Value,Target_Value,Value_Stream_ID,Primary_Capability_ID
MERIDIANHEALTH-MET-0001,value_capture,CFO,Meridian Health benefit realization against committed value metric 1,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,26.0,37.7,VS-001,CAP-001
MERIDIANHEALTH-MET-0002,cycle_time,COO,Meridian Health elapsed time for target process metric 2,Tracks elapsed time for target process for the priority transformation portfolio.,percent,26.65,38.35,VS-002,CAP-002
MERIDIANHEALTH-MET-0003,risk_posture,CRO,Meridian Health open control and governance pressure metric 3,Tracks open control and governance pressure for the priority transformation portfolio.,percent,27.3,39.0,VS-003,CAP-003
MERIDIANHEALTH-MET-0004,adoption,CIO,Meridian Health active usage of changed workflow metric 4,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,27.95,39.65,VS-004,CAP-004
MERIDIANHEALTH-MET-0005,cost_to_serve,CFO,Meridian Health unit cost across served population or customer journey metric 5,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,28.6,40.3,VS-005,CAP-005
MERIDIANHEALTH-MET-0006,value_capture,CFO,Meridian Health benefit realization against committed value metric 6,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,29.25,40.95,VS-006,CAP-006
MERIDIANHEALTH-MET-0007,cycle_time,COO,Meridian Health elapsed time for target process metric 7,Tracks elapsed time for target process for the priority transformation portfolio.,usd,29.9,41.6,VS-007,CAP-007
MERIDIANHEALTH-MET-0008,risk_posture,CRO,Meridian Health open control and governance pressure metric 8,Tracks open control and governance pressure for the priority transformation portfolio.,percent,30.55,42.25,VS-008,CAP-008
MERIDIANHEALTH-MET-0009,adoption,CIO,Meridian Health active usage of changed workflow metric 9,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,31.2,42.9,VS-009,CAP-009
MERIDIANHEALTH-MET-0010,cost_to_serve,CFO,Meridian Health unit cost across served population or customer journey metric 10,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,31.85,43.55,VS-010,CAP-010
MERIDIANHEALTH-MET-0011,value_capture,CFO,Meridian Health benefit realization against committed value metric 11,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,32.5,44.2,VS-011,CAP-011
MERIDIANHEALTH-MET-0012,cycle_time,COO,Meridian Health elapsed time for target process metric 12,Tracks elapsed time for target process for the priority transformation portfolio.,percent,33.15,44.85,VS-012,CAP-012
MERIDIANHEALTH-MET-0013,risk_posture,CRO,Meridian Health open control and governance pressure metric 13,Tracks open control and governance pressure for the priority transformation portfolio.,usd,33.8,45.5,VS-013,CAP-013
MERIDIANHEALTH-MET-0014,adoption,CIO,Meridian Health active usage of changed workflow metric 14,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,34.45,46.15,VS-014,CAP-014
MERIDIANHEALTH-MET-0015,cost_to_serve,CFO,Meridian Health unit cost across served population or customer journey metric 15,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,35.1,46.8,VS-015,CAP-015
MERIDIANHEALTH-MET-0016,value_capture,CFO,Meridian Health benefit realization against committed value metric 16,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,35.75,47.45,VS-016,CAP-016
MERIDIANHEALTH-MET-0017,cycle_time,COO,Meridian Health elapsed time for target process metric 17,Tracks elapsed time for target process for the priority transformation portfolio.,percent,36.4,48.1,VS-001,CAP-017
MERIDIANHEALTH-MET-0018,risk_posture,CRO,Meridian Health open control and governance pressure metric 18,Tracks open control and governance pressure for the priority transformation portfolio.,percent,37.05,48.75,VS-002,CAP-018
MERIDIANHEALTH-MET-0019,adoption,CIO,Meridian Health active usage of changed workflow metric 19,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,37.7,49.4,VS-003,CAP-019
MERIDIANHEALTH-MET-0020,cost_to_serve,CFO,Meridian Health unit cost across served population or customer journey metric 20,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,38.35,50.05,VS-004,CAP-020
MERIDIANHEALTH-MET-0021,value_capture,CFO,Meridian Health benefit realization against committed value metric 21,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,39.0,50.7,VS-005,CAP-021
MERIDIANHEALTH-MET-0022,cycle_time,COO,Meridian Health elapsed time for target process metric 22,Tracks elapsed time for target process for the priority transformation portfolio.,usd,39.65,51.35,VS-006,CAP-022
MERIDIANHEALTH-MET-0023,risk_posture,CRO,Meridian Health open control and governance pressure metric 23,Tracks open control and governance pressure for the priority transformation portfolio.,percent,40.3,52.0,VS-007,CAP-023
MERIDIANHEALTH-MET-0024,adoption,CIO,Meridian Health active usage of changed workflow metric 24,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,40.95,52.65,VS-008,CAP-024
MERIDIANHEALTH-MET-0025,cost_to_serve,CFO,Meridian Health unit cost across served population or customer journey metric 25,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,41.6,53.3,VS-009,CAP-025
MERIDIANHEALTH-MET-0026,value_capture,CFO,Meridian Health benefit realization against committed value metric 26,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,42.25,53.95,VS-010,CAP-026
