Item_ID,Initiative_ID,Type,Description,Severity,Likelihood,Status,Owner,Due_Date,Mitigation
MERIDIANHEALTH-RAID-0001,MERIDIANHEALTH-INIT-0001,risk,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",high,high,mitigating,CIO,2026-07-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0002,MERIDIANHEALTH-INIT-0002,assumption,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,CFO,2026-08-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0003,MERIDIANHEALTH-INIT-0003,issue,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,COO,2026-09-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0004,MERIDIANHEALTH-INIT-0004,dependency,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,CISO,2026-10-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0005,MERIDIANHEALTH-INIT-0005,risk,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,mitigating,Business Sponsor,2026-11-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0006,MERIDIANHEALTH-INIT-0006,assumption,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",high,medium,open,CIO,2026-12-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0007,MERIDIANHEALTH-INIT-0007,issue,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,high,open,CFO,2026-07-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0008,MERIDIANHEALTH-INIT-0008,dependency,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,COO,2026-08-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0009,MERIDIANHEALTH-INIT-0009,risk,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,mitigating,CISO,2026-09-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0010,MERIDIANHEALTH-INIT-0010,assumption,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,Business Sponsor,2026-10-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0011,MERIDIANHEALTH-INIT-0011,issue,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",high,medium,open,CIO,2026-11-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0012,MERIDIANHEALTH-INIT-0012,dependency,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,CFO,2026-12-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0013,MERIDIANHEALTH-INIT-0013,risk,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,high,mitigating,COO,2026-07-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0014,MERIDIANHEALTH-INIT-0014,assumption,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,CISO,2026-08-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0015,MERIDIANHEALTH-INIT-0015,issue,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,Business Sponsor,2026-09-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0016,MERIDIANHEALTH-INIT-0016,dependency,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",high,medium,open,CIO,2026-10-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
MERIDIANHEALTH-RAID-0017,MERIDIANHEALTH-INIT-0017,risk,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,mitigating,CFO,2026-11-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
