tenant_key,source_file,source_row,source_record_id,source_label,view,amount_type,basis,period,amount_usd,is_rollup_of,component_of,formula,formula_version,value_source,reconciles_to_view,reconciles_to_record_id,reconciliation_envelope_usd,notes
meridian-health,ai-control-tower/T01_initiative-registry.csv,2,MER-AI-001,Databricks AWS clinical + claims lakehouse foundation,value,none,forecast,fy26,93000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
meridian-health,ai-control-tower/T01_initiative-registry.csv,2,MER-AI-001,Databricks AWS clinical + claims lakehouse foundation,value,none,actual,ytd,16740000,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
meridian-health,ai-control-tower/T01_initiative-registry.csv,3,MER-AI-002,Unified semantic layer for automation-ready data products,value,none,forecast,fy26,42000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
meridian-health,ai-control-tower/T01_initiative-registry.csv,3,MER-AI-002,Unified semantic layer for automation-ready data products,value,none,actual,ytd,11340000,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
meridian-health,ai-control-tower/T01_initiative-registry.csv,4,MER-AI-003,Prior authorization automation evidence cockpit,value,none,forecast,fy26,61000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
meridian-health,ai-control-tower/T01_initiative-registry.csv,4,MER-AI-003,Prior authorization automation evidence cockpit,value,none,actual,ytd,21960000,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
meridian-health,ai-control-tower/T01_initiative-registry.csv,5,MER-AI-004,Call center agent assist and next-best-action,value,none,forecast,fy26,68000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
meridian-health,ai-control-tower/T01_initiative-registry.csv,5,MER-AI-004,Call center agent assist and next-best-action,value,none,actual,ytd,30600000,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
meridian-health,ai-control-tower/T01_initiative-registry.csv,6,MER-AI-005,HEDIS/STAR provider quality performance mart,value,none,forecast,fy26,52000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
meridian-health,ai-control-tower/T01_initiative-registry.csv,6,MER-AI-005,HEDIS/STAR provider quality performance mart,value,none,actual,ytd,9360000,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
