tenant_key,source_file,source_row,source_record_id,source_label,view,amount_type,basis,period,amount_usd,is_rollup_of,component_of,formula,formula_version,value_source,reconciles_to_view,reconciles_to_record_id,reconciliation_envelope_usd,notes
meridian-health,derived/tower_financial_amounts_fy2025_trend.csv,2,MER-AI-001-FY2025-7b37661b0a,Databricks AWS clinical + claims lakehouse foundation FY2025 trend baseline,value,none,baseline,fy25,37200000,,,synthetic_backcast_from_fy26:MER-AI-001:2; multiplier=0.4,tower_synthetic_fy2025_trend_v1,synthetic,value,MER-AI-001,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
meridian-health,derived/tower_financial_amounts_fy2025_trend.csv,3,MER-AI-001-FY2025-f2c09ed948,Databricks AWS clinical + claims lakehouse foundation FY2025 trend baseline,value,none,baseline,fy25,6696000,,,synthetic_backcast_from_fy26:MER-AI-001:2; multiplier=0.4,tower_synthetic_fy2025_trend_v1,synthetic,value,MER-AI-001,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
meridian-health,derived/tower_financial_amounts_fy2025_trend.csv,4,MER-AI-002-FY2025-2abe85a7a5,Unified semantic layer for automation-ready data products FY2025 trend baseline,value,none,baseline,fy25,16800000,,,synthetic_backcast_from_fy26:MER-AI-002:3; multiplier=0.4,tower_synthetic_fy2025_trend_v1,synthetic,value,MER-AI-002,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
meridian-health,derived/tower_financial_amounts_fy2025_trend.csv,5,MER-AI-002-FY2025-1dbe43854e,Unified semantic layer for automation-ready data products FY2025 trend baseline,value,none,baseline,fy25,4536000,,,synthetic_backcast_from_fy26:MER-AI-002:3; multiplier=0.4,tower_synthetic_fy2025_trend_v1,synthetic,value,MER-AI-002,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
meridian-health,derived/tower_financial_amounts_fy2025_trend.csv,6,MER-AI-003-FY2025-b20e9780b9,Prior authorization automation evidence cockpit FY2025 trend baseline,value,none,baseline,fy25,24400000,,,synthetic_backcast_from_fy26:MER-AI-003:4; multiplier=0.4,tower_synthetic_fy2025_trend_v1,synthetic,value,MER-AI-003,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
meridian-health,derived/tower_financial_amounts_fy2025_trend.csv,7,MER-AI-003-FY2025-366ed56ab2,Prior authorization automation evidence cockpit FY2025 trend baseline,value,none,baseline,fy25,8784000,,,synthetic_backcast_from_fy26:MER-AI-003:4; multiplier=0.4,tower_synthetic_fy2025_trend_v1,synthetic,value,MER-AI-003,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
meridian-health,derived/tower_financial_amounts_fy2025_trend.csv,8,MER-AI-004-FY2025-f800ee7ddc,Call center agent assist and next-best-action FY2025 trend baseline,value,none,baseline,fy25,27200000,,,synthetic_backcast_from_fy26:MER-AI-004:5; multiplier=0.4,tower_synthetic_fy2025_trend_v1,synthetic,value,MER-AI-004,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
meridian-health,derived/tower_financial_amounts_fy2025_trend.csv,9,MER-AI-004-FY2025-d14ae5b060,Call center agent assist and next-best-action FY2025 trend baseline,value,none,baseline,fy25,12240000,,,synthetic_backcast_from_fy26:MER-AI-004:5; multiplier=0.4,tower_synthetic_fy2025_trend_v1,synthetic,value,MER-AI-004,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
meridian-health,derived/tower_financial_amounts_fy2025_trend.csv,10,MER-AI-005-FY2025-b3c3cf906a,HEDIS/STAR provider quality performance mart FY2025 trend baseline,value,none,baseline,fy25,20800000,,,synthetic_backcast_from_fy26:MER-AI-005:6; multiplier=0.4,tower_synthetic_fy2025_trend_v1,synthetic,value,MER-AI-005,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
meridian-health,derived/tower_financial_amounts_fy2025_trend.csv,11,MER-AI-005-FY2025-2b276ebf48,HEDIS/STAR provider quality performance mart FY2025 trend baseline,value,none,baseline,fy25,3744000,,,synthetic_backcast_from_fy26:MER-AI-005:6; multiplier=0.4,tower_synthetic_fy2025_trend_v1,synthetic,value,MER-AI-005,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
