tenant_key,month,tool,portfolio_company,eligible_users,active_users,usage_count,adoption_rate,source_template,is_synthetic
lakeshore-holdings,2026-01,M365 Copilot,Lakeshore Shared Services,2500,800,18400,0.32,T03_tool-usage-monthly,True
lakeshore-holdings,2026-01,GitHub Copilot/Codex,Crestpoint Marketing Services,180,95,2280,0.528,T03_tool-usage-monthly,True
lakeshore-holdings,2026-01,Demand sensing model,Riverton Consumer Products,80,35,1015,0.438,T03_tool-usage-monthly,True
lakeshore-holdings,2026-01,Route optimization model,Arborfield Workplace Services,120,40,1160,0.333,T03_tool-usage-monthly,True
lakeshore-holdings,2026-01,Warehouse analytics assistant,Northline Logistics Group,650,220,6160,0.338,T03_tool-usage-monthly,True
lakeshore-holdings,2026-02,M365 Copilot,Lakeshore Shared Services,2500,864,19008,0.346,T03_tool-usage-monthly,True
lakeshore-holdings,2026-02,GitHub Copilot/Codex,Crestpoint Marketing Services,180,102,2142,0.567,T03_tool-usage-monthly,True
lakeshore-holdings,2026-02,Demand sensing model,Riverton Consumer Products,80,37,1073,0.463,T03_tool-usage-monthly,True
lakeshore-holdings,2026-02,Route optimization model,Arborfield Workplace Services,120,43,860,0.358,T03_tool-usage-monthly,True
lakeshore-holdings,2026-02,Warehouse analytics assistant,Northline Logistics Group,650,237,6873,0.365,T03_tool-usage-monthly,True
lakeshore-holdings,2026-03,M365 Copilot,Lakeshore Shared Services,2500,927,23175,0.371,T03_tool-usage-monthly,True
lakeshore-holdings,2026-03,GitHub Copilot/Codex,Crestpoint Marketing Services,180,110,2750,0.611,T03_tool-usage-monthly,True
lakeshore-holdings,2026-03,Demand sensing model,Riverton Consumer Products,80,40,760,0.5,T03_tool-usage-monthly,True
lakeshore-holdings,2026-03,Route optimization model,Arborfield Workplace Services,120,46,966,0.383,T03_tool-usage-monthly,True
lakeshore-holdings,2026-03,Warehouse analytics assistant,Northline Logistics Group,650,255,5610,0.392,T03_tool-usage-monthly,True
lakeshore-holdings,2026-04,M365 Copilot,Lakeshore Shared Services,2500,992,20832,0.397,T03_tool-usage-monthly,True
lakeshore-holdings,2026-04,GitHub Copilot/Codex,Crestpoint Marketing Services,180,117,3393,0.65,T03_tool-usage-monthly,True
lakeshore-holdings,2026-04,Demand sensing model,Riverton Consumer Products,80,43,1032,0.537,T03_tool-usage-monthly,True
lakeshore-holdings,2026-04,Route optimization model,Arborfield Workplace Services,120,49,1274,0.408,T03_tool-usage-monthly,True
lakeshore-holdings,2026-04,Warehouse analytics assistant,Northline Logistics Group,650,272,7888,0.418,T03_tool-usage-monthly,True
lakeshore-holdings,2026-05,M365 Copilot,Lakeshore Shared Services,2500,1056,29568,0.422,T03_tool-usage-monthly,True
lakeshore-holdings,2026-05,GitHub Copilot/Codex,Crestpoint Marketing Services,180,125,3500,0.694,T03_tool-usage-monthly,True
lakeshore-holdings,2026-05,Demand sensing model,Riverton Consumer Products,80,46,874,0.575,T03_tool-usage-monthly,True
lakeshore-holdings,2026-05,Route optimization model,Arborfield Workplace Services,120,52,936,0.433,T03_tool-usage-monthly,True
lakeshore-holdings,2026-05,Warehouse analytics assistant,Northline Logistics Group,650,290,7250,0.446,T03_tool-usage-monthly,True
lakeshore-holdings,2026-06,M365 Copilot,Lakeshore Shared Services,2500,1120,21280,0.448,T03_tool-usage-monthly,True
lakeshore-holdings,2026-06,GitHub Copilot/Codex,Crestpoint Marketing Services,180,133,3857,0.739,T03_tool-usage-monthly,True
lakeshore-holdings,2026-06,Demand sensing model,Riverton Consumer Products,80,49,1127,0.613,T03_tool-usage-monthly,True
lakeshore-holdings,2026-06,Route optimization model,Arborfield Workplace Services,120,56,1624,0.467,T03_tool-usage-monthly,True
lakeshore-holdings,2026-06,Warehouse analytics assistant,Northline Logistics Group,650,308,8316,0.474,T03_tool-usage-monthly,True
