application_id,application_name,domain,primary_business_owner,technical_owner_team,platform_type,hosting_model,environment,criticality,annual_run_cost_usd,users_or_entities_supported,integration_count,data_classification,modernization_state,evidence_id,source_file,source_row,value_source
MER-APP-001,Epic Hyperspace,clinical_ehr,Chief Medical Officer,Epic and Clinical Systems,package,vendor_hosted,production,critical,7100000,4708400,19,phi,optimize,MER-EVID-002,family-2-technology-estate/F05_applications-systems.csv,2,tenant_file
MER-APP-002,Epic MyChart,clinical_ehr,Chief Health Plan Officer,Epic and Clinical Systems,package,on_prem_vmware,production,critical,9000000,4716800,20,phi,extend_to_lakehouse,MER-EVID-003,family-2-technology-estate/F05_applications-systems.csv,3,tenant_file
MER-APP-003,Epic Cadence,clinical_ehr,Chief Digital & Information Officer,Epic and Clinical Systems,package,vendor_hosted,production,critical,10900000,4725200,21,phi,optimize,MER-EVID-004,family-2-technology-estate/F05_applications-systems.csv,4,tenant_file
MER-APP-004,Epic Resolute PB,clinical_ehr,CFO,Epic and Clinical Systems,package,on_prem_vmware,production,critical,12800000,4733600,22,phi,extend_to_lakehouse,MER-EVID-005,family-2-technology-estate/F05_applications-systems.csv,5,tenant_file
MER-APP-005,Epic Resolute HB,clinical_ehr,Chief Operating Officer,Epic and Clinical Systems,package,vendor_hosted,production,critical,14700000,4742000,23,phi,optimize,MER-EVID-006,family-2-technology-estate/F05_applications-systems.csv,6,tenant_file
MER-APP-006,Epic Healthy Planet,clinical_ehr,Chief Nursing Officer,Epic and Clinical Systems,package,on_prem_vmware,production,critical,16600000,4750400,24,phi,extend_to_lakehouse,MER-EVID-007,family-2-technology-estate/F05_applications-systems.csv,7,tenant_file
MER-APP-007,Epic Cogito,clinical_ehr,Chief Compliance Officer,Epic and Clinical Systems,package,vendor_hosted,production,critical,18500000,4758800,25,phi,optimize,MER-EVID-008,family-2-technology-estate/F05_applications-systems.csv,8,tenant_file
MER-APP-008,Epic Clarity,clinical_ehr,Chief Customer Experience Officer,Epic and Clinical Systems,package,on_prem_vmware,production,critical,20400000,4767200,26,phi,extend_to_lakehouse,MER-EVID-009,family-2-technology-estate/F05_applications-systems.csv,9,tenant_file
MER-APP-009,Epic Caboodle,clinical_ehr,Chief Medical Officer,Epic and Clinical Systems,package,vendor_hosted,production,critical,22300000,4775600,18,phi,optimize,MER-EVID-010,family-2-technology-estate/F05_applications-systems.csv,10,tenant_file
MER-APP-010,Epic Cosmos connector,clinical_ehr,Chief Health Plan Officer,Epic and Clinical Systems,package,on_prem_vmware,production,critical,24200000,4784000,19,phi,extend_to_lakehouse,MER-EVID-011,family-2-technology-estate/F05_applications-systems.csv,11,tenant_file
