signal_id,service_or_process,metric_name,period,value,threshold,status,owner_role,evidence_id
APX-OPS-001,POS availability,availability_pct,2026-05,92,95,attention,VP Store Technology,APX-EVID-001
APX-OPS-002,Ecommerce checkout,latency_ms,2026-05,93,95,normal,SVP Digital Engineering,APX-EVID-002
APX-OPS-003,OMS order flow,backlog,2026-05,94,95,normal,VP Merch Tech,APX-EVID-003
APX-OPS-004,Warehouse pick,defect_rate,2026-05,95,95,normal,VP Supply Chain Tech,APX-EVID-004
APX-OPS-005,Store support,sla_pct,2026-05,96,95,attention,VP Customer Platforms,APX-EVID-005
APX-OPS-006,Shrink investigation,exception_count,2026-05,97,95,normal,VP ERP,APX-EVID-006
APX-OPS-007,POS availability,availability_pct,2026-05,98,95,normal,Chief Data Officer,APX-EVID-007
APX-OPS-008,Ecommerce checkout,latency_ms,2026-05,99,95,normal,VP Cloud Platform,APX-EVID-008
APX-OPS-009,OMS order flow,backlog,2026-05,92,95,attention,CISO,APX-EVID-009
APX-OPS-010,Warehouse pick,defect_rate,2026-05,93,95,normal,VP IT Operations,APX-EVID-010
APX-OPS-011,Store support,sla_pct,2026-05,94,95,normal,VP Store Technology,APX-EVID-011
APX-OPS-012,Shrink investigation,exception_count,2026-05,95,95,normal,SVP Digital Engineering,APX-EVID-012
