Metric_ID,Function,Owning_CXO,Metric_Name,Definition,Unit,Current_Value,Target_Value,Value_Stream_ID,Primary_Capability_ID
APEXRETAIL-MET-0001,value_capture,CFO,Apex Retail benefit realization against committed value metric 1,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,28.0,40.6,VS-001,CAP-001
APEXRETAIL-MET-0002,cycle_time,COO,Apex Retail elapsed time for target process metric 2,Tracks elapsed time for target process for the priority transformation portfolio.,percent,28.7,41.3,VS-002,CAP-002
APEXRETAIL-MET-0003,risk_posture,CRO,Apex Retail open control and governance pressure metric 3,Tracks open control and governance pressure for the priority transformation portfolio.,percent,29.4,42.0,VS-003,CAP-003
APEXRETAIL-MET-0004,adoption,CIO,Apex Retail active usage of changed workflow metric 4,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,30.1,42.7,VS-004,CAP-004
APEXRETAIL-MET-0005,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 5,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,30.8,43.4,VS-005,CAP-005
APEXRETAIL-MET-0006,value_capture,CFO,Apex Retail benefit realization against committed value metric 6,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,31.5,44.1,VS-006,CAP-006
APEXRETAIL-MET-0007,cycle_time,COO,Apex Retail elapsed time for target process metric 7,Tracks elapsed time for target process for the priority transformation portfolio.,usd,32.2,44.8,VS-007,CAP-007
APEXRETAIL-MET-0008,risk_posture,CRO,Apex Retail open control and governance pressure metric 8,Tracks open control and governance pressure for the priority transformation portfolio.,percent,32.9,45.5,VS-008,CAP-008
APEXRETAIL-MET-0009,adoption,CIO,Apex Retail active usage of changed workflow metric 9,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,33.6,46.2,VS-009,CAP-009
APEXRETAIL-MET-0010,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 10,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,34.3,46.9,VS-010,CAP-010
APEXRETAIL-MET-0011,value_capture,CFO,Apex Retail benefit realization against committed value metric 11,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,35.0,47.6,VS-011,CAP-011
APEXRETAIL-MET-0012,cycle_time,COO,Apex Retail elapsed time for target process metric 12,Tracks elapsed time for target process for the priority transformation portfolio.,percent,35.7,48.3,VS-012,CAP-012
APEXRETAIL-MET-0013,risk_posture,CRO,Apex Retail open control and governance pressure metric 13,Tracks open control and governance pressure for the priority transformation portfolio.,usd,36.4,49.0,VS-013,CAP-013
APEXRETAIL-MET-0014,adoption,CIO,Apex Retail active usage of changed workflow metric 14,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,37.1,49.7,VS-014,CAP-014
APEXRETAIL-MET-0015,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 15,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,37.8,50.4,VS-015,CAP-015
APEXRETAIL-MET-0016,value_capture,CFO,Apex Retail benefit realization against committed value metric 16,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,38.5,51.1,VS-016,CAP-016
APEXRETAIL-MET-0017,cycle_time,COO,Apex Retail elapsed time for target process metric 17,Tracks elapsed time for target process for the priority transformation portfolio.,percent,39.2,51.8,VS-001,CAP-017
APEXRETAIL-MET-0018,risk_posture,CRO,Apex Retail open control and governance pressure metric 18,Tracks open control and governance pressure for the priority transformation portfolio.,percent,39.9,52.5,VS-002,CAP-018
APEXRETAIL-MET-0019,adoption,CIO,Apex Retail active usage of changed workflow metric 19,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,40.6,53.2,VS-003,CAP-019
APEXRETAIL-MET-0020,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 20,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,41.3,53.9,VS-004,CAP-020
APEXRETAIL-MET-0021,value_capture,CFO,Apex Retail benefit realization against committed value metric 21,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,42.0,54.6,VS-005,CAP-021
APEXRETAIL-MET-0022,cycle_time,COO,Apex Retail elapsed time for target process metric 22,Tracks elapsed time for target process for the priority transformation portfolio.,usd,42.7,55.3,VS-006,CAP-022
APEXRETAIL-MET-0023,risk_posture,CRO,Apex Retail open control and governance pressure metric 23,Tracks open control and governance pressure for the priority transformation portfolio.,percent,43.4,56.0,VS-007,CAP-023
APEXRETAIL-MET-0024,adoption,CIO,Apex Retail active usage of changed workflow metric 24,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,44.1,56.7,VS-008,CAP-024
APEXRETAIL-MET-0025,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 25,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,44.8,57.4,VS-009,CAP-025
APEXRETAIL-MET-0026,value_capture,CFO,Apex Retail benefit realization against committed value metric 26,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,45.5,58.1,VS-010,CAP-026
APEXRETAIL-MET-0027,cycle_time,COO,Apex Retail elapsed time for target process metric 27,Tracks elapsed time for target process for the priority transformation portfolio.,percent,46.2,58.8,VS-011,CAP-027
APEXRETAIL-MET-0028,risk_posture,CRO,Apex Retail open control and governance pressure metric 28,Tracks open control and governance pressure for the priority transformation portfolio.,usd,46.9,59.5,VS-012,CAP-028
APEXRETAIL-MET-0029,adoption,CIO,Apex Retail active usage of changed workflow metric 29,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,47.6,60.2,VS-013,CAP-029
APEXRETAIL-MET-0030,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 30,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,48.3,60.9,VS-014,CAP-030
APEXRETAIL-MET-0031,value_capture,CFO,Apex Retail benefit realization against committed value metric 31,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,49.0,61.6,VS-015,CAP-031
APEXRETAIL-MET-0032,cycle_time,COO,Apex Retail elapsed time for target process metric 32,Tracks elapsed time for target process for the priority transformation portfolio.,percent,49.7,62.3,VS-016,CAP-032
APEXRETAIL-MET-0033,risk_posture,CRO,Apex Retail open control and governance pressure metric 33,Tracks open control and governance pressure for the priority transformation portfolio.,percent,50.4,63.0,VS-001,CAP-033
APEXRETAIL-MET-0034,adoption,CIO,Apex Retail active usage of changed workflow metric 34,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,51.1,63.7,VS-002,CAP-034
APEXRETAIL-MET-0035,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 35,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,51.8,64.4,VS-003,CAP-035
APEXRETAIL-MET-0036,value_capture,CFO,Apex Retail benefit realization against committed value metric 36,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,52.5,65.1,VS-004,CAP-036
