"tenant","page","tab","component","rendered_value","generated_by","deterministic_object","storage_location","source_layer","source_files","refreshed_at","claude_prompt_file","claude_response_file","notes"
"meridian-health","Home / Knowledge","Overview","KPI facts","1. label: Tenant | value: Meridian Health System | sub: Integrated health system + health plan | st: source-backed | evidence_refs: 1. MER-V3-EVID-0001
2. label: Context Dimensions | value: 19 | sub: Across enterprise profile, systems, data, risks, and programs | st: source-backed | evidence_refs: 1. MER-V3-EVID-0001
3. label: Source Rows Ingested | value: 3,487 | sub: 203 active; 3,284 candidate | st: source-backed | evidence_refs: 1. MER-V3-EVID-0001
4. label: Evidence References | value: 146 | sub: Across documents, systems, and executive interviews | st: source-backed | evidence_refs: 1. MER-V3-EVID-0001
5. label: Core EHR Platform | value: Epic (Hyperspace, Clarity, Caboodle) | sub: Clinical Platforms owner; current core lifecycle | st: source-backed | evidence_refs: 1. MER-V3-EVID-0040
2. MER-V3-EVID-0041
3. MER-V3-EVID-0042
6. label: Analytics Estate | value: SQL Server, Tableau, Power BI, SAS | sub: Fragmented on-prem; no certified semantic layer | st: source-backed | evidence_refs: 1. MER-V3-EVID-0043
2. MER-V3-EVID-0044
3. MER-V3-EVID-0045
4. MER-V3-EVID-0046
7. label: Target Cloud Platform | value: AWS + Databricks (aspirational) | sub: Foundation not yet production-ready; no certified medallion architecture | st: directional | evidence_refs: 1. MER-V3-EVID-0053
2. MER-V3-EVID-0054
3. MER-V3-EVID-0281
8. label: Managed Services Risk | value: ~80% maintenance load | sub: Outsourced analytics provider limits net-new delivery capacity | st: directional | evidence_refs: 1. MER-V3-EVID-0074
9. label: Data Governance Status | value: Not yet formalized | sub: No certified semantic layer; no AI audit trail evidence | st: source-backed | evidence_refs: 1. MER-V3-EVID-0174
2. MER-V3-EVID-0175
3. MER-V3-EVID-0176
10. label: Priority Use Cases | value: 7 identified | sub: Lakehouse, AI/LLM, call center, quality, cost, payment integrity, close | st: source-backed | evidence_refs: 1. MER-V3-EVID-0360
2. MER-V3-EVID-0361
3. MER-V3-EVID-0362
11. label: Executive Interviews | value: 10+ stakeholder groups | sub: CEO, CFO, CIO, CTO, CDAO, CMO, CXO, Health Plan Ops, Privacy, Program Office | st: source-backed | evidence_refs: 1. MER-SA07-INT-EVID-0001
2. MER-SA07-INT-EVID-0013
3. MER-SA07-INT-EVID-0025
12. label: Context Refresh | value: 2026-07-16 | sub: Planning-grade synthetic context; not real Meridian production data | st: source-backed | evidence_refs: 1. MER-V3-EVID-0280","Claude-derived advisory artifact","design_slots.FACTS","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","00_enterprise_profile.csv; 04_applications_systems.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Home / Knowledge","Overview","KPI strip","1. label: Active Context Rows | value: 203 | sub: of 3,487 total ingested | tone: brand
2. label: Dimensions Loaded | value: 19 | sub: All source-backed | tone: green
3. label: Evidence References | value: 146 | sub: Across docs, systems, interviews | tone: plain
4. label: Use Cases Identified | value: 7 | sub: All pending evidence closure | tone: amber
5. label: Critical Gaps | value: 24 | sub: Blocking decision-grade outputs | tone: amber","Claude-derived advisory artifact","design_slots.KPIS","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Home / Knowledge","Overview","Boardroom brief columns","1. label: Who Meridian Is | text: Integrated health system and health plan operating Epic as core EHR, with a fragmented on-prem analytics estate (SQL Server, Tableau, Power BI, SAS) and an outsourced analytics managed services provider consuming ~80% of delivery capacity on maintenance. | evidence_refs: 1. MER-V3-EVID-0001
2. MER-V3-EVID-0043
3. MER-V3-EVID-0074
2. label: Where They Want to Go | text: Seven enterprise use cases are in scope: unified clinical + claims lakehouse, governed AI/LLM foundation, call center optimization, provider quality, cost transparency, payment integrity, and automated close. AWS and Databricks are the target platform direction — not yet production-ready. | evidence_refs: 1. MER-V3-EVID-0360
2. MER-V3-EVID-0053
3. MER-V3-EVID-0054
3. label: What Is Blocking Progress | text: No certified medallion architecture, no patient/member identity spine, no formal data governance, no certified semantic layer, and no AI audit trail evidence. Provider contract terms are not digitized in governed form. All seven use cases require evidence closure before value can be quantified. | evidence_refs: 1. MER-V3-EVID-0170
2. MER-V3-EVID-0174
3. MER-V3-EVID-0282
4. label: What Nexus Can Do Now | text: Nexus has mapped the enterprise context across 19 dimensions and 146 evidence references. It can surface use case hypotheses, identify gap-to-decision chains, and prioritize evidence collection. It cannot yet produce decision-grade sourcing outputs or quantified value claims. | evidence_refs: 1. MER-V3-EVID-0280
2. MER-V3-EVID-0285","Claude-derived advisory artifact","design_slots.BRIEF_COLS","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs; interviews/executive_interviews.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Home / Knowledge","Overview","Leadership priorities","1. n: 1 | title: Close the lakehouse foundation evidence gap | detail: Epic Clarity, Claims, and Pharmacy data harmonization must be certified before the unified clinical + claims lakehouse use case can advance. AWS/Databricks medallion architecture is aspirational — not yet evidenced. | evidence_refs: 1. MER-V3-EVID-0170
2. MER-V3-EVID-0171
3. MER-V3-EVID-0172
4. MER-V3-EVID-0173
2. n: 2 | title: Establish formal data governance and semantic layer | detail: No certified semantic layer and no formal governance operating model exist. This blocks all seven use cases, particularly AI/LLM automation, where audit trail and data quality rule evidence are also absent. | evidence_refs: 1. MER-V3-EVID-0174
2. MER-V3-EVID-0175
3. MER-V3-EVID-0176
4. MER-V3-EVID-0177
3. n: 3 | title: Digitize provider contract terms and certify attribution | detail: Provider contract terms are not in governed digital form. Attribution ownership is unproven. Both gaps block cost transparency and provider quality use cases from reaching decision grade. | evidence_refs: 1. MER-V3-EVID-0186
2. MER-V3-EVID-0183
3. MER-V3-EVID-0184
4. n: 4 | title: Govern contact center transcripts and certify intent taxonomy | detail: Transcript governance, real-time CRM integration, and member identity linkage are all unproven. Call center optimization cannot advance to agent-assist or next-best-action without these foundations. | evidence_refs: 1. MER-V3-EVID-0178
2. MER-V3-EVID-0179
3. MER-V3-EVID-0180
4. MER-V3-EVID-0181
5. n: 5 | title: Certify payment integrity model lineage and recovery workflows | detail: SAS-based payment integrity models lack governed lineage. Provider entity resolution is unproven. Investigation and recovery tracking workflows are not yet evidenced, preventing leakage quantification. | evidence_refs: 1. MER-V3-EVID-0192
2. MER-V3-EVID-0193
3. MER-V3-EVID-0194
4. MER-V3-EVID-0195","Claude-derived advisory artifact","design_slots.PRIORITIES","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","09_programs_initiatives.csv; 10_ai_automation_use_cases.csv; 11_risks_controls.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Home / Knowledge","Overview","Leadership signals","1. role: CEO / Enterprise Strategy | source: Executive Interview (MER-SA07-INT-EVID-0001) | initials: CE | quote: Unified clinical + claims lakehouse is promising, but strategy is not decision-grade until Epic Clarity evidence closes — no certified medallion architecture. | evidence_refs: 1. MER-SA07-INT-EVID-0001
2. MER-SA07-INT-EVID-0008
2. role: CFO / Finance & Value | source: Executive Interview (MER-SA07-INT-EVID-0013) | initials: CF | quote: Governed data foundation for AI/LLM automation is promising, but not decision-grade until Epic Clarity evidence closes — no formal data governance. | evidence_refs: 1. MER-SA07-INT-EVID-0013
2. MER-SA07-INT-EVID-0017
3. role: CIO / Enterprise Technology | source: Executive Interview (MER-SA07-INT-EVID-0025) | initials: CI | quote: Call center optimization is promising, but not decision-grade until contact center transcript evidence closes — transcript governance not yet evidenced. | evidence_refs: 1. MER-SA07-INT-EVID-0025
2. MER-SA07-INT-EVID-0003
4. role: CDAO / Data & Analytics | source: Executive Interview (MER-SA07-INT-EVID-0049) | initials: CD | quote: End-to-end cost transparency is promising, but not decision-grade until Claims administration platform evidence closes — provider contract terms not digitized in governed form. | evidence_refs: 1. MER-SA07-INT-EVID-0049
2. MER-SA07-INT-EVID-0005","Claude-derived advisory artifact","design_slots.SIGNALS","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs; interviews/executive_interviews.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Home / Knowledge","Overview","Decision can support","1. Identify which of the 7 use cases has the shortest evidence-closure path
2. Map which systems must provide certified evidence before each use case can advance
3. Prioritize governance investments (semantic layer, data quality rules, audit trail) that unblock multiple use cases simultaneously
4. Assess managed services contract risk given ~80% maintenance load limiting net-new delivery
5. Sequence the AWS/Databricks platform build against use case readiness requirements
6. Identify which executive stakeholders own each evidence gap and assign closure accountability","Claude-derived advisory artifact","design_slots.DEC_CAN","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Home / Knowledge","Overview","Decision cannot support","1. Quantify realized savings or ROI for any use case — baselines and owner sign-off are not yet in place
2. Confirm AWS or Databricks as production-ready — no certified medallion architecture is evidenced
3. Assert that HEDIS/STAR outputs are audited or that provider attribution is accepted
4. Claim LLM or AI workflows are production-ready — no governance, semantic layer, or audit trail exists
5. Confirm provider contract economics — terms are not digitized in governed form
6. Assert that real-time agent assist or member-experience lift is live in the contact center","Claude-derived advisory artifact","design_slots.DEC_CANNOT","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Home / Knowledge","Context Confidence","Confidence table","1. dim: Enterprise Profile | status: source-backed | note: Meridian Health System identity confirmed across all dimensions. | evidence_refs: 1. MER-V3-EVID-0001
2. dim: Business Functions & Org Ownership | status: source-backed | note: 7 active functions confirmed; 217 candidate rows pending owner certification. CDAO, CMO, CFO, CXO, CDIO mapped. | evidence_refs: 1. MER-V3-EVID-0002
2. MER-V3-EVID-0003
3. MER-V3-EVID-0004
3. dim: Applications & Systems | status: source-backed | note: 15 systems confirmed including Epic suite, SQL Server, Tableau, SAS, Power BI, Claims, Pharmacy, CRM, Contact Center, GL, Provider Contracts. AWS and Databricks are aspirational. | evidence_refs: 1. MER-V3-EVID-0040
2. MER-V3-EVID-0053
3. MER-V3-EVID-0054
4. dim: Data Assets & Integrations | status: source-backed | note: 17 active data asset rows across 7 use cases. No certified medallion architecture or identity spine. Claims/pharmacy harmonization unproven. | evidence_refs: 1. MER-V3-EVID-0100
2. MER-V3-EVID-0101
3. MER-V3-EVID-0102
5. dim: Infrastructure & Platforms | status: directional | note: AWS and Databricks are target direction only. No production analytics foundation evidenced. On-prem SQL Server is current critical state. | evidence_refs: 1. MER-V3-EVID-0053
2. MER-V3-EVID-0054
3. MER-V3-EVID-0281
6. dim: Vendors & Contracts | status: source-backed | note: 7 vendors confirmed. Commercial terms not yet evidenced for any vendor. Managed services provider carries ~80% maintenance load risk. | evidence_refs: 1. MER-V3-EVID-0070
2. MER-V3-EVID-0074
3. MER-V3-EVID-0075
7. dim: IT Budget, Spend & Value | status: needs-evidence | note: Value hypotheses are planning-grade only. No baseline spend, tower-level cost, or realized savings data is loaded. Quantification requires owner sign-off. | evidence_refs: 1. MER-V3-EVID-0360
2. MER-V3-EVID-0285
8. dim: Risks & Controls | status: source-backed | note: 24 discrete risk/gap items mapped across all 7 use cases. All carry baseline_required_before_value_claim metric boundary. | evidence_refs: 1. MER-V3-EVID-0170
2. MER-V3-EVID-0174
3. MER-V3-EVID-0182
9. dim: AI & Automation Use Cases | status: directional | note: 7 use cases identified with value hypotheses. No LLM workflow is production-ready. No governance, semantic layer, or AI audit trail is evidenced. | evidence_refs: 1. MER-V3-EVID-0103
2. MER-V3-EVID-0174
3. MER-V3-EVID-0176
10. dim: Programs & Initiatives | status: directional | note: 17 active program rows across 7 use cases. All pending evidence closure before sourcing outputs can be produced. | evidence_refs: 1. MER-V3-EVID-0100
2. MER-V3-EVID-0109
3. MER-V3-EVID-0115
11. dim: Executive Interview Context | status: source-backed | note: 10+ stakeholder groups interviewed. All confirm use case promise but flag specific evidence gaps blocking decision-grade status. | evidence_refs: 1. MER-SA07-INT-EVID-0001
2. MER-SA07-INT-EVID-0013
3. MER-SA07-INT-EVID-0025
12. dim: Industry Context & Expert Lenses | status: source-backed | note: 7 industry patterns loaded, one per use case. All high confidence except Provider Quality (medium). | evidence_refs: 1. MER-V3-EVID-0320
2. MER-V3-EVID-0321
3. MER-V3-EVID-0323","Deterministic counts plus Claude advisory synthesis","design_slots.CONF_TABLE","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","00-18 canonical CSVs","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Home / Knowledge","Evidence Gaps","Evidence gaps","1. type: Platform Foundation | severity: High | title: No certified medallion architecture (AWS/Databricks) | blocks: Unified clinical + claims lakehouse cannot advance. No bronze/silver/gold data products are evidenced. Target state is aspirational only. | evidence_refs: 1. MER-V3-EVID-0170
2. MER-V3-EVID-0173
3. MER-V3-EVID-0281
4. MER-V3-EVID-0282
2. type: Data Governance | severity: High | title: No formal data governance operating model | blocks: AI/LLM automation use case is not decision-grade. Blocks semantic layer certification, AI audit trail, and data quality rule enforcement across all use cases. | evidence_refs: 1. MER-V3-EVID-0174
2. MER-V3-EVID-0284
3. MER-SA07-INT-EVID-0002
4. MER-SA07-INT-EVID-0009
3. type: Data Architecture | severity: High | title: No certified semantic layer | blocks: AI/LLM, cost transparency, and automated close use cases cannot produce governed outputs. SQL Server mart sprawl creates duplicated, ungoverned business rules. | evidence_refs: 1. MER-V3-EVID-0175
2. MER-V3-EVID-0043
3. MER-SA07-INT-EVID-0002
4. type: Identity & Integration | severity: High | title: No patient/member identity spine loaded | blocks: Unified lakehouse and call center optimization both require a resolved member identity. Claims, pharmacy, and EMR data cannot be joined without it. | evidence_refs: 1. MER-V3-EVID-0171
2. MER-V3-EVID-0181
3. MER-SA07-INT-EVID-0001
5. type: Contract & Cost Data | severity: High | title: Provider contract terms not digitized in governed form | blocks: End-to-end cost transparency and provider quality use cases cannot produce margin or attribution outputs. Capitation and value-based contract logic remain in manual documents. | evidence_refs: 1. MER-V3-EVID-0186
2. MER-V3-EVID-0114
3. MER-SA07-INT-EVID-0005
6. type: Contact Center | severity: High | title: Transcript governance and intent taxonomy not certified | blocks: Call center optimization cannot advance to agent assist or next-best-action. Real-time CRM integration and member identity linkage are also unproven. | evidence_refs: 1. MER-V3-EVID-0178
2. MER-V3-EVID-0179
3. MER-V3-EVID-0180
7. type: Payment Integrity | severity: High | title: Rules and model lineage not governed; provider entity resolution unproven | blocks: Payment integrity and leakage reduction cannot quantify recoveries. SAS model lineage is ungoverned. Investigation and recovery tracking workflows are not evidenced. | evidence_refs: 1. MER-V3-EVID-0192
2. MER-V3-EVID-0193
3. MER-V3-EVID-0194
4. MER-V3-EVID-0195
8. type: Finance & Reporting | severity: Medium | title: Close workflow integration unproven; finance semantic layer not evidenced | blocks: Automated close and reporting use case cannot advance. Manual reporting maintenance load and ungoverned metric definitions prevent close-cycle acceleration. | evidence_refs: 1. MER-V3-EVID-0196
2. MER-V3-EVID-0197
3. MER-SA07-INT-EVID-0007","Claude-derived advisory artifact","design_slots.GAPS","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","11_risks_controls.csv; 12_relationships.csv; 13_evidence_sources.csv; 14_metrics_outcomes.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Home / Knowledge","Evidence Gaps","Recommended next evidence","1. item: Epic Clarity data extract schema and medallion architecture design | unlocks: Unified clinical + claims lakehouse strategy becomes decision-grade; patient identity spine design can begin | owner_hint: Epic Analytics / Enterprise Data Warehouse
2. item: Data governance operating model charter and semantic layer ownership map | unlocks: AI/LLM automation use case advances; semantic layer certification unblocks cost transparency and automated close | owner_hint: CDAO / Data Platform
3. item: Provider contract repository digitization scope and governed extract design | unlocks: End-to-end cost transparency and provider quality use cases become decision-grade | owner_hint: Network Contracting / Finance
4. item: Contact center transcript governance policy and intent taxonomy certification | unlocks: Call center optimization advances to agent-assist design; member identity linkage can be scoped | owner_hint: Chief Experience Officer / Member Services
5. item: SAS payment integrity model lineage documentation and provider entity resolution design | unlocks: Payment integrity use case can advance to recovery quantification; leakage baseline can be established | owner_hint: Analytics / Health Plan Operations
6. item: GL close cycle baseline and finance semantic model ownership confirmation | unlocks: Automated close and reporting use case becomes decision-grade; metric governance can be formalized | owner_hint: CFO / Finance
7. item: AWS analytics foundation network, security, and IAM evidence | unlocks: Databricks on AWS platform readiness can be assessed; lakehouse build sequencing can begin | owner_hint: CTO / Technology Platform
8. item: HEDIS/STAR measure logic ownership and attribution model certification | unlocks: Provider quality and performance use case advances; near-real-time quality layer can be scoped | owner_hint: VP Quality / Epic Analytics","Claude-derived advisory artifact","design_slots.NEXT_EVIDENCE","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","13_evidence_sources.csv; interviews/executive_interviews.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
