system_id,system_name,vendor,version,deployment_model,domain,owner_person_id,annual_cost_usd,renewal_date,business_criticality,technical_debt_rating,data_sensitivity,integration_count,description,scope
system:firstcapital:fis-profile-core,FIS Profile Core Banking,FIS Global,2024.2,Hosted,Core Banking,person:firstcapital:pia-quintero-walsh,38000000,2027-12-31,Critical,High,Restricted,142,Core deposits and loan servicing engine; backbone of consumer + commercial deposits.,system
system:firstcapital:fis-profile-loans,FIS Profile Loan Servicing,FIS Global,2024.2,Hosted,Lending Operations,person:firstcapital:pia-quintero-walsh,14500000,2027-12-31,Critical,High,Restricted,86,Loan servicing extension of FIS Profile; consumer + commercial portfolios.,system
system:firstcapital:nfusion-mortgage,nFusion Mortgage Origination,Black Knight,2025.1,SaaS,Lending Operations,person:firstcapital:penelope-iglesias,6800000,2026-09-30,High,Medium,Restricted,52,Mortgage origination platform; integrates with FIS Profile + credit bureaus.,system
system:firstcapital:encompass-loan-orig,ICE Encompass Loan Origination,ICE Mortgage Technology,2024.4,SaaS,Lending Operations,person:firstcapital:wesley-mtawali,4200000,2026-11-15,High,Medium,Restricted,38,Auto and consumer loan origination workflow.,system
system:firstcapital:nautilus-clo,Nautilus Commercial Loan Origination,Linedata,11.4,Hosted,Lending Operations,person:firstcapital:heinrich-aldridge,5100000,2027-03-31,High,High,Restricted,44,Commercial loan origination + portfolio management.,system
system:firstcapital:fednow-gateway,FedNow Gateway Connector,Volante Technologies,2025.3,Hybrid,Payments,person:firstcapital:kira-tanaka-riveras,4800000,2026-08-15,Critical,Low,Restricted,34,Real-time payments gateway for FedNow; under build for 2026 cutover.,system
system:firstcapital:ach-engine,ACH Processing Engine,ACI Worldwide,Money Transfer System 2024,Hosted,Payments,person:firstcapital:kira-tanaka-riveras,3400000,2027-04-30,Critical,Medium,Restricted,58,ACH origination + receipt; NACHA-compliant.,system
system:firstcapital:wire-engine,Wire Transfer System,Fiserv (Money Network),2024.1,Hosted,Payments,person:firstcapital:kira-tanaka-riveras,2900000,2026-12-31,Critical,Medium,Restricted,46,Domestic + international wire processing; FedWire + SWIFT.,system
system:firstcapital:card-issuing,Card Issuing Platform,TSYS,Prime 4.6,Hosted,Cards & Payments,person:firstcapital:aalia-subramaniam,8200000,2027-09-30,Critical,Medium,Restricted,74,"Credit + debit card issuing, authorization, settlement.",system
system:firstcapital:card-processing,Card Authorization Switch,TSYS,AT-Switch 9.2,Hosted,Cards & Payments,person:firstcapital:aalia-subramaniam,4600000,2027-09-30,Critical,Low,Restricted,62,Card auth/clearing/settlement switch.,system
