tenant_key,ai_asset_id,ai_asset_name,asset_type,business_area,business_function,owner_role,tool_or_model,parent_system_id,stage,status,monthly_users_or_cases,monthly_users,risk_tier,regulated_workflow,approved_data_scope,approval_status,model_risk_status,measured_value_usd,evidence_id,evidence_status,next_gate,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
lakeshore-industries,LAK-AI-ASSET-001,Kyriba global cash and payments rollout,,Treasury,,,Kyriba workflow assistant,,build,,220,,tier_2,,,,,18920000,,review_required,SOX/control evidence approval,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,2,tenant_file,
lakeshore-industries,LAK-AI-ASSET-002,Treasury bank connectivity control evidence,,Treasury controls,,,M365 Copilot,,mobilize,,400,,tier_3,,,,,8400000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,3,tenant_file,
lakeshore-industries,LAK-AI-ASSET-003,Liquidity forecasting automation,,FP&A,,,ServiceNow Now Assist,,pilot,,580,,tier_3,,,,,14820000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,4,tenant_file,
lakeshore-industries,LAK-AI-ASSET-004,Automated close and finance reporting semantic layer,,Finance,,,Claude/Codex/Cursor,,build,,760,,tier_3,,,,,21160000,,review_required,SOX/control evidence approval,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,5,tenant_file,
lakeshore-industries,LAK-AI-ASSET-005,ServiceNow finance support agent,,IT Operations,,,Kyriba workflow assistant,,pilot,,940,,tier_2,,,,,3080000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,6,tenant_file,
lakeshore-industries,LAK-AI-ASSET-006,Finance AI narrative and variance explainer,,Finance,,,M365 Copilot,,design,,1120,,tier_3,,,,,5100000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,7,tenant_file,
lakeshore-industries,LAK-AI-ASSET-007,Supplier working-capital analytics,,Procurement,,,ServiceNow Now Assist,,pilot,,1300,,tier_3,,,,,9880000,,review_required,SOX/control evidence approval,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,8,tenant_file,
lakeshore-industries,LAK-AI-ASSET-008,Kyriba rollout assistant and defect triage,,Treasury,,,Claude/Codex/Cursor,,pilot,,1480,,tier_3,,,,,5060000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,9,tenant_file,
lakeshore-industries,LAK-AI-ASSET-009,M365 Copilot finance rollout,,Productivity,,,Kyriba workflow assistant,,scale,,1660,,tier_2,,,,,2860000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,10,tenant_file,
lakeshore-industries,LAK-AI-ASSET-010,Codex/Claude developer productivity for finance integrations,,Developer productivity,,,M365 Copilot,,pilot,,1840,,tier_3,,,,,2400000,,review_required,SOX/control evidence approval,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,11,tenant_file,
