record_id,service_area,period,incidents_p1_p2,incidents_total,mttr_hours,change_failure_rate_pct,availability_pct,notes
SHA-OPS-0001,PSS/mainframe,2026-01,0,40,1.5,4,99.1,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0002,IROPS,2026-02,1,41,1.9,4.7,99.19,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0003,crew,2026-03,2,42,2.3,5.4,99.28,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0004,airport,2026-04,3,43,2.7,6.1,99.37,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0005,baggage,2026-05,4,44,3.1,6.8,99.46,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0006,digital,2026-06,5,45,3.5,7.5,99.55,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0007,loyalty,2026-07,6,46,3.9,8.2,99.64,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0008,Teradata EDW,2026-08,7,47,4.3,8.9,99.73,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0009,SAP,2026-09,8,48,4.7,9.6,99.82,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0010,Salesforce,2026-10,0,49,5.1,10.3,99.1,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0011,Adobe,2026-11,1,50,5.5,11,99.19,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0012,AWS platform,2026-12,2,51,5.9,4,99.28,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0013,PSS/mainframe,2026-01,3,52,6.3,4.7,99.37,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0014,IROPS,2026-02,4,53,6.7,5.4,99.46,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0015,crew,2026-03,5,54,7.1,6.1,99.55,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0016,airport,2026-04,6,55,7.5,6.8,99.64,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0017,baggage,2026-05,7,56,7.9,7.5,99.73,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0018,digital,2026-06,8,57,1.5,8.2,99.82,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0019,loyalty,2026-07,0,58,1.9,8.9,99.1,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0020,Teradata EDW,2026-08,1,59,2.3,9.6,99.19,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0021,SAP,2026-09,2,60,2.7,10.3,99.28,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0022,Salesforce,2026-10,3,61,3.1,11,99.37,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0023,Adobe,2026-11,4,62,3.5,4,99.46,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0024,AWS platform,2026-12,5,63,3.9,4.7,99.55,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0025,PSS/mainframe,2026-01,6,64,4.3,5.4,99.64,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0026,IROPS,2026-02,7,65,4.7,6.1,99.73,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0027,crew,2026-03,8,66,5.1,6.8,99.82,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0028,airport,2026-04,0,67,5.5,7.5,99.1,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0029,baggage,2026-05,1,68,5.9,8.2,99.19,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0030,digital,2026-06,2,69,6.3,8.9,99.28,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0031,loyalty,2026-07,3,70,6.7,9.6,99.37,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0032,Teradata EDW,2026-08,4,71,7.1,10.3,99.46,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0033,SAP,2026-09,5,72,7.5,11,99.55,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0034,Salesforce,2026-10,6,73,7.9,4,99.64,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0035,Adobe,2026-11,7,74,1.5,4.7,99.73,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0036,AWS platform,2026-12,8,75,1.9,5.4,99.82,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0037,PSS/mainframe,2026-01,0,76,2.3,6.1,99.1,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0038,IROPS,2026-02,1,77,2.7,6.8,99.19,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0039,crew,2026-03,2,78,3.1,7.5,99.28,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0040,airport,2026-04,3,79,3.5,8.2,99.37,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0041,baggage,2026-05,4,80,3.9,8.9,99.46,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0042,digital,2026-06,5,81,4.3,9.6,99.55,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0043,loyalty,2026-07,6,82,4.7,10.3,99.64,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0044,Teradata EDW,2026-08,7,83,5.1,11,99.73,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
