tenant,metric,status,nonempty,details
apex-retail,business_profile,ready,3,"[{""file"": ""F01"", ""rows"": 1, ""fields"": [""revenue_fy25_usd"", ""employees_fte"", ""annual_technology_budget_usd""], ""nonempty"": 3}]"
apex-retail,it_budget,ready,14,"[{""file"": ""F12"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}, {""file"": ""T01"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}, {""file"": ""T08"", ""rows"": 14, ""fields"": [""annual_budget_usd""], ""nonempty"": 14}, {""file"": ""F13"", ""rows"": 75, ""fields"": [], ""nonempty"": 0}]"
apex-retail,actual_spend_ytd,ready,14,"[{""file"": ""T08"", ""rows"": 14, ""fields"": [""ytd_spend_usd""], ""nonempty"": 14}]"
apex-retail,promised_value,ready,103,"[{""file"": ""T01"", ""rows"": 14, ""fields"": [""promised_benefit_usd""], ""nonempty"": 14}, {""file"": ""T07"", ""rows"": 14, ""fields"": [""promised_benefit_usd""], ""nonempty"": 14}, {""file"": ""F13"", ""rows"": 75, ""fields"": [""promised_benefit_usd""], ""nonempty"": 75}, {""file"": ""F24"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}]"
apex-retail,measured_value,ready,103,"[{""file"": ""T01"", ""rows"": 14, ""fields"": [""measured_value_usd""], ""nonempty"": 14}, {""file"": ""T07"", ""rows"": 14, ""fields"": [""measured_value_usd""], ""nonempty"": 14}, {""file"": ""F13"", ""rows"": 75, ""fields"": [""measured_value_usd""], ""nonempty"": 75}, {""file"": ""F17"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}, {""file"": ""F24"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}]"
apex-retail,vendor_contract_amount,ready,114,"[{""file"": ""F11"", ""rows"": 100, ""fields"": [""annual_spend_usd""], ""nonempty"": 100}, {""file"": ""T08"", ""rows"": 14, ""fields"": [""contract_value_usd""], ""nonempty"": 14}, {""file"": ""F22"", ""rows"": 100, ""fields"": [], ""nonempty"": 0}]"
apex-retail,renewals,ready,114,"[{""file"": ""F11"", ""rows"": 100, ""fields"": [""contract_end_date""], ""nonempty"": 100}, {""file"": ""T08"", ""rows"": 14, ""fields"": [""renewal_date""], ""nonempty"": 14}]"
apex-retail,run_change,ready,10,"[{""file"": ""F12"", ""rows"": 10, ""fields"": [""change_budget_usd"", ""run_budget_usd""], ""nonempty"": 10}]"
apex-retail,capex_opex,gap,0,"[{""file"": ""F12"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}, {""file"": ""T08"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}]"
apex-retail,owners,ready,269,"[{""file"": ""F03"", ""rows"": 10, ""fields"": [""executive_owner_role""], ""nonempty"": 10}, {""file"": ""F13"", ""rows"": 75, ""fields"": [""owner_role""], ""nonempty"": 75}, {""file"": ""T01"", ""rows"": 14, ""fields"": [""owner_role""], ""nonempty"": 14}, {""file"": ""F19"", ""rows"": 170, ""fields"": [""executive_owner_role""], ""nonempty"": 170}]"
apex-retail,named_owner_person,gap,0,"[{""file"": ""F03"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}]"
apex-retail,evidence_lineage,ready,75,"[{""file"": ""T07"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}, {""file"": ""T09"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}, {""file"": ""F13"", ""rows"": 75, ""fields"": [""evidence_id""], ""nonempty"": 75}]"
first-capital,business_profile,ready,3,"[{""file"": ""F01"", ""rows"": 1, ""fields"": [""revenue_fy25_usd"", ""employees_fte"", ""annual_technology_budget_usd""], ""nonempty"": 3}]"
first-capital,it_budget,ready,132,"[{""file"": ""F12"", ""rows"": 13, ""fields"": [], ""nonempty"": 0}, {""file"": ""T01"", ""rows"": 42, ""fields"": [], ""nonempty"": 0}, {""file"": ""T08"", ""rows"": 42, ""fields"": [""annual_budget_usd""], ""nonempty"": 42}, {""file"": ""F13"", ""rows"": 90, ""fields"": [""budget_usd""], ""nonempty"": 90}]"
first-capital,actual_spend_ytd,ready,42,"[{""file"": ""T08"", ""rows"": 42, ""fields"": [""ytd_spend_usd""], ""nonempty"": 42}]"
first-capital,promised_value,ready,258,"[{""file"": ""T01"", ""rows"": 42, ""fields"": [""promised_benefit_usd""], ""nonempty"": 42}, {""file"": ""T07"", ""rows"": 126, ""fields"": [""promised_benefit_usd""], ""nonempty"": 126}, {""file"": ""F13"", ""rows"": 90, ""fields"": [""promised_benefit_usd""], ""nonempty"": 90}, {""file"": ""F24"", ""rows"": 42, ""fields"": [], ""nonempty"": 0}]"
first-capital,measured_value,ready,210,"[{""file"": ""T01"", ""rows"": 42, ""fields"": [""measured_value_usd""], ""nonempty"": 42}, {""file"": ""T07"", ""rows"": 126, ""fields"": [""measured_value_usd""], ""nonempty"": 126}, {""file"": ""F13"", ""rows"": 90, ""fields"": [], ""nonempty"": 0}, {""file"": ""F17"", ""rows"": 42, ""fields"": [""measured_value_usd""], ""nonempty"": 42}, {""file"": ""F24"", ""rows"": 42, ""fields"": [], ""nonempty"": 0}]"
first-capital,vendor_contract_amount,ready,162,"[{""file"": ""F11"", ""rows"": 120, ""fields"": [""annual_contract_value_usd""], ""nonempty"": 120}, {""file"": ""T08"", ""rows"": 42, ""fields"": [""contract_value_usd""], ""nonempty"": 42}, {""file"": ""F22"", ""rows"": 120, ""fields"": [], ""nonempty"": 0}]"
first-capital,renewals,ready,162,"[{""file"": ""F11"", ""rows"": 120, ""fields"": [""renewal_date""], ""nonempty"": 120}, {""file"": ""T08"", ""rows"": 42, ""fields"": [""renewal_date""], ""nonempty"": 42}]"
first-capital,run_change,ready,13,"[{""file"": ""F12"", ""rows"": 13, ""fields"": [""change_budget_usd"", ""run_budget_usd""], ""nonempty"": 13}]"
