tenant,area,gap,severity,status,details
apex-retail,metric,capex_opex,medium,gap,"[{""file"": ""F12"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}, {""file"": ""T08"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}]"
apex-retail,metric,named_owner_person,medium,gap,"[{""file"": ""F03"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}]"
first-capital,metric,capex_opex,medium,gap,"[{""file"": ""F12"", ""rows"": 13, ""fields"": [], ""nonempty"": 0}, {""file"": ""T08"", ""rows"": 42, ""fields"": [], ""nonempty"": 0}]"
first-capital,metric,named_owner_person,medium,gap,"[{""file"": ""F03"", ""rows"": 13, ""fields"": [], ""nonempty"": 0}]"
first-capital,metric,evidence_lineage,medium,gap,"[{""file"": ""T07"", ""rows"": 126, ""fields"": [], ""nonempty"": 0}, {""file"": ""T09"", ""rows"": 42, ""fields"": [], ""nonempty"": 0}, {""file"": ""F13"", ""rows"": 90, ""fields"": [], ""nonempty"": 0}]"
first-capital,relationship,F21 data product -> F09 data product,critical,0/140,"{""check"": ""F21 data product -> F09 data product"", ""tested"": 140, ""matched"": 0, ""rate"": 0.0, ""severity"": ""critical"", ""src_fields"": [""data_product_id""], ""target_fields"": [], ""unmatched_sample"": [""first-capital-financial-DATA-1"", ""first-capital-financial-DATA-10"", ""first-capital-financial-DATA-100"", ""first-capital-financial-DATA-101"", ""first-capital-financial-DATA-102"", ""first-capital-financial-DATA-103"", ""first-capital-financial-DATA-104"", ""first-capital-financial-DATA-105""], ""tenant"": ""first-capital""}"
lakeshore-industries,metric,capex_opex,medium,gap,"[{""file"": ""F12"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}, {""file"": ""T08"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}]"
lakeshore-industries,metric,named_owner_person,medium,gap,"[{""file"": ""F03"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}]"
lakeshore-industries,metric,evidence_lineage,medium,gap,"[{""file"": ""T07"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}, {""file"": ""T09"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}, {""file"": ""F13"", ""rows"": 62, ""fields"": [], ""nonempty"": 0}]"
lakeshore-industries,relationship,F19 owning team -> F03 team,high,5/6,"{""check"": ""F19 owning team -> F03 team"", ""tested"": 6, ""matched"": 5, ""rate"": 0.8333333333333334, ""severity"": ""high"", ""src_fields"": [""owning_team_id""], ""target_fields"": [""team_id""], ""unmatched_sample"": [""Lakeshore platform services""], ""tenant"": ""lakeshore-industries""}"
lakeshore-industries,relationship,F21 data product -> F09 data product,critical,0/105,"{""check"": ""F21 data product -> F09 data product"", ""tested"": 105, ""matched"": 0, ""rate"": 0.0, ""severity"": ""critical"", ""src_fields"": [""data_product_id""], ""target_fields"": [], ""unmatched_sample"": [""lakeshore-industries-DATA-1"", ""lakeshore-industries-DATA-10"", ""lakeshore-industries-DATA-100"", ""lakeshore-industries-DATA-101"", ""lakeshore-industries-DATA-102"", ""lakeshore-industries-DATA-103"", ""lakeshore-industries-DATA-104"", ""lakeshore-industries-DATA-105""], ""tenant"": ""lakeshore-industries""}"
meridian-health,metric,capex_opex,medium,gap,"[{""file"": ""F12"", ""rows"": 12, ""fields"": [], ""nonempty"": 0}, {""file"": ""T08"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}]"
meridian-health,metric,named_owner_person,medium,gap,"[{""file"": ""F03"", ""rows"": 12, ""fields"": [], ""nonempty"": 0}]"
meridian-health,metric,evidence_lineage,medium,gap,"[{""file"": ""T07"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}, {""file"": ""T09"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}, {""file"": ""F13"", ""rows"": 72, ""fields"": [], ""nonempty"": 0}]"
meridian-health,relationship,F19 owning team -> F03 team,high,6/7,"{""check"": ""F19 owning team -> F03 team"", ""tested"": 7, ""matched"": 6, ""rate"": 0.8571428571428571, ""severity"": ""high"", ""src_fields"": [""owning_team_id""], ""target_fields"": [""team_id""], ""unmatched_sample"": [""Meridian platform services""], ""tenant"": ""meridian-health""}"
meridian-health,relationship,F21 data product -> F09 data product,critical,0/120,"{""check"": ""F21 data product -> F09 data product"", ""tested"": 120, ""matched"": 0, ""rate"": 0.0, ""severity"": ""critical"", ""src_fields"": [""data_product_id""], ""target_fields"": [], ""unmatched_sample"": [""meridian-health-DATA-1"", ""meridian-health-DATA-10"", ""meridian-health-DATA-100"", ""meridian-health-DATA-101"", ""meridian-health-DATA-102"", ""meridian-health-DATA-103"", ""meridian-health-DATA-104"", ""meridian-health-DATA-105""], ""tenant"": ""meridian-health""}"
skyharbor-air,metric,run_change,medium,gap,"[{""file"": ""F12"", ""rows"": 13, ""fields"": [], ""nonempty"": 0}]"
skyharbor-air,metric,capex_opex,medium,partial_taxonomy_only,"[{""file"": ""F12"", ""rows"": 13, ""fields"": [""spend_type""], ""nonempty"": 13}, {""file"": ""T08"", ""rows"": 120, ""fields"": [""spend_category""], ""nonempty"": 120}]"
skyharbor-air,metric,named_owner_person,medium,gap,"[{""file"": ""F03"", ""rows"": 18, ""fields"": [], ""nonempty"": 0}]"
skyharbor-air,relationship,F06 application/system -> F05 app inventory,critical,0/95,"{""check"": ""F06 application/system -> F05 app inventory"", ""tested"": 95, ""matched"": 0, ""rate"": 0.0, ""severity"": ""critical"", ""src_fields"": [""app_id""], ""target_fields"": [""app_id""], ""unmatched_sample"": [""SHA-APP-001"", ""SHA-APP-002"", ""SHA-APP-003"", ""SHA-APP-004"", ""SHA-APP-005"", ""SHA-APP-006"", ""SHA-APP-007"", ""SHA-APP-008""], ""tenant"": ""skyharbor-air""}"
skyharbor-air,relationship,F10 source endpoint -> F05 app inventory,critical,455/1300,"{""check"": ""F10 source endpoint -> F05 app inventory"", ""tested"": 1300, ""matched"": 455, ""rate"": 0.35, ""severity"": ""critical"", ""src_fields"": [""from_system_id""], ""target_fields"": [""app_id"", ""name""], ""unmatched_sample"": [""APP-00905"", ""APP-00906"", ""APP-00910"", ""APP-00913"", ""APP-00914"", ""APP-00916"", ""APP-00918"", ""APP-00919""], ""tenant"": ""skyharbor-air""}"
skyharbor-air,relationship,F10 target endpoint -> F05 app inventory,critical,467/1262,"{""check"": ""F10 target endpoint -> F05 app inventory"", ""tested"": 1262, ""matched"": 467, ""rate"": 0.37004754358161646, ""severity"": ""critical"", ""src_fields"": [""to_system_id""], ""target_fields"": [""app_id"", ""name""], ""unmatched_sample"": [""APP-00901"", ""APP-00902"", ""APP-00904"", ""APP-00908"", ""APP-00909"", ""APP-00910"", ""APP-00911"", ""APP-00913""], ""tenant"": ""skyharbor-air""}"
skyharbor-air,relationship,F17 parent system -> F05 app inventory,critical,0/72,"{""check"": ""F17 parent system -> F05 app inventory"", ""tested"": 72, ""matched"": 0, ""rate"": 0.0, ""severity"": ""critical"", ""src_fields"": [""parent_system_id""], ""target_fields"": [""app_id""], ""unmatched_sample"": [""SHA-APP-001"", ""SHA-APP-002"", ""SHA-APP-003"", ""SHA-APP-004"", ""SHA-APP-005"", ""SHA-APP-006"", ""SHA-APP-007"", ""SHA-APP-008""], ""tenant"": ""skyharbor-air""}"
skyharbor-air,relationship,F19 owning team -> F03 team,high,7/10,"{""check"": ""F19 owning team -> F03 team"", ""tested"": 10, ""matched"": 7, ""rate"": 0.7, ""severity"": ""high"", ""src_fields"": [""owning_team_id""], ""target_fields"": [""team_id""], ""unmatched_sample"": [""Data & Analytics"", ""EUC"", ""Network""], ""tenant"": ""skyharbor-air""}"
skyharbor-air,relationship,F20 system -> F05 app inventory,critical,0/95,"{""check"": ""F20 system -> F05 app inventory"", ""tested"": 95, ""matched"": 0, ""rate"": 0.0, ""severity"": ""critical"", ""src_fields"": [""system_id""], ""target_fields"": [""app_id""], ""unmatched_sample"": [""SHA-APP-001"", ""SHA-APP-002"", ""SHA-APP-003"", ""SHA-APP-004"", ""SHA-APP-005"", ""SHA-APP-006"", ""SHA-APP-007"", ""SHA-APP-008""], ""tenant"": ""skyharbor-air""}"
