check,tested,matched,rate,severity,src_fields,target_fields,unmatched_sample,tenant
F06 application/system -> F05 app inventory,92,92,1.0,ok,['application_id'],['application_id'],[],apex-retail
F10 source endpoint -> F05 app inventory,110,110,1.0,ok,['source_system'],"['application_id', 'application_name']",[],apex-retail
F10 target endpoint -> F05 app inventory,110,110,1.0,ok,['target_system'],"['application_id', 'application_name']",[],apex-retail
F17 parent system -> F05 app inventory,0,0,,not_applicable,[],['application_id'],[],apex-retail
F19 owning team -> F03 team,8,8,1.0,ok,['owning_team_id'],['team_id'],[],apex-retail
F20 capability -> F04 capability,14,14,1.0,ok,['capability_id'],['capability_id'],[],apex-retail
F20 system -> F05 app inventory,92,92,1.0,ok,['system_id'],['application_id'],[],apex-retail
F21 data product -> F09 data product,125,125,1.0,ok,['data_product_id'],['data_product_id'],[],apex-retail
F21 source system -> F05 app inventory,0,0,,not_applicable,['source_system_id'],['application_id'],[],apex-retail
F22 vendor -> F11 vendor,100,100,1.0,ok,['vendor_id'],['vendor_id'],[],apex-retail
F22 system -> F05 app inventory,0,0,,not_applicable,[],['application_id'],[],apex-retail
F23 related system -> F05 app inventory,0,0,,not_applicable,['related_system_id'],['application_id'],[],apex-retail
F06 application/system -> F05 app inventory,89,89,1.0,ok,['application_id'],['application_id'],[],first-capital
F10 source endpoint -> F05 app inventory,104,104,1.0,ok,['source_system'],"['application_id', 'application_name']",[],first-capital
F10 target endpoint -> F05 app inventory,102,102,1.0,ok,['target_system'],"['application_id', 'application_name']",[],first-capital
F17 parent system -> F05 app inventory,0,0,,not_applicable,[],['application_id'],[],first-capital
F19 owning team -> F03 team,12,12,1.0,ok,['owning_team_id'],['team_id'],[],first-capital
F20 capability -> F04 capability,0,0,,not_applicable,['capability_id'],['capability_id'],[],first-capital
F20 system -> F05 app inventory,89,89,1.0,ok,['system_id'],['application_id'],[],first-capital
F21 data product -> F09 data product,140,0,0.0,critical,['data_product_id'],[],"['first-capital-financial-DATA-1', 'first-capital-financial-DATA-10', 'first-capital-financial-DATA-100', 'first-capital-financial-DATA-101', 'first-capital-financial-DATA-102', 'first-capital-financial-DATA-103', 'first-capital-financial-DATA-104', 'first-capital-financial-DATA-105']",first-capital
F21 source system -> F05 app inventory,0,0,,not_applicable,['source_system_id'],['application_id'],[],first-capital
F22 vendor -> F11 vendor,120,120,1.0,ok,['vendor_id'],['vendor_id'],[],first-capital
F22 system -> F05 app inventory,0,0,,not_applicable,[],['application_id'],[],first-capital
F23 related system -> F05 app inventory,0,0,,not_applicable,['related_system_id'],['application_id'],[],first-capital
F06 application/system -> F05 app inventory,74,74,1.0,ok,['application_id'],['application_id'],[],lakeshore-industries
F10 source endpoint -> F05 app inventory,53,53,1.0,ok,['source_system'],"['application_id', 'application_name']",[],lakeshore-industries
F10 target endpoint -> F05 app inventory,49,49,1.0,ok,['target_system'],"['application_id', 'application_name']",[],lakeshore-industries
