name,path,size,mtime
abarva-v4-v5-datasets-20260625-073608.zip,/Users/anand/Downloads/abarva-v4-v5-datasets-20260625-073608.zip,900705,2026-06-25T07:36:08
tower-crawl-debug-state.png,/Users/anand/Downloads/tower-crawl-debug-state.png,196452,2026-06-27T00:01:17
new datasets,/Users/anand/Downloads/new datasets,160,2026-04-30T19:05:45
tower-chat-quality-audit-20260626.zip,/Users/anand/Downloads/tower-chat-quality-audit-20260626.zip,286631,2026-06-26T17:08:13
tower-data-trust-gate-2026-06-26T20-32-38-312Z.zip,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T20-32-38-312Z.zip,11183,2026-06-26T15:32:38
tower-data-trust-gate-2026-06-26T18-58-47-529Z,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T18-58-47-529Z,224,2026-06-26T13:58:47
abarva-tower-passB-delta-20260626T153940Z.zip,/Users/anand/Downloads/abarva-tower-passB-delta-20260626T153940Z.zip,610806,2026-06-26T10:40:57
tower-question-bank-report.html,/Users/anand/Downloads/tower-question-bank-report.html,72179,2026-06-26T20:03:47
tower-live-scorer-2026-06-27T02-17-32-419Z,/Users/anand/Downloads/tower-live-scorer-2026-06-27T02-17-32-419Z,256,2026-06-26T21:39:41
codex_tower_demo_readiness.md,/Users/anand/Downloads/codex_tower_demo_readiness.md,24699,2026-06-26T08:46:49
TOWER_SEMANTIC_MART_END_TO_END_DESIGN.html,/Users/anand/Downloads/TOWER_SEMANTIC_MART_END_TO_END_DESIGN.html,12979,2026-06-26T20:05:27
tower-chat-quality-fix-2026-06-27T05-02-41-848Z,/Users/anand/Downloads/tower-chat-quality-fix-2026-06-27T05-02-41-848Z,352,2026-06-27T00:02:57
abarva_v4_v5_baseline_qa_20260625.zip,/Users/anand/Downloads/abarva_v4_v5_baseline_qa_20260625.zip,35683,2026-06-25T08:03:57
abarva-tower-dossier-build-2026-06-26T14-52-35-358Z.zip,/Users/anand/Downloads/abarva-tower-dossier-build-2026-06-26T14-52-35-358Z.zip,10520,2026-06-26T09:55:59
semantic2-dossier-active-eligibility-20260626T234851Z,/Users/anand/Downloads/semantic2-dossier-active-eligibility-20260626T234851Z,576,2026-06-26T18:51:09
tower-data-trust-gate-2026-06-26T20-27-33-867Z.zip,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T20-27-33-867Z.zip,11183,2026-06-26T15:27:33
v4-v5-tenant-refresh-readiness-20260627,/Users/anand/Downloads/v4-v5-tenant-refresh-readiness-20260627,64,2026-06-27T17:12:55
semantic-dossier-redesign-status-20260625.html,/Users/anand/Downloads/semantic-dossier-redesign-status-20260625.html,7645,2026-06-24T20:21:45
tower-cio-dashboard-proof,/Users/anand/Downloads/tower-cio-dashboard-proof,160,2026-06-25T20:07:00
abarva-semantic2-l1-l4-audit-2026-06-25T15-56-50-556Z.zip,/Users/anand/Downloads/abarva-semantic2-l1-l4-audit-2026-06-25T15-56-50-556Z.zip,5559,2026-06-25T10:56:50
semantic2-crown-proof-fcddde4d,/Users/anand/Downloads/semantic2-crown-proof-fcddde4d,448,2026-06-27T13:07:35
tower-data-trust-gate-2026-06-26T18-58-47-529Z.zip,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T18-58-47-529Z.zip,9965,2026-06-26T13:58:47
tower-question-bank-results-20260627.json,/Users/anand/Downloads/tower-question-bank-results-20260627.json,4964,2026-06-26T22:28:12
skyharbor-air-synthetic-v4-dataset.zip,/Users/anand/Downloads/skyharbor-air-synthetic-v4-dataset.zip,300395,2026-06-24T08:26:23
abarva-v4-client-load-packs-20260618.zip,/Users/anand/Downloads/abarva-v4-client-load-packs-20260618.zip,675467,2026-06-18T16:59:21
SkyHarbor_Dataset_and_Ingestion_Plan.md,/Users/anand/Downloads/SkyHarbor_Dataset_and_Ingestion_Plan.md,13256,2026-06-10T08:46:58
tower-data-trust-gate-2026-06-26T20-11-11-202Z,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T20-11-11-202Z,224,2026-06-26T15:11:11
tower-chat-quality-fix-2026-06-27T03-29-39-855Z.zip,/Users/anand/Downloads/tower-chat-quality-fix-2026-06-27T03-29-39-855Z.zip,2383702,2026-06-26T22:29:52
semantic-layer-quality-gauntlet-200q-20260624.json,/Users/anand/Downloads/semantic-layer-quality-gauntlet-200q-20260624.json,1055389,2026-06-24T07:17:08
tower-chat-shared-fix-20260626T235744Z,/Users/anand/Downloads/tower-chat-shared-fix-20260626T235744Z,288,2026-06-26T19:03:01
abarva-v4-pilot-load-skyharbor-air-first-capital-meridian-health-lakeshore-apex-retail-2026-06-18T22-02-14.zip,/Users/anand/Downloads/abarva-v4-pilot-load-skyharbor-air-first-capital-meridian-health-lakeshore-apex-retail-2026-06-18T22-02-14.zip,672967,2026-06-18T17:02:14
semantic-layer-quality-gauntlet-200q-20260624.zip,/Users/anand/Downloads/semantic-layer-quality-gauntlet-200q-20260624.zip,43163,2026-06-24T07:28:15
v4-semantic-density-reconciliation-20260624.json,/Users/anand/Downloads/v4-semantic-density-reconciliation-20260624.json,3869,2026-06-24T08:02:02
lakeshore-tower-sanitized-preload-20260626T195036Z,/Users/anand/Downloads/lakeshore-tower-sanitized-preload-20260626T195036Z,608,2026-06-26T14:50:36
enterprise-semantic-layer-erd-volumetric-20260624.html,/Users/anand/Downloads/enterprise-semantic-layer-erd-volumetric-20260624.html,67814,2026-06-24T00:59:30
tower-live-scorer-2026-06-27T02-17-06-791Z.zip,/Users/anand/Downloads/tower-live-scorer-2026-06-27T02-17-06-791Z.zip,8215,2026-06-26T21:17:06
tower-live-scorer-2026-06-27T21-05-55-218Z,/Users/anand/Downloads/tower-live-scorer-2026-06-27T21-05-55-218Z,320,2026-06-27T16:09:36
AbarVa SkyHarbor Home Intelligence Tower RealData Wireframe.html,/Users/anand/Downloads/AbarVa SkyHarbor Home Intelligence Tower RealData Wireframe.html,111187,2026-06-18T22:45:03
tower-crawl-prod-20260625,/Users/anand/Downloads/tower-crawl-prod-20260625,96,2026-06-25T20:15:08
tower-chat-quality-fix-2026-06-27T05-00-08-225Z,/Users/anand/Downloads/tower-chat-quality-fix-2026-06-27T05-00-08-225Z,128,2026-06-27T00:00:10
Tower AI ROI.png,/Users/anand/Downloads/Tower AI ROI.png,236741,2026-06-25T20:11:36
semantic2-dossier-surface-eligibility-20260626T211253Z,/Users/anand/Downloads/semantic2-dossier-surface-eligibility-20260626T211253Z,352,2026-06-26T16:14:28
first-capital-ai-control-tower-data-model-dump.json,/Users/anand/Downloads/first-capital-ai-control-tower-data-model-dump.json,104095,2026-06-17T22:13:52
tower-chat-quality-fix-2026-06-27T04-33-46-017Z.zip,/Users/anand/Downloads/tower-chat-quality-fix-2026-06-27T04-33-46-017Z.zip,2548811,2026-06-26T23:33:59
abarva-tower-inputs-by-tenant-2026-06-26T11-15-32-829Z,/Users/anand/Downloads/abarva-tower-inputs-by-tenant-2026-06-26T11-15-32-829Z,96,2026-06-26T06:15:32
tower-chat-quality-fix-2026-06-27T05-27-38-014Z,/Users/anand/Downloads/tower-chat-quality-fix-2026-06-27T05-27-38-014Z,352,2026-06-27T00:27:55
abarva-azure-data-ecosystem-depth-erd-v4-operational-semantic-20260624.html,/Users/anand/Downloads/abarva-azure-data-ecosystem-depth-erd-v4-operational-semantic-20260624.html,109855,2026-06-24T08:14:08
morgan_style_portfolio_tower_reference_dataset_20260626.zip,/Users/anand/Downloads/morgan_style_portfolio_tower_reference_dataset_20260626.zip,11469,2026-06-26T09:04:06
abarva-canonical-vision-package-v5-2026-05-02 (1).zip,/Users/anand/Downloads/abarva-canonical-vision-package-v5-2026-05-02 (1).zip,123941,2026-05-02T12:00:23
tower-chat-quality-fix-2026-06-27T03-42-28-355Z,/Users/anand/Downloads/tower-chat-quality-fix-2026-06-27T03-42-28-355Z,352,2026-06-26T22:42:39
tower-ava-mark-live-proof-20260626,/Users/anand/Downloads/tower-ava-mark-live-proof-20260626,192,2026-06-26T14:31:08
abarva-intelligence-tower-clickable-wireframe-v2.html,/Users/anand/Downloads/abarva-intelligence-tower-clickable-wireframe-v2.html,24258,2026-06-18T21:44:55
lakeshore-tower-data-reset-audit-20260625-204304.zip,/Users/anand/Downloads/lakeshore-tower-data-reset-audit-20260625-204304.zip,7247,2026-06-25T20:43:04
abarva-canonical-vision-package-v5-2026-05-02.zip,/Users/anand/Downloads/abarva-canonical-vision-package-v5-2026-05-02.zip,124046,2026-05-02T11:57:25
