tenant,field,profile_field,profile_value,canonical_value,status,diff_pct
apex-retail,revenue_usd,revenue_fy25_usd,50000000000.0,50000000000.0,match,0.0
apex-retail,employees_fte,employees_fte,200000.0,200000.0,match,0.0
apex-retail,it_budget_usd,annual_technology_budget_usd,1800000000.0,1800000000.0,match,0.0
apex-retail,ai_spend_usd,annual_ai_budget_usd,55000000.0,55000000.0,match,0.0
first-capital,revenue_usd,revenue_fy25_usd,52000000000.0,52000000000.0,match,0.0
first-capital,employees_fte,employees_fte,65000.0,65000.0,match,0.0
first-capital,it_budget_usd,annual_technology_budget_usd,2400000000.0,2400000000.0,match,0.0
first-capital,ai_spend_usd,annual_ai_and_data_budget_usd,72000000.0,72000000.0,match,0.0
lakeshore-industries,revenue_usd,revenue_fy25_usd,54200000000.0,54200000000.0,match,0.0
lakeshore-industries,employees_fte,employees_fte,72000.0,72000.0,match,0.0
lakeshore-industries,it_budget_usd,annual_technology_budget_usd,1160000000.0,1800000000.0,conflict,-35.55555555555556
lakeshore-industries,ai_spend_usd,annual_ai_and_data_budget_usd,96000000.0,54000000.0,conflict,77.77777777777779
meridian-health,revenue_usd,revenue_fy25_usd,39600000000.0,39600000000.0,match,0.0
meridian-health,employees_fte,employees_fte,88000.0,88000.0,match,0.0
meridian-health,it_budget_usd,annual_technology_budget_usd,1280000000.0,1600000000.0,conflict,-20.0
meridian-health,ai_spend_usd,annual_ai_and_data_budget_usd,162000000.0,48000000.0,conflict,237.5
skyharbor-air,revenue_usd,revenue_fy25_usd,82400000000.0,82400000000.0,match,0.0
skyharbor-air,employees_fte,employees_fte,132000.0,132000.0,match,0.0
skyharbor-air,it_budget_usd,annual_technology_budget_usd,2280000000.0,2800000000.0,conflict,-18.571428571428573
skyharbor-air,ai_spend_usd,annual_ai_budget_usd,248000000.0,84000000.0,conflict,195.23809523809524
