system_id,name,vendor,category,domain,deployment_model,owner_id,business_owner,version,annual_cost_usd,renewal_date,contract_end,integration_count,data_sensitivity,business_criticality,technical_debt_rating,sunset_planned,notes
sys:apex:sap-s4,SAP S/4HANA,SAP,ERP,Finance + Inventory,Cloud (RISE),person:apex:diana-lopez,person:apex:margaret-chen,2023 release,2840000,2027-03-31,2027-03-31,38,Confidential,Critical,Low,No,"Implementation completed 2023; performing well; renewal 2027 will be major negotiation"
sys:apex:salesforce-core,Salesforce Sales + Service Cloud,Salesforce,CRM,Customer Service + Sales,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,Spring 2026,1240000,2026-09-15,2026-09-15,21,Confidential,Critical,Medium,No,"Renewal in 90 days; CMO is asking for Einstein activation as part of renewal"
sys:apex:salesforce-commerce,Salesforce Commerce Cloud,Salesforce,E-commerce Platform,Digital,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,Spring 2026,1810000,2026-09-15,2027-09-15,28,Confidential,Critical,Low,No,"Co-renews with SF core; MFN clause in current contract"
sys:apex:workday,Workday,Workday,HCM,People,SaaS,person:apex:diana-lopez,person:apex:thomas-brennan,2026R1,1140000,2026-12-31,2027-12-31,17,Confidential,Critical,Low,No,"Recently renewed; AI features (Workday AI) under review by AI Governance Council"
sys:apex:oracle-retail-pos,Oracle Retail POS,Oracle,POS,Stores,On-prem,person:apex:vacant-store-tech,person:apex:david-okonjo,16.0.3,1480000,2027-06-30,2027-06-30,14,Restricted,Critical,High,Considering — TBD,"Aging POS estate; cloud migration in evaluation; vacant VP Store Tech role slowing decision"
sys:apex:oracle-retail-merchandising,Oracle Retail Merchandising,Oracle,Merchandising,Merchandising,On-prem,person:apex:diana-lopez,person:apex:angela-foster,16.0.3,920000,2027-06-30,2027-06-30,22,Confidential,Critical,High,No,"Same upgrade path as POS; co-renegotiated"
sys:apex:snowflake,Snowflake Data Cloud,Snowflake,Data Warehouse,Data,SaaS,person:apex:james-wright,person:apex:lynne-stratham,Enterprise edition,1320000,2026-11-30,2027-11-30,42,Confidential,Critical,Low,No,"Spend grew 28% YoY; FinOps review scheduled; key foundation for CDP program"
sys:apex:databricks,Databricks,Databricks,Lakehouse / ML Platform,Data,SaaS (AWS),person:apex:james-wright,person:apex:lynne-stratham,N/A,680000,2026-08-31,2027-08-31,16,Confidential,High,Low,No,"Used for data engineering and ML; under evaluation as broader AI platform"
sys:apex:tableau,Tableau,Salesforce,BI,Analytics,SaaS,person:apex:james-wright,person:apex:margaret-chen,2026.1,420000,2026-09-15,2026-09-15,12,Confidential,High,Medium,Considering,"Co-renews with Salesforce; some teams piloting Power BI as alternative"
sys:apex:powerbi,Microsoft Power BI,Microsoft,BI,Analytics,SaaS,person:apex:james-wright,(varied),N/A,180000,2027-06-30,2027-06-30,8,Confidential,Medium,Low,No,"Bundled with M365; growing adoption; potential Tableau replacement"
sys:apex:sharepoint-m365,Microsoft 365 + SharePoint,Microsoft,Productivity,All,SaaS,person:apex:raj-patel,person:apex:thomas-brennan,N/A,1820000,2027-06-30,2027-06-30,N/A,Confidential,Critical,Low,No,"Includes Teams and SharePoint; Copilot evaluation paused (cost concerns)"
sys:apex:okta,Okta Identity Cloud,Okta,IAM / SSO,Security,SaaS,person:apex:kevin-harrison,person:apex:sarah-whitfield,Workforce + Customer,640000,2027-01-15,2027-01-15,67,Confidential,Critical,Low,No,"Workforce + customer identity; well-managed"
sys:apex:cyberark,CyberArk PAM,CyberArk,PAM,Security,Hybrid,person:apex:kevin-harrison,person:apex:sarah-whitfield,Self-hosted + cloud broker,380000,2026-10-31,2027-10-31,22,Restricted,Critical,Medium,No,"Stable; recent expansion to cloud workloads"
sys:apex:splunk,Splunk Enterprise + Cloud,Splunk,SIEM / Observability,Security,SaaS,person:apex:kevin-harrison,person:apex:sarah-whitfield,9.x,1120000,2026-08-31,2027-08-31,38,Confidential,Critical,Medium,Considering,"Cost concern; Cisco acquisition implications under review; potential migration to alternative"
sys:apex:crowdstrike,CrowdStrike Falcon,CrowdStrike,EDR,Security,SaaS,person:apex:kevin-harrison,person:apex:sarah-whitfield,N/A,540000,2027-03-31,2027-03-31,N/A,Restricted,Critical,Low,No,"Strong tool; renewal 2027"
sys:apex:zscaler,Zscaler ZIA + ZPA,Zscaler,SASE / SSE,Security,SaaS,person:apex:raj-patel,person:apex:sarah-whitfield,N/A,720000,2026-12-31,2027-12-31,N/A,Confidential,Critical,Low,No,"Replaced legacy proxy in 2024; performing well"
sys:apex:onetrust,OneTrust Privacy,OneTrust,Privacy / Consent / DSR,Security,SaaS,person:apex:rebecca-singh,person:apex:rebecca-singh,N/A,310000,2026-11-30,2027-11-30,11,Confidential,High,Low,No,"DSR program; consent management; GC owned"
sys:apex:servicenow,ServiceNow ITSM,ServiceNow,ITSM,IT Operations,SaaS,person:apex:raj-patel,person:apex:carlos-rivera,Vancouver,890000,2026-09-30,2027-09-30,28,Confidential,High,Medium,No,"ITSM only; HR and other modules considered but not adopted"
