tool_id,tool_name,vendor,department,users_estimated,monthly_cost_usd,procurement_path,known_to_it,risk_classification,data_handled,first_detected,status,notes
shadow:apex:01,ChatGPT Plus,OpenAI,Marketing + Creative,~85,2125,Personal credit card / expense reports,Yes — recently catalogued,High,"Customer copy drafts, internal docs",2024-Q4,Active — under remediation,"Identified via expense audit Nov 2025; AI Council formalized policy Dec 2025; transition to enterprise OpenAI access in progress"
shadow:apex:02,Claude Pro,Anthropic,Strategy + Insights,~24,600,Personal credit card,Yes — catalogued,Medium,Internal strategy work,2025-Q2,Active — under remediation,"Same remediation path as ChatGPT Plus"
shadow:apex:03,Notion,Notion Labs,Product + Marketing,~140,840,Department credit card,Yes — catalogued,Medium,"Project notes, planning docs",2023,Active — operating outside policy,"Marketing and product teams refuse Confluence; Notion is de facto knowledge base; AI Council aware; tolerated"
shadow:apex:04,Figma,Figma,Creative + Product,~62,1240,Department credit card,Yes — catalogued,Low,Design files,2022,Active — sanctioned in 2024,"Originally shadow; sanctioned by IT in 2024; was procurement path issue"
shadow:apex:05,Loom,Loom,All,~210,1050,Personal accounts (free + paid),Partial,Medium,"Recorded video including some customer info",2023,Active — policy gray area,"Free accounts widely used; some paid accounts on department credit cards; data classification unclear"
shadow:apex:06,Calendly,Calendly,Recruiting + Sales,~38,380,Department credit card,Yes — catalogued,Low,Calendar metadata,2022,Active — sanctioned 2024,"Originally shadow; now sanctioned"
shadow:apex:07,Otter.ai,Otter.ai,Various,~28,420,Personal credit cards,Partial,Medium,"Meeting recordings (incl. some customer calls)",2024-Q1,Active — under remediation,"Risk concern: customer call recordings may be on Otter; DPA gap; remediation Q2 FY2026"
shadow:apex:08,Mailchimp,Intuit,Internal communications,Small marketing pocket,180,Department credit card,Yes — catalogued,Low,Internal newsletter list,2021,Active — duplicate of Klaviyo,"Marketing's internal newsletter; consolidation candidate"
shadow:apex:09,Jasper.ai,Jasper,Content marketing,~12,720,Department credit card,Yes — recently catalogued,Medium,"Marketing copy",2025-Q1,Active — under review,"Marketing copy generation; AI Council reviewing"
shadow:apex:10,Various Zapier accounts,Zapier,Operations + Marketing,~30 (across teams),~600,Personal + department,Partial,Medium,"Cross-system data movement",2022,Active — concerning,"Data flows IT doesn't see; security review proposed but not yet executed; risk: integration outside SOC visibility"
shadow:apex:11,Personal Dropbox accounts,Dropbox,Various,Estimate ~80,~480,Personal,No (mostly),High,"Internal documents — Confidential and Restricted potentially",2018+,Active — significant concern,"Long-standing issue; SharePoint adoption is strong but personal Dropbox usage persists; DLP detection limited"
shadow:apex:12,Various ChatGPT free,OpenAI,Wide use,Estimate ~600,0,N/A — free,No,High,"Variable; potentially Confidential data in prompts",2023+,Active — major risk,"Free ChatGPT use is widespread despite policy; enterprise access rollout aims to reduce"
shadow:apex:13,Grammarly,Grammarly,Marketing + comms,~140,1400,Department + personal,Yes — catalogued,Medium,"Document content (Confidential potentially)",2022,Active — DPA in place,"DPA in place; data classification gap remains"
shadow:apex:14,Perplexity Pro,Perplexity,Research + strategy,~18,360,Personal + department,Partial,Medium,Search queries,2024-Q4,Active — under review,"Research use; policy unclear"
shadow:apex:15,Granola,Granola,Various meetings,~22,440,Personal + department,Yes — recently catalogued,Medium,"Meeting recordings",2025-Q3,Active — under review,"AI meeting notes; data residency questions"
