tenantKey,tenant,sourceRowNumber,systemName,systemCategory,systemType,criticality,businessFunction,deploymentModel,hostingLocation,lifecycleState,sourceFile,originalSourceFile,canonicalLayer,logicalObject,loadedStatus
apex-retail,Apex Retail,2,Oracle Retail Merchandising,merchandising,,critical,merchandising,,,invest,datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,Canonical Fact Store,CanonicalIngestionRecord(application_system),accepted
apex-retail,Apex Retail,3,Manhattan Active WMS,warehouse,,critical,warehouse,,,optimize,datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,Canonical Fact Store,CanonicalIngestionRecord(application_system),accepted
apex-retail,Apex Retail,4,IBM Sterling OMS,order_management,,critical,order_management,,,contain,datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,Canonical Fact Store,CanonicalIngestionRecord(application_system),accepted
apex-retail,Apex Retail,5,Toshiba POS,pos,,critical,pos,,,replace_candidate,datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,Canonical Fact Store,CanonicalIngestionRecord(application_system),accepted
apex-retail,Apex Retail,6,Salesforce Commerce Cloud,ecommerce,,critical,ecommerce,,,invest,datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,Canonical Fact Store,CanonicalIngestionRecord(application_system),accepted
apex-retail,Apex Retail,7,Adobe Experience Cloud,personalization,,high,personalization,,,optimize,datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,Canonical Fact Store,CanonicalIngestionRecord(application_system),accepted
apex-retail,Apex Retail,8,Blue Yonder Demand Planning,forecasting,,critical,forecasting,,,contain,datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,Canonical Fact Store,CanonicalIngestionRecord(application_system),accepted
apex-retail,Apex Retail,9,SAP S/4 Finance,erp_finance,,critical,erp_finance,,,replace_candidate,datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,Canonical Fact Store,CanonicalIngestionRecord(application_system),accepted
apex-retail,Apex Retail,10,ServiceNow ITSM,itsm,,high,itsm,,,invest,datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,Canonical Fact Store,CanonicalIngestionRecord(application_system),accepted
apex-retail,Apex Retail,11,Databricks Retail Lakehouse,data_platform,,critical,data_platform,,,optimize,datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_05_applications_systems.csv,Canonical Fact Store,CanonicalIngestionRecord(application_system),accepted
