budget_line_id,budget_area,spend_type,fy26_budget_usd,owner_team_id
BUD-001,IBM Z / mainframe run,run,386000000,SHA-IT-009
BUD-002,AWS cloud platform and modern apps,run_change,278000000,SHA-IT-010
BUD-003,Data platforms EDW lake BI SAS,run_change,244000000,SHA-IT-011
BUD-004,Digital commerce mobile customer platforms,change,192000000,SHA-IT-008
BUD-005,Airline operations systems,run_change,214000000,SHA-IT-002
BUD-006,Crew flight airport MRO platforms,run_change,422000000,SHA-IT-003
BUD-007,Cybersecurity and resilience,run_change,196000000,SHA-IT-015
BUD-008,SAP and corporate systems,run_change,126000000,SHA-IT-013
BUD-009,AI and agentic portfolio,change,248000000,SHA-IT-016
BUD-010,Integration API eventing,run_change,108000000,SHA-IT-012
BUD-011,ServiceNow SRE observability,run_change,82000000,SHA-IT-014
BUD-012,Developer productivity and tools,change,58000000,SHA-IT-017
BUD-013,Architecture strategy governance,run,24000000,SHA-IT-018
