vendor_id,vendor_name,scope,annual_run_rate_usd,renewal_date,criticality,notes
CON-00001,SAP,Managed Service,85440000,2026-09-04,critical,tower=Network; owner=CDO; utilization=91; action=Right-size
CON-00002,Infosys,Capacity Reservation,77560000,2028-05-21,critical,tower=EUC; owner=VP Engineering; utilization=42; action=Renegotiate
CON-00003,Informatica,Perpetual License,47570000,2026-12-09,critical,tower=Digital; owner=CDO; utilization=23; action=Consolidate
CON-00004,Informatica,Perpetual License,119140000,2026-05-10,critical,tower=Digital; owner=CDO; utilization=31; action=Renew
CON-00005,Amadeus,Perpetual License,117570000,2027-08-07,critical,tower=Data & Analytics; owner=CDO; utilization=30; action=Renegotiate
CON-00006,IBM,Capacity Reservation,94560000,2027-07-31,critical,tower=Mainframe; owner=CTO; utilization=80; action=Consolidate
CON-00007,Oracle,Enterprise Agreement,77080000,2027-02-21,critical,tower=Security; owner=CIO; utilization=42; action=Benchmark
CON-00008,Red Hat,Support & Maintenance,83270000,2025-07-04,critical,tower=Data & Analytics; owner=CISO; utilization=58; action=Renew
CON-00009,Accenture,Support & Maintenance,119170000,2028-11-29,critical,tower=Mainframe; owner=CTO; utilization=65; action=Renew
CON-00010,Informatica,Support & Maintenance,29610000,2028-09-10,critical,tower=Mainframe; owner=CTO; utilization=41; action=Competitive Bid
CON-00011,IBM,Managed Service,47380000,2026-02-01,critical,tower=Security; owner=CIO; utilization=79; action=Benchmark
CON-00012,IBM,Managed Service,101800000,2026-09-03,critical,tower=Security; owner=CTO; utilization=33; action=Benchmark
CON-00013,NetApp,Managed Service,58880000,2024-01-15,critical,tower=Mainframe; owner=COO; utilization=57; action=Right-size
CON-00014,SAP,SaaS Subscription,52760000,2026-05-01,critical,tower=Digital; owner=Chief Digital Officer; utilization=47; action=Terminate
CON-00015,Salesforce,Perpetual License,31220000,2027-08-17,critical,tower=Security; owner=Chief Digital Officer; utilization=95; action=Right-size
CON-00016,Informatica,SaaS Subscription,31500000,2028-02-15,critical,tower=Network; owner=VP Infrastructure; utilization=72; action=Consolidate
CON-00017,MuleSoft,Managed Service,80900000,2024-03-05,critical,tower=Mainframe; owner=Chief Digital Officer; utilization=62; action=Terminate
CON-00018,TCS,Managed Service,125560000,2023-10-08,critical,tower=Cloud; owner=CISO; utilization=22; action=Renegotiate
CON-00019,Dell EMC,Consumption Commit,137280000,2024-06-03,critical,tower=Security; owner=VP Infrastructure; utilization=89; action=Renegotiate
CON-00020,Fortinet,SaaS Subscription,86320000,2024-12-20,critical,tower=ERP; owner=CTO; utilization=69; action=Renew
CON-00021,Databricks,SaaS Subscription,76620000,2025-11-06,critical,tower=Digital; owner=CIO; utilization=77; action=Right-size
CON-00022,NetApp,Managed Service,139370000,2026-08-28,critical,tower=Cloud; owner=VP Engineering; utilization=56; action=Competitive Bid
CON-00023,SAP,SaaS Subscription,113150000,2027-05-02,critical,tower=Data & Analytics; owner=CISO; utilization=42; action=Competitive Bid
CON-00024,Accenture,Capacity Reservation,94450000,2025-04-16,critical,tower=Mainframe; owner=CISO; utilization=78; action=Renew
CON-00025,Databricks,Enterprise Agreement,113090000,2027-02-01,critical,tower=Digital; owner=Chief Digital Officer; utilization=48; action=Renew
CON-00026,Cisco,Capacity Reservation,31530000,2027-03-22,critical,tower=Data & Analytics; owner=CFO; utilization=64; action=Consolidate
CON-00027,ServiceNow,Managed Service,46960000,2026-02-26,critical,tower=Mainframe; owner=CTO; utilization=98; action=Renew
CON-00028,Fortinet,Perpetual License,11230000,2027-07-28,important,tower=EUC; owner=VP Data; utilization=28; action=Benchmark
CON-00029,Oracle,Professional Services,87250000,2028-02-13,critical,tower=Integration; owner=Chief Digital Officer; utilization=28; action=Renew
CON-00030,Infosys,Consumption Commit,58460000,2027-06-05,critical,tower=Security; owner=CIO; utilization=49; action=Benchmark
CON-00031,NetApp,Capacity Reservation,8940000,2025-01-31,important,tower=Mainframe; owner=CIO; utilization=40; action=Competitive Bid
CON-00032,Snowflake,Managed Service,32549999,2025-12-17,critical,tower=Mainframe; owner=CFO; utilization=49; action=Right-size
CON-00033,Snowflake,Consumption Commit,112930000,2026-11-04,critical,tower=Security; owner=CDO; utilization=100; action=Terminate
CON-00034,Palo Alto,SaaS Subscription,7930000,2026-04-15,important,tower=Cloud; owner=CISO; utilization=100; action=Renew
CON-00035,ServiceNow,Professional Services,32049999,2023-08-04,critical,tower=Mainframe; owner=VP Infrastructure; utilization=62; action=Competitive Bid
CON-00036,Dell EMC,Managed Service,21830000,2025-08-18,critical,tower=Digital; owner=VP Infrastructure; utilization=54; action=Terminate
CON-00037,Accenture,SaaS Subscription,26310000,2028-04-25,critical,tower=Digital; owner=Chief Digital Officer; utilization=83; action=Renegotiate
CON-00038,SAP,Capacity Reservation,122140000,2026-04-23,critical,tower=Digital; owner=Chief Digital Officer; utilization=98; action=Right-size
CON-00039,Microsoft,Professional Services,68910000,2026-12-26,critical,tower=Mainframe; owner=VP Engineering; utilization=36; action=Renegotiate
CON-00040,SAP,Professional Services,10760000,2030-08-14,important,tower=Integration; owner=COO; utilization=86; action=Renew
CON-00041,ServiceNow,Support & Maintenance,23010000,2025-10-27,critical,tower=ERP; owner=VP Engineering; utilization=26; action=Consolidate
CON-00042,Databricks,Support & Maintenance,32110000,2026-10-24,critical,tower=Security; owner=VP Engineering; utilization=25; action=Competitive Bid
CON-00043,ServiceNow,Enterprise Agreement,80350000,2027-02-20,critical,tower=Network; owner=CDO; utilization=45; action=Terminate
CON-00044,Fortinet,Enterprise Agreement,7610000,2026-03-21,important,tower=ERP; owner=Chief Digital Officer; utilization=37; action=Right-size
CON-00045,NetApp,Capacity Reservation,136780000,2027-04-24,critical,tower=EUC; owner=CTO; utilization=32; action=Renew
CON-00046,Amadeus,Consumption Commit,114070000,2024-11-26,critical,tower=Mainframe; owner=CTO; utilization=64; action=Competitive Bid
CON-00047,Sabre,Enterprise Agreement,29260000,2026-03-26,critical,tower=Cloud; owner=COO; utilization=48; action=Right-size
CON-00048,ServiceNow,SaaS Subscription,30770000,2029-09-01,critical,tower=Security; owner=COO; utilization=75; action=Competitive Bid
CON-00049,TCS,Managed Service,2360000,2026-11-24,important,tower=Cloud; owner=Chief Digital Officer; utilization=92; action=Renew
CON-00050,Workday,Consumption Commit,87780000,2028-09-05,critical,tower=Mainframe; owner=CFO; utilization=94; action=Consolidate
CON-00051,Fortinet,Perpetual License,98200000,2025-01-30,critical,tower=ERP; owner=CDO; utilization=90; action=Competitive Bid
CON-00052,NetApp,Support & Maintenance,104060000,2027-05-15,critical,tower=Integration; owner=COO; utilization=35; action=Renegotiate
CON-00053,MuleSoft,Consumption Commit,113750000,2028-08-02,critical,tower=Network; owner=CFO; utilization=85; action=Right-size
CON-00054,Infosys,Consumption Commit,39330000,2029-05-06,critical,tower=Mainframe; owner=VP Infrastructure; utilization=34; action=Renew
CON-00055,Workday,SaaS Subscription,137480000,2026-03-18,critical,tower=Network; owner=CFO; utilization=90; action=Terminate
