incident_id,system_id,severity,opened_at,closed_at,root_cause
NST-INC-0001,NST-APP-002,P2,2026-02-02,2026-02-03,plant edge network
NST-INC-0002,NST-APP-003,P2,2026-03-03,2026-03-04,QMS validation defect
NST-INC-0003,NST-APP-004,P2,2026-04-04,2026-04-05,cloud identity sync
NST-INC-0004,NST-APP-005,P2,2026-05-05,2026-05-06,ERP batch failure
NST-INC-0005,NST-APP-006,P2,2026-06-06,2026-06-07,plant edge network
NST-INC-0006,NST-APP-007,P2,2026-07-07,2026-07-08,QMS validation defect
NST-INC-0007,NST-APP-008,P2,2026-08-08,2026-08-09,cloud identity sync
NST-INC-0008,NST-APP-009,P2,2026-09-09,2026-09-10,ERP batch failure
NST-INC-0009,NST-APP-010,P2,2026-10-10,2026-10-11,plant edge network
NST-INC-0010,NST-APP-011,P2,2026-11-11,2026-11-12,QMS validation defect
NST-INC-0011,NST-APP-012,P1,2026-12-12,2026-12-13,cloud identity sync
NST-INC-0012,NST-APP-013,P2,2026-01-13,2026-01-14,ERP batch failure
NST-INC-0013,NST-APP-014,P2,2026-02-14,,plant edge network
NST-INC-0014,NST-APP-015,P2,2026-03-15,2026-03-16,QMS validation defect
NST-INC-0015,NST-APP-016,P2,2026-04-16,2026-04-17,cloud identity sync
NST-INC-0016,NST-APP-017,P2,2026-05-17,2026-05-18,ERP batch failure
NST-INC-0017,NST-APP-018,P2,2026-06-18,2026-06-19,plant edge network
NST-INC-0018,NST-APP-019,P2,2026-07-19,2026-07-20,QMS validation defect
NST-INC-0019,NST-APP-020,P2,2026-08-20,2026-08-21,cloud identity sync
NST-INC-0020,NST-APP-021,P2,2026-09-21,2026-09-22,ERP batch failure
NST-INC-0021,NST-APP-022,P2,2026-10-22,2026-10-23,plant edge network
NST-INC-0022,NST-APP-023,P1,2026-11-23,2026-11-24,QMS validation defect
NST-INC-0023,NST-APP-024,P2,2026-12-24,2026-12-25,cloud identity sync
NST-INC-0024,NST-APP-025,P2,2026-01-25,2026-01-26,ERP batch failure
NST-INC-0025,NST-APP-026,P2,2026-02-26,2026-02-27,plant edge network
NST-INC-0026,NST-APP-027,P2,2026-03-27,,QMS validation defect
NST-INC-0027,NST-APP-028,P2,2026-04-01,2026-04-02,cloud identity sync
NST-INC-0028,NST-APP-029,P2,2026-05-02,2026-05-03,ERP batch failure
NST-INC-0029,NST-APP-030,P2,2026-06-03,2026-06-04,plant edge network
NST-INC-0030,NST-APP-031,P2,2026-07-04,2026-07-05,QMS validation defect
NST-INC-0031,NST-APP-032,P0,2026-08-05,2026-08-06,cloud identity sync
NST-INC-0032,NST-APP-033,P2,2026-09-06,2026-09-07,ERP batch failure
NST-INC-0033,NST-APP-034,P1,2026-10-07,2026-10-08,plant edge network
NST-INC-0034,NST-APP-035,P2,2026-11-08,2026-11-09,QMS validation defect
NST-INC-0035,NST-APP-036,P2,2026-12-09,2026-12-10,cloud identity sync
NST-INC-0036,NST-APP-037,P2,2026-01-10,2026-01-11,ERP batch failure
NST-INC-0037,NST-APP-038,P2,2026-02-11,2026-02-12,plant edge network
