report_id,report_name,business_function,lifecycle_status,refresh_cadence,source_data_product_id,evidence_gap
BI-HCDN-00001,HEDIS report 00001,Revenue Cycle,duplicate,weekly,DATA-HCDN-00004,source-backed candidate
BI-HCDN-00002,CAHPS report 00002,Patient Access,stale,monthly,DATA-HCDN-00007,source-backed candidate
BI-HCDN-00003,RAF report 00003,Interoperability,candidate retire,quarterly,DATA-HCDN-00010,source-backed candidate
BI-HCDN-00004,clinical report 00004,Population Health,executive critical,real-time,DATA-HCDN-00013,source-backed candidate
BI-HCDN-00005,claims report 00005,Health Plan Operations,active,ad hoc,DATA-HCDN-00016,source-backed candidate
BI-HCDN-00006,denials report 00006,Medicare Advantage,duplicate,daily,DATA-HCDN-00019,source-backed candidate
BI-HCDN-00007,access report 00007,Claims Operations,stale,weekly,DATA-HCDN-00022,source-backed candidate
BI-HCDN-00008,finance report 00008,Utilization Management,candidate retire,monthly,DATA-HCDN-00025,source-backed candidate
BI-HCDN-00009,actuarial report 00009,Member Services,executive critical,quarterly,DATA-HCDN-00028,owner unclear
BI-HCDN-00010,pharmacy report 00010,Quality and Stars,active,real-time,DATA-HCDN-00031,source-backed candidate
BI-HCDN-00011,provider-network report 00011,Risk Adjustment,duplicate,ad hoc,DATA-HCDN-00034,source-backed candidate
BI-HCDN-00012,executive report 00012,Care Management,stale,daily,DATA-HCDN-00037,KPI definition conflict
BI-HCDN-00013,Stars report 00013,Finance,candidate retire,weekly,DATA-HCDN-00040,source-backed candidate
BI-HCDN-00014,HEDIS report 00014,Coding,executive critical,monthly,DATA-HCDN-00043,source-backed candidate
BI-HCDN-00015,CAHPS report 00015,Payer Contracting,active,quarterly,DATA-HCDN-00046,source-backed candidate
BI-HCDN-00016,RAF report 00016,Digital Front Door,duplicate,real-time,DATA-HCDN-00049,source-backed candidate
BI-HCDN-00017,clinical report 00017,Contact Center,stale,ad hoc,DATA-HCDN-00052,source-backed candidate
BI-HCDN-00018,claims report 00018,Ambulatory Care,candidate retire,daily,DATA-HCDN-00055,owner unclear
BI-HCDN-00019,denials report 00019,Emergency Department,executive critical,weekly,DATA-HCDN-00058,source-backed candidate
BI-HCDN-00020,access report 00020,Inpatient,active,monthly,DATA-HCDN-00061,source-backed candidate
