fact_id,proposal_id,lot_id,fact_type,fact_state,source_location,source_id
FACT-HCDN-LOT-HCDN-01-A-01,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,automation,needs clarification,source section 1,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-01-A-02,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,transition,exception noted,source section 2,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-01-A-03,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,security,assumption dependent,source section 3,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-01-A-04,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,value,claim source-backed,source section 4,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-01-A-05,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,staffing,needs clarification,source section 5,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-01-A-06,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-01-B-01,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,automation,needs clarification,source section 1,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-01-B-02,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,transition,exception noted,source section 2,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-01-B-03,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,security,assumption dependent,source section 3,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-01-B-04,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,value,claim source-backed,source section 4,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-01-B-05,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,staffing,needs clarification,source section 5,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-01-B-06,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-01-C-01,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,automation,needs clarification,source section 1,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-01-C-02,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,transition,exception noted,source section 2,SRC-HCDN-PROP-C
