control_id,control_name,business_function,control_status,source_id
CTRL-HCDN-0001,measure attestation,Revenue Cycle,operating,SRC-HCDN-CTRL-002
CTRL-HCDN-0002,CMS submission control,Patient Access,gap,SRC-HCDN-CTRL-003
CTRL-HCDN-0003,change control,Interoperability,needs evidence,SRC-HCDN-CTRL-004
CTRL-HCDN-0004,data lineage certification,Population Health,candidate,SRC-HCDN-CTRL-005
CTRL-HCDN-0005,vendor BAA review,Health Plan Operations,designed,SRC-HCDN-CTRL-006
CTRL-HCDN-0006,resilience test,Medicare Advantage,operating,SRC-HCDN-CTRL-007
CTRL-HCDN-0007,incident review,Claims Operations,gap,SRC-HCDN-CTRL-008
CTRL-HCDN-0008,financial approval,Utilization Management,needs evidence,SRC-HCDN-CTRL-009
CTRL-HCDN-0009,privacy review,Member Services,candidate,SRC-HCDN-CTRL-010
CTRL-HCDN-0010,model-risk review,Quality and Stars,designed,SRC-HCDN-CTRL-011
CTRL-HCDN-0011,PHI access review,Risk Adjustment,operating,SRC-HCDN-CTRL-012
CTRL-HCDN-0012,measure attestation,Care Management,gap,SRC-HCDN-CTRL-013
CTRL-HCDN-0013,CMS submission control,Finance,needs evidence,SRC-HCDN-CTRL-014
CTRL-HCDN-0014,change control,Coding,candidate,SRC-HCDN-CTRL-015
CTRL-HCDN-0015,data lineage certification,Payer Contracting,designed,SRC-HCDN-CTRL-016
CTRL-HCDN-0016,vendor BAA review,Digital Front Door,operating,SRC-HCDN-CTRL-017
CTRL-HCDN-0017,resilience test,Contact Center,gap,SRC-HCDN-CTRL-018
CTRL-HCDN-0018,incident review,Ambulatory Care,needs evidence,SRC-HCDN-CTRL-019
CTRL-HCDN-0019,financial approval,Emergency Department,candidate,SRC-HCDN-CTRL-020
CTRL-HCDN-0020,privacy review,Inpatient,designed,SRC-HCDN-CTRL-021
CTRL-HCDN-0021,model-risk review,Surgery,operating,SRC-HCDN-CTRL-022
CTRL-HCDN-0022,PHI access review,Imaging,gap,SRC-HCDN-CTRL-023
CTRL-HCDN-0023,measure attestation,Lab,needs evidence,SRC-HCDN-CTRL-024
CTRL-HCDN-0024,CMS submission control,Pharmacy,candidate,SRC-HCDN-CTRL-025
CTRL-HCDN-0025,change control,Oncology,designed,SRC-HCDN-CTRL-026
CTRL-HCDN-0026,data lineage certification,Cardiology,operating,SRC-HCDN-CTRL-027
CTRL-HCDN-0027,vendor BAA review,Data and Analytics,gap,SRC-HCDN-CTRL-028
CTRL-HCDN-0028,resilience test,Clinical Analytics,needs evidence,SRC-HCDN-CTRL-029
CTRL-HCDN-0029,incident review,Actuarial,candidate,SRC-HCDN-CTRL-030
CTRL-HCDN-0030,financial approval,Departmental Reporting,designed,SRC-HCDN-CTRL-031
CTRL-HCDN-0031,privacy review,AI Transformation,operating,SRC-HCDN-CTRL-032
CTRL-HCDN-0032,model-risk review,Technology,gap,SRC-HCDN-CTRL-033
CTRL-HCDN-0033,PHI access review,Security,needs evidence,SRC-HCDN-CTRL-034
CTRL-HCDN-0034,measure attestation,Procurement,candidate,SRC-HCDN-CTRL-035
CTRL-HCDN-0035,CMS submission control,HR,designed,SRC-HCDN-CTRL-036
CTRL-HCDN-0036,change control,Supply Chain,operating,SRC-HCDN-CTRL-037
CTRL-HCDN-0037,data lineage certification,Privacy,gap,SRC-HCDN-CTRL-038
CTRL-HCDN-0038,vendor BAA review,Compliance,needs evidence,SRC-HCDN-CTRL-039
CTRL-HCDN-0039,resilience test,Provider Network,candidate,SRC-HCDN-CTRL-040
CTRL-HCDN-0040,incident review,Value-Based Care,designed,SRC-HCDN-CTRL-041
CTRL-HCDN-0041,financial approval,Clinical Operations,operating,SRC-HCDN-CTRL-042
CTRL-HCDN-0042,privacy review,Revenue Cycle,gap,SRC-HCDN-CTRL-043
CTRL-HCDN-0043,model-risk review,Patient Access,needs evidence,SRC-HCDN-CTRL-044
CTRL-HCDN-0044,PHI access review,Interoperability,candidate,SRC-HCDN-CTRL-045
CTRL-HCDN-0045,measure attestation,Population Health,designed,SRC-HCDN-CTRL-046
CTRL-HCDN-0046,CMS submission control,Health Plan Operations,operating,SRC-HCDN-CTRL-047
CTRL-HCDN-0047,change control,Medicare Advantage,gap,SRC-HCDN-CTRL-048
CTRL-HCDN-0048,data lineage certification,Claims Operations,needs evidence,SRC-HCDN-CTRL-049
CTRL-HCDN-0049,vendor BAA review,Utilization Management,candidate,SRC-HCDN-CTRL-050
CTRL-HCDN-0050,resilience test,Member Services,designed,SRC-HCDN-CTRL-051
