relationship_id,from_object_type,from_source_native_id,relationship_type,to_object_type,to_source_native_id,business_meaning,scope,criticality,current_target_state,source_document
REL-HCDN-000001,application,APP-HCDN-00001,supports_process,business_process,PROC-HCDN-001,Application supports healthcare operating process,operations,critical,current,SRC-HCDN-REL-003
REL-HCDN-000002,application,APP-HCDN-00001,hosted_on,infrastructure,INFRA-HCDN-00001,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-004
REL-HCDN-000003,application,APP-HCDN-00001,covered_by_contract,contract,CONT-HCDN-0001,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-005
REL-HCDN-000004,application,APP-HCDN-00001,feeds_data_product,data_product,DATA-HCDN-00001,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-006
REL-HCDN-000005,application,APP-HCDN-00001,measured_by,kpi,KPI-HCDN-0001,Application/process outcome measured by KPI,performance,high,target,SRC-HCDN-REL-007
REL-HCDN-000006,application,APP-HCDN-00002,supports_process,business_process,PROC-HCDN-002,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-008
REL-HCDN-000007,application,APP-HCDN-00002,hosted_on,infrastructure,INFRA-HCDN-00008,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-009
REL-HCDN-000008,application,APP-HCDN-00002,covered_by_contract,contract,CONT-HCDN-0006,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-010
REL-HCDN-000009,application,APP-HCDN-00002,feeds_data_product,data_product,DATA-HCDN-00004,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-011
REL-HCDN-000010,application,APP-HCDN-00002,measured_by,kpi,KPI-HCDN-0012,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-012
REL-HCDN-000011,application,APP-HCDN-00003,supports_process,business_process,PROC-HCDN-003,Application supports healthcare operating process,operations,high,target,SRC-HCDN-REL-013
REL-HCDN-000012,application,APP-HCDN-00003,hosted_on,infrastructure,INFRA-HCDN-00015,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-014
REL-HCDN-000013,application,APP-HCDN-00003,covered_by_contract,contract,CONT-HCDN-0011,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-015
REL-HCDN-000014,application,APP-HCDN-00003,feeds_data_product,data_product,DATA-HCDN-00007,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-016
REL-HCDN-000015,application,APP-HCDN-00003,measured_by,kpi,KPI-HCDN-0023,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-017
REL-HCDN-000016,application,APP-HCDN-00004,supports_process,business_process,PROC-HCDN-004,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-018
REL-HCDN-000017,application,APP-HCDN-00004,hosted_on,infrastructure,INFRA-HCDN-00022,Hosting dependency affects resilience and modernization,technology,high,target,SRC-HCDN-REL-019
REL-HCDN-000018,application,APP-HCDN-00004,covered_by_contract,contract,CONT-HCDN-0016,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-020
REL-HCDN-000019,application,APP-HCDN-00004,feeds_data_product,data_product,DATA-HCDN-00010,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-021
REL-HCDN-000020,application,APP-HCDN-00004,measured_by,kpi,KPI-HCDN-0034,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-022
REL-HCDN-000021,application,APP-HCDN-00005,supports_process,business_process,PROC-HCDN-005,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-023
REL-HCDN-000022,application,APP-HCDN-00005,hosted_on,infrastructure,INFRA-HCDN-00029,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-024
REL-HCDN-000023,application,APP-HCDN-00005,covered_by_contract,contract,CONT-HCDN-0021,Application support/operation tied to supplier obligation,source_event,high,target,SRC-HCDN-REL-025
REL-HCDN-000024,application,APP-HCDN-00005,feeds_data_product,data_product,DATA-HCDN-00013,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-026
REL-HCDN-000025,application,APP-HCDN-00005,measured_by,kpi,KPI-HCDN-0045,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-027
REL-HCDN-000026,application,APP-HCDN-00006,supports_process,business_process,PROC-HCDN-006,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-028
REL-HCDN-000027,application,APP-HCDN-00006,hosted_on,infrastructure,INFRA-HCDN-00036,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-029
REL-HCDN-000028,application,APP-HCDN-00006,covered_by_contract,contract,CONT-HCDN-0026,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-030
REL-HCDN-000029,application,APP-HCDN-00006,feeds_data_product,data_product,DATA-HCDN-00016,Application contributes source data to analytics/AI layer,data,high,target,SRC-HCDN-REL-031
REL-HCDN-000030,application,APP-HCDN-00006,measured_by,kpi,KPI-HCDN-0056,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-032
REL-HCDN-000031,application,APP-HCDN-00007,supports_process,business_process,PROC-HCDN-007,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-033
REL-HCDN-000032,application,APP-HCDN-00007,hosted_on,infrastructure,INFRA-HCDN-00043,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-034
