sql_asset_id,asset_type,business_function,version_family,hosting_model,upstream_source,lifecycle_status,evidence_gap
SQL-HCDN-00001,SQL database,Quality and Stars,SQL Server 2014,departmental server,legacy EDW,stale,source-backed candidate
SQL-HCDN-00002,departmental mart,Revenue Cycle,SQL Server 2016,private cloud,claims warehouse,duplicate,source-backed candidate
SQL-HCDN-00003,SSIS package group,Population Health,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,source-backed candidate
SQL-HCDN-00004,SSAS cube/model,Claims Operations,SQL Server 2022,departmental server,Oracle feed,owner conflict,source-backed candidate
SQL-HCDN-00005,SSRS report server,Clinical Analytics,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00006,SQL Agent schedule group,Departmental Reporting,SQL Server 2014,on-prem data center,Epic Clarity,stale,source-backed candidate
SQL-HCDN-00007,SQL Server instance,Actuarial,SQL Server 2016,departmental server,legacy EDW,duplicate,source-backed candidate
SQL-HCDN-00008,SQL database,Finance,SQL Server 2019,private cloud,claims warehouse,retire candidate,measure definition conflict
SQL-HCDN-00009,departmental mart,Quality and Stars,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,source-backed candidate
SQL-HCDN-00010,SSIS package group,Revenue Cycle,SQL Server 2012,departmental server,Oracle feed,active,source-backed candidate
SQL-HCDN-00011,SSAS cube/model,Population Health,SQL Server 2014,private cloud,flat-file/SFTP,stale,lineage incomplete
SQL-HCDN-00012,SSRS report server,Claims Operations,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,source-backed candidate
SQL-HCDN-00013,SQL Agent schedule group,Clinical Analytics,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00014,SQL Server instance,Departmental Reporting,SQL Server 2022,private cloud,claims warehouse,owner conflict,source-backed candidate
SQL-HCDN-00015,SQL database,Actuarial,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,source-backed candidate
SQL-HCDN-00016,departmental mart,Finance,SQL Server 2014,departmental server,Oracle feed,stale,measure definition conflict
SQL-HCDN-00017,SSIS package group,Quality and Stars,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,source-backed candidate
SQL-HCDN-00018,SSAS cube/model,Revenue Cycle,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,source-backed candidate
SQL-HCDN-00019,SSRS report server,Population Health,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00020,SQL Agent schedule group,Claims Operations,SQL Server 2012,private cloud,claims warehouse,active,source-backed candidate
SQL-HCDN-00021,SQL Server instance,Clinical Analytics,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00022,SQL database,Departmental Reporting,SQL Server 2016,departmental server,Oracle feed,duplicate,lineage incomplete
SQL-HCDN-00023,departmental mart,Actuarial,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,source-backed candidate
SQL-HCDN-00024,SSIS package group,Finance,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,measure definition conflict
SQL-HCDN-00025,SSAS cube/model,Quality and Stars,SQL Server 2012,departmental server,legacy EDW,active,source-backed candidate
SQL-HCDN-00026,SSRS report server,Revenue Cycle,SQL Server 2014,private cloud,claims warehouse,stale,source-backed candidate
SQL-HCDN-00027,SQL Agent schedule group,Population Health,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00028,SQL Server instance,Claims Operations,SQL Server 2019,departmental server,Oracle feed,retire candidate,source-backed candidate
SQL-HCDN-00029,SQL database,Clinical Analytics,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,source-backed candidate
SQL-HCDN-00030,departmental mart,Departmental Reporting,SQL Server 2012,on-prem data center,Epic Clarity,active,source-backed candidate
SQL-HCDN-00031,SSIS package group,Actuarial,SQL Server 2014,departmental server,legacy EDW,stale,source-backed candidate
SQL-HCDN-00032,SSAS cube/model,Finance,SQL Server 2016,private cloud,claims warehouse,duplicate,measure definition conflict
SQL-HCDN-00033,SSRS report server,Quality and Stars,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,lineage incomplete
SQL-HCDN-00034,SQL Agent schedule group,Revenue Cycle,SQL Server 2022,departmental server,Oracle feed,owner conflict,source-backed candidate
SQL-HCDN-00035,SQL Server instance,Population Health,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00036,SQL database,Claims Operations,SQL Server 2014,on-prem data center,Epic Clarity,stale,source-backed candidate
SQL-HCDN-00037,departmental mart,Clinical Analytics,SQL Server 2016,departmental server,legacy EDW,duplicate,source-backed candidate
SQL-HCDN-00038,SSIS package group,Departmental Reporting,SQL Server 2019,private cloud,claims warehouse,retire candidate,source-backed candidate
SQL-HCDN-00039,SSAS cube/model,Actuarial,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,source-backed candidate
SQL-HCDN-00040,SSRS report server,Finance,SQL Server 2012,departmental server,Oracle feed,active,measure definition conflict
SQL-HCDN-00041,SQL Agent schedule group,Quality and Stars,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00042,SQL Server instance,Revenue Cycle,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,source-backed candidate
SQL-HCDN-00043,SQL database,Population Health,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00044,departmental mart,Claims Operations,SQL Server 2022,private cloud,claims warehouse,owner conflict,lineage incomplete
SQL-HCDN-00045,SSIS package group,Clinical Analytics,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,source-backed candidate
SQL-HCDN-00046,SSAS cube/model,Departmental Reporting,SQL Server 2014,departmental server,Oracle feed,stale,source-backed candidate
SQL-HCDN-00047,SSRS report server,Actuarial,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,source-backed candidate
SQL-HCDN-00048,SQL Agent schedule group,Finance,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,measure definition conflict
SQL-HCDN-00049,SQL Server instance,Quality and Stars,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00050,SQL database,Revenue Cycle,SQL Server 2012,private cloud,claims warehouse,active,source-backed candidate
SQL-HCDN-00051,departmental mart,Population Health,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00052,SSIS package group,Claims Operations,SQL Server 2016,departmental server,Oracle feed,duplicate,source-backed candidate
SQL-HCDN-00053,SSAS cube/model,Clinical Analytics,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,source-backed candidate
SQL-HCDN-00054,SSRS report server,Departmental Reporting,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,source-backed candidate
SQL-HCDN-00055,SQL Agent schedule group,Actuarial,SQL Server 2012,departmental server,legacy EDW,active,lineage incomplete
SQL-HCDN-00056,SQL Server instance,Finance,SQL Server 2014,private cloud,claims warehouse,stale,measure definition conflict
SQL-HCDN-00057,SQL database,Quality and Stars,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00058,departmental mart,Revenue Cycle,SQL Server 2019,departmental server,Oracle feed,retire candidate,source-backed candidate
SQL-HCDN-00059,SSIS package group,Population Health,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,source-backed candidate
SQL-HCDN-00060,SSAS cube/model,Claims Operations,SQL Server 2012,on-prem data center,Epic Clarity,active,source-backed candidate
SQL-HCDN-00061,SSRS report server,Clinical Analytics,SQL Server 2014,departmental server,legacy EDW,stale,source-backed candidate
SQL-HCDN-00062,SQL Agent schedule group,Departmental Reporting,SQL Server 2016,private cloud,claims warehouse,duplicate,source-backed candidate
SQL-HCDN-00063,SQL Server instance,Actuarial,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,source-backed candidate
SQL-HCDN-00064,SQL database,Finance,SQL Server 2022,departmental server,Oracle feed,owner conflict,measure definition conflict
SQL-HCDN-00065,departmental mart,Quality and Stars,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00066,SSIS package group,Revenue Cycle,SQL Server 2014,on-prem data center,Epic Clarity,stale,lineage incomplete
SQL-HCDN-00067,SSAS cube/model,Population Health,SQL Server 2016,departmental server,legacy EDW,duplicate,source-backed candidate
SQL-HCDN-00068,SSRS report server,Claims Operations,SQL Server 2019,private cloud,claims warehouse,retire candidate,source-backed candidate
SQL-HCDN-00069,SQL Agent schedule group,Clinical Analytics,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,source-backed candidate
SQL-HCDN-00070,SQL Server instance,Departmental Reporting,SQL Server 2012,departmental server,Oracle feed,active,source-backed candidate
SQL-HCDN-00071,SQL database,Actuarial,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00072,departmental mart,Finance,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,measure definition conflict
SQL-HCDN-00073,SSIS package group,Quality and Stars,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00074,SSAS cube/model,Revenue Cycle,SQL Server 2022,private cloud,claims warehouse,owner conflict,source-backed candidate
SQL-HCDN-00075,SSRS report server,Population Health,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,source-backed candidate
SQL-HCDN-00076,SQL Agent schedule group,Claims Operations,SQL Server 2014,departmental server,Oracle feed,stale,source-backed candidate
