truth_object_id,truth_object_type,required_for_publication,visible_source_count,independent_source_count,source_ids,expected_parser_path,expected_candidate_fact_count,expected_relationship_count,ambiguity_class,conflict_class,review_required,reconstructable,reason_if_not_reconstructable
TRUTH-HCDN-001,population_mix,required,2,2,SRC-HCDN-STARS-001;SRC-HCDN-PAYER-001,measure parser; payer profile parser,12,40,none,none,false,true,Medicare/MA assumption reconstructable as tenant assumption only
TRUTH-HCDN-002,epic_platform,required,3,3,SRC-HCDN-EPIC-001;SRC-HCDN-INT-001;SRC-HCDN-SQL-001,Epic parser; interface parser; SQL parser,400,2600,module aliases,version conflict candidates,true,true,Deep Epic footprint reconstructable with review
TRUTH-HCDN-003,sql_legacy_analytics,required,3,3,SRC-HCDN-SQL-001;SRC-HCDN-STARS-001;SRC-HCDN-ARCH-001,SQL catalog parser; BI parser,2800,7000,duplicate marts,stale owner conflicts,true,true,SQL/EDW debt reconstructable with intentional ambiguity
TRUTH-HCDN-004,cloud_posture,required,3,3,SRC-HCDN-STR-001;SRC-HCDN-INF-001;SRC-HCDN-DATA-001,strategy parser; infra parser; data parser,900,2200,Azure/AWS workload labels,roadmap timing conflicts,true,true,Azure-current/AWS-future posture reconstructable
TRUTH-HCDN-005,source_event,required,6,6,SRC-HCDN-CONT-001;SRC-HCDN-RATE-001;SRC-HCDN-INV-001;SRC-HCDN-PROP-001;SRC-HCDN-BAFO-001;SRC-HCDN-EVAL-001,contract/proposal/pricing/evaluation parsers,3500,9000,proposal assumptions,score moderation conflicts,true,true,Procurement scope reconstructable when all event files land
TRUTH-HCDN-0101,data_product,required,2,1,SRC-HCDN-SQL-002,SQL parser,2,3,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0102,kpi,required,3,1,SRC-HCDN-STARS-003,measure parser,3,4,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0103,contract,required,4,2,SRC-HCDN-CONT-004,contract parser,4,5,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0104,relationship,required,5,1,SRC-HCDN-INT-005,interface parser,5,6,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0105,program,required,1,1,SRC-HCDN-DATA-006,proposal parser,6,7,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0106,risk_control,required,2,2,SRC-HCDN-SLA-007,cmdb parser,7,8,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0107,application,optional,3,1,SRC-HCDN-PROP-008,SQL parser,8,9,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0108,data_product,required,4,1,SRC-HCDN-APP-009,measure parser,9,10,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0109,kpi,required,5,2,SRC-HCDN-SQL-010,contract parser,10,11,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0110,contract,required,1,1,SRC-HCDN-STARS-011,interface parser,11,12,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0111,relationship,required,2,1,SRC-HCDN-CONT-012,proposal parser,12,13,retired/active collision,value mismatch,false,false,visible evidence exists but ownership/source conflict blocks publication
TRUTH-HCDN-0112,program,required,3,2,SRC-HCDN-INT-013,cmdb parser,1,14,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0113,risk_control,required,4,1,SRC-HCDN-DATA-014,SQL parser,2,15,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0114,application,optional,5,1,SRC-HCDN-SLA-015,measure parser,3,16,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0115,data_product,required,1,2,SRC-HCDN-PROP-016,contract parser,4,17,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0116,kpi,required,2,1,SRC-HCDN-APP-017,interface parser,5,18,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0117,contract,required,3,1,SRC-HCDN-SQL-018,proposal parser,6,19,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0118,relationship,required,4,2,SRC-HCDN-STARS-019,cmdb parser,7,20,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0119,program,required,5,1,SRC-HCDN-CONT-020,SQL parser,8,21,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0120,risk_control,required,1,1,SRC-HCDN-INT-021,measure parser,9,2,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0121,application,optional,2,2,SRC-HCDN-DATA-022,contract parser,10,3,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0122,data_product,required,3,1,SRC-HCDN-SLA-023,interface parser,11,4,duplicate native ID,conflicting KPI definition,false,false,visible evidence exists but ownership/source conflict blocks publication
