score_id,proposal_id,lot_id,bidder,criterion,score,evidence_fact_id,moderation_state
SCORE-HCDN-LOT-HCDN-01-A-0001,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,clinical continuity,2,FACT-HCDN-LOT-HCDN-01-A-01,accepted
SCORE-HCDN-LOT-HCDN-01-A-0002,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,payer operations depth,3,FACT-HCDN-LOT-HCDN-01-A-02,moderation needed
SCORE-HCDN-LOT-HCDN-01-A-0003,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,Stars/quality evidence,4,FACT-HCDN-LOT-HCDN-01-A-03,evidence weak
SCORE-HCDN-LOT-HCDN-01-A-0004,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,data modernization credibility,5,FACT-HCDN-LOT-HCDN-01-A-04,conflict
SCORE-HCDN-LOT-HCDN-01-A-0005,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,Azure current-state support,2,FACT-HCDN-LOT-HCDN-01-A-05,accepted
SCORE-HCDN-LOT-HCDN-01-A-0006,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,AWS transformation roadmap,3,FACT-HCDN-LOT-HCDN-01-A-06,moderation needed
SCORE-HCDN-LOT-HCDN-01-A-0007,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,commercial transparency,4,FACT-HCDN-LOT-HCDN-01-A-01,evidence weak
SCORE-HCDN-LOT-HCDN-01-A-0008,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,transition risk,5,FACT-HCDN-LOT-HCDN-01-A-02,conflict
SCORE-HCDN-LOT-HCDN-01-A-0009,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,PHI/security controls,2,FACT-HCDN-LOT-HCDN-01-A-03,accepted
SCORE-HCDN-LOT-HCDN-01-A-0010,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,value commitment evidence,3,FACT-HCDN-LOT-HCDN-01-A-04,moderation needed
