proposal_id,lot_id,service_tower,bidder,solution_model,strength,risk_or_exception,pricing_ref,bafo_ref,evaluation_ref
PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,Bidder A,continuity-led Epic/on-prem transition,lower disruption,slower AI transformation,PRICE-HCDN-A-LOT-HCDN-01,BAFO-HCDN-A-LOT-HCDN-01,EVAL-HCDN-LOT-HCDN-01
PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,Bidder B,automation-led Azure current-state optimization plus AWS roadmap,highest modernization ambition,higher transition and data-foundation dependency,PRICE-HCDN-B-LOT-HCDN-01,BAFO-HCDN-B-LOT-HCDN-01,EVAL-HCDN-LOT-HCDN-01
PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,Bidder C,hybrid provider/payer operating model with selective AWS transformation,balanced risk/value,needs strong governance,PRICE-HCDN-C-LOT-HCDN-01,BAFO-HCDN-C-LOT-HCDN-01,EVAL-HCDN-LOT-HCDN-01
PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,Bidder A,continuity-led Epic/on-prem transition,lower disruption,slower AI transformation,PRICE-HCDN-A-LOT-HCDN-02,BAFO-HCDN-A-LOT-HCDN-02,EVAL-HCDN-LOT-HCDN-02
PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,Bidder B,automation-led Azure current-state optimization plus AWS roadmap,highest modernization ambition,higher transition and data-foundation dependency,PRICE-HCDN-B-LOT-HCDN-02,BAFO-HCDN-B-LOT-HCDN-02,EVAL-HCDN-LOT-HCDN-02
PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,Bidder C,hybrid provider/payer operating model with selective AWS transformation,balanced risk/value,needs strong governance,PRICE-HCDN-C-LOT-HCDN-02,BAFO-HCDN-C-LOT-HCDN-02,EVAL-HCDN-LOT-HCDN-02
PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,Bidder A,continuity-led Epic/on-prem transition,lower disruption,slower AI transformation,PRICE-HCDN-A-LOT-HCDN-03,BAFO-HCDN-A-LOT-HCDN-03,EVAL-HCDN-LOT-HCDN-03
PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,Bidder B,automation-led Azure current-state optimization plus AWS roadmap,highest modernization ambition,higher transition and data-foundation dependency,PRICE-HCDN-B-LOT-HCDN-03,BAFO-HCDN-B-LOT-HCDN-03,EVAL-HCDN-LOT-HCDN-03
PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,Bidder C,hybrid provider/payer operating model with selective AWS transformation,balanced risk/value,needs strong governance,PRICE-HCDN-C-LOT-HCDN-03,BAFO-HCDN-C-LOT-HCDN-03,EVAL-HCDN-LOT-HCDN-03
PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,Bidder A,continuity-led Epic/on-prem transition,lower disruption,slower AI transformation,PRICE-HCDN-A-LOT-HCDN-04,BAFO-HCDN-A-LOT-HCDN-04,EVAL-HCDN-LOT-HCDN-04
PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,Bidder B,automation-led Azure current-state optimization plus AWS roadmap,highest modernization ambition,higher transition and data-foundation dependency,PRICE-HCDN-B-LOT-HCDN-04,BAFO-HCDN-B-LOT-HCDN-04,EVAL-HCDN-LOT-HCDN-04
PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,Bidder C,hybrid provider/payer operating model with selective AWS transformation,balanced risk/value,needs strong governance,PRICE-HCDN-C-LOT-HCDN-04,BAFO-HCDN-C-LOT-HCDN-04,EVAL-HCDN-LOT-HCDN-04
PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,Bidder A,continuity-led Epic/on-prem transition,lower disruption,slower AI transformation,PRICE-HCDN-A-LOT-HCDN-05,BAFO-HCDN-A-LOT-HCDN-05,EVAL-HCDN-LOT-HCDN-05
PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,Bidder B,automation-led Azure current-state optimization plus AWS roadmap,highest modernization ambition,higher transition and data-foundation dependency,PRICE-HCDN-B-LOT-HCDN-05,BAFO-HCDN-B-LOT-HCDN-05,EVAL-HCDN-LOT-HCDN-05
PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,Bidder C,hybrid provider/payer operating model with selective AWS transformation,balanced risk/value,needs strong governance,PRICE-HCDN-C-LOT-HCDN-05,BAFO-HCDN-C-LOT-HCDN-05,EVAL-HCDN-LOT-HCDN-05
PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,Bidder A,continuity-led Epic/on-prem transition,lower disruption,slower AI transformation,PRICE-HCDN-A-LOT-HCDN-06,BAFO-HCDN-A-LOT-HCDN-06,EVAL-HCDN-LOT-HCDN-06
