sla_observation_id,lot_id,service_tower,metric,status,value_disclosure_mode,source_id
SLA-HCDN-LOT-HCDN-01-001,LOT-HCDN-01,Clinical and Epic AMS,incident response,missed,range,SRC-HCDN-SLA-001
SLA-HCDN-LOT-HCDN-01-002,LOT-HCDN-01,Clinical and Epic AMS,batch completion,at risk,indexed,SRC-HCDN-SLA-002
SLA-HCDN-LOT-HCDN-01-003,LOT-HCDN-01,Clinical and Epic AMS,claim turnaround,not measured,exact,SRC-HCDN-SLA-003
SLA-HCDN-LOT-HCDN-01-004,LOT-HCDN-01,Clinical and Epic AMS,prior-auth SLA,met,range,SRC-HCDN-SLA-004
SLA-HCDN-LOT-HCDN-01-005,LOT-HCDN-01,Clinical and Epic AMS,contact-center service level,missed,indexed,SRC-HCDN-SLA-005
SLA-HCDN-LOT-HCDN-01-006,LOT-HCDN-01,Clinical and Epic AMS,availability,at risk,exact,SRC-HCDN-SLA-006
SLA-HCDN-LOT-HCDN-01-007,LOT-HCDN-01,Clinical and Epic AMS,incident response,not measured,range,SRC-HCDN-SLA-007
SLA-HCDN-LOT-HCDN-01-008,LOT-HCDN-01,Clinical and Epic AMS,batch completion,met,indexed,SRC-HCDN-SLA-008
SLA-HCDN-LOT-HCDN-01-009,LOT-HCDN-01,Clinical and Epic AMS,claim turnaround,missed,exact,SRC-HCDN-SLA-009
SLA-HCDN-LOT-HCDN-01-010,LOT-HCDN-01,Clinical and Epic AMS,prior-auth SLA,at risk,range,SRC-HCDN-SLA-010
SLA-HCDN-LOT-HCDN-01-011,LOT-HCDN-01,Clinical and Epic AMS,contact-center service level,not measured,indexed,SRC-HCDN-SLA-011
SLA-HCDN-LOT-HCDN-01-012,LOT-HCDN-01,Clinical and Epic AMS,availability,met,exact,SRC-HCDN-SLA-012
SLA-HCDN-LOT-HCDN-01-013,LOT-HCDN-01,Clinical and Epic AMS,incident response,missed,range,SRC-HCDN-SLA-013
SLA-HCDN-LOT-HCDN-01-014,LOT-HCDN-01,Clinical and Epic AMS,batch completion,at risk,indexed,SRC-HCDN-SLA-014
SLA-HCDN-LOT-HCDN-01-015,LOT-HCDN-01,Clinical and Epic AMS,claim turnaround,not measured,exact,SRC-HCDN-SLA-015
SLA-HCDN-LOT-HCDN-01-016,LOT-HCDN-01,Clinical and Epic AMS,prior-auth SLA,met,range,SRC-HCDN-SLA-016
SLA-HCDN-LOT-HCDN-01-017,LOT-HCDN-01,Clinical and Epic AMS,contact-center service level,missed,indexed,SRC-HCDN-SLA-017
SLA-HCDN-LOT-HCDN-01-018,LOT-HCDN-01,Clinical and Epic AMS,availability,at risk,exact,SRC-HCDN-SLA-018
SLA-HCDN-LOT-HCDN-01-019,LOT-HCDN-01,Clinical and Epic AMS,incident response,not measured,range,SRC-HCDN-SLA-019
SLA-HCDN-LOT-HCDN-01-020,LOT-HCDN-01,Clinical and Epic AMS,batch completion,met,indexed,SRC-HCDN-SLA-020
SLA-HCDN-LOT-HCDN-01-021,LOT-HCDN-01,Clinical and Epic AMS,claim turnaround,missed,exact,SRC-HCDN-SLA-021
SLA-HCDN-LOT-HCDN-01-022,LOT-HCDN-01,Clinical and Epic AMS,prior-auth SLA,at risk,range,SRC-HCDN-SLA-022
SLA-HCDN-LOT-HCDN-01-023,LOT-HCDN-01,Clinical and Epic AMS,contact-center service level,not measured,indexed,SRC-HCDN-SLA-023
SLA-HCDN-LOT-HCDN-01-024,LOT-HCDN-01,Clinical and Epic AMS,availability,met,exact,SRC-HCDN-SLA-024
SLA-HCDN-LOT-HCDN-02-001,LOT-HCDN-02,Payer Platform Operations,incident response,missed,range,SRC-HCDN-SLA-001
SLA-HCDN-LOT-HCDN-02-002,LOT-HCDN-02,Payer Platform Operations,batch completion,at risk,indexed,SRC-HCDN-SLA-002
SLA-HCDN-LOT-HCDN-02-003,LOT-HCDN-02,Payer Platform Operations,claim turnaround,not measured,exact,SRC-HCDN-SLA-003
SLA-HCDN-LOT-HCDN-02-004,LOT-HCDN-02,Payer Platform Operations,prior-auth SLA,met,range,SRC-HCDN-SLA-004
SLA-HCDN-LOT-HCDN-02-005,LOT-HCDN-02,Payer Platform Operations,contact-center service level,missed,indexed,SRC-HCDN-SLA-005
SLA-HCDN-LOT-HCDN-02-006,LOT-HCDN-02,Payer Platform Operations,availability,at risk,exact,SRC-HCDN-SLA-006
SLA-HCDN-LOT-HCDN-02-007,LOT-HCDN-02,Payer Platform Operations,incident response,not measured,range,SRC-HCDN-SLA-007
SLA-HCDN-LOT-HCDN-02-008,LOT-HCDN-02,Payer Platform Operations,batch completion,met,indexed,SRC-HCDN-SLA-008
SLA-HCDN-LOT-HCDN-02-009,LOT-HCDN-02,Payer Platform Operations,claim turnaround,missed,exact,SRC-HCDN-SLA-009
SLA-HCDN-LOT-HCDN-02-010,LOT-HCDN-02,Payer Platform Operations,prior-auth SLA,at risk,range,SRC-HCDN-SLA-010
SLA-HCDN-LOT-HCDN-02-011,LOT-HCDN-02,Payer Platform Operations,contact-center service level,not measured,indexed,SRC-HCDN-SLA-011
SLA-HCDN-LOT-HCDN-02-012,LOT-HCDN-02,Payer Platform Operations,availability,met,exact,SRC-HCDN-SLA-012
SLA-HCDN-LOT-HCDN-02-013,LOT-HCDN-02,Payer Platform Operations,incident response,missed,range,SRC-HCDN-SLA-013
SLA-HCDN-LOT-HCDN-02-014,LOT-HCDN-02,Payer Platform Operations,batch completion,at risk,indexed,SRC-HCDN-SLA-014
SLA-HCDN-LOT-HCDN-02-015,LOT-HCDN-02,Payer Platform Operations,claim turnaround,not measured,exact,SRC-HCDN-SLA-015
SLA-HCDN-LOT-HCDN-02-016,LOT-HCDN-02,Payer Platform Operations,prior-auth SLA,met,range,SRC-HCDN-SLA-016
SLA-HCDN-LOT-HCDN-02-017,LOT-HCDN-02,Payer Platform Operations,contact-center service level,missed,indexed,SRC-HCDN-SLA-017
SLA-HCDN-LOT-HCDN-02-018,LOT-HCDN-02,Payer Platform Operations,availability,at risk,exact,SRC-HCDN-SLA-018
SLA-HCDN-LOT-HCDN-02-019,LOT-HCDN-02,Payer Platform Operations,incident response,not measured,range,SRC-HCDN-SLA-019
SLA-HCDN-LOT-HCDN-02-020,LOT-HCDN-02,Payer Platform Operations,batch completion,met,indexed,SRC-HCDN-SLA-020
SLA-HCDN-LOT-HCDN-02-021,LOT-HCDN-02,Payer Platform Operations,claim turnaround,missed,exact,SRC-HCDN-SLA-021
SLA-HCDN-LOT-HCDN-02-022,LOT-HCDN-02,Payer Platform Operations,prior-auth SLA,at risk,range,SRC-HCDN-SLA-022
SLA-HCDN-LOT-HCDN-02-023,LOT-HCDN-02,Payer Platform Operations,contact-center service level,not measured,indexed,SRC-HCDN-SLA-023
SLA-HCDN-LOT-HCDN-02-024,LOT-HCDN-02,Payer Platform Operations,availability,met,exact,SRC-HCDN-SLA-024
SLA-HCDN-LOT-HCDN-03-001,LOT-HCDN-03,Data Analytics and AI,incident response,missed,range,SRC-HCDN-SLA-001
