response_id,proposal_id,lot_id,service_tower,bidder,response_summary,risk_or_exception,source_id
RESP-HCDN-LOT-HCDN-01-A-001,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,A,continuity-led operating model,slower modernization,SRC-HCDN-PROP-A
RESP-HCDN-LOT-HCDN-01-B-001,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,B,automation and transformation-led operating model,higher transition dependency,SRC-HCDN-PROP-B
RESP-HCDN-LOT-HCDN-01-C-001,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,C,hybrid risk-balanced operating model,governance intensity,SRC-HCDN-PROP-C
RESP-HCDN-LOT-HCDN-02-A-001,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,A,continuity-led operating model,slower modernization,SRC-HCDN-PROP-A
RESP-HCDN-LOT-HCDN-02-B-001,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,B,automation and transformation-led operating model,higher transition dependency,SRC-HCDN-PROP-B
RESP-HCDN-LOT-HCDN-02-C-001,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,C,hybrid risk-balanced operating model,governance intensity,SRC-HCDN-PROP-C
RESP-HCDN-LOT-HCDN-03-A-001,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,A,continuity-led operating model,slower modernization,SRC-HCDN-PROP-A
RESP-HCDN-LOT-HCDN-03-B-001,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,B,automation and transformation-led operating model,higher transition dependency,SRC-HCDN-PROP-B
RESP-HCDN-LOT-HCDN-03-C-001,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,C,hybrid risk-balanced operating model,governance intensity,SRC-HCDN-PROP-C
RESP-HCDN-LOT-HCDN-04-A-001,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,A,continuity-led operating model,slower modernization,SRC-HCDN-PROP-A
RESP-HCDN-LOT-HCDN-04-B-001,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,B,automation and transformation-led operating model,higher transition dependency,SRC-HCDN-PROP-B
RESP-HCDN-LOT-HCDN-04-C-001,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,C,hybrid risk-balanced operating model,governance intensity,SRC-HCDN-PROP-C
