exception_id,proposal_id,lot_id,bidder,exception,review_path,source_id
EXC-HCDN-LOT-HCDN-01-A-01,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,limited SLA credit,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-01-A-02,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,extra transition fee,security review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-01-A-03,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,PHI access dependency,executive decision,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-01-A-04,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,cloud tooling carve-out,legal review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-01-A-05,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,excluded legacy remediation,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-01-B-01,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,limited SLA credit,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-01-B-02,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,extra transition fee,security review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-01-B-03,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,PHI access dependency,executive decision,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-01-B-04,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,cloud tooling carve-out,legal review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-01-B-05,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,excluded legacy remediation,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-01-C-01,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,limited SLA credit,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-01-C-02,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,extra transition fee,security review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-01-C-03,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,PHI access dependency,executive decision,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-01-C-04,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,cloud tooling carve-out,legal review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-01-C-05,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,excluded legacy remediation,commercial review,SRC-HCDN-PROP-C
