staffing_id,proposal_id,lot_id,bidder,role_family,delivery_location,phase,headcount_disclosure_mode,transition_note
STAFF-HCDN-LOT-HCDN-01-A-01,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,SQL/BI engineer,nearshore,steady-state,range,standard
STAFF-HCDN-LOT-HCDN-01-A-02,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,claims ops analyst,offshore,hypercare,indexed,standard
STAFF-HCDN-LOT-HCDN-01-A-03,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,UM nurse reviewer,hybrid,transformation,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-01-A-04,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,data engineer,onsite,transition,range,standard
STAFF-HCDN-LOT-HCDN-01-A-05,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,cloud engineer,nearshore,steady-state,indexed,standard
STAFF-HCDN-LOT-HCDN-01-A-06,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,service desk analyst,offshore,hypercare,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-01-A-07,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,security engineer,hybrid,transformation,range,standard
STAFF-HCDN-LOT-HCDN-01-A-08,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,integration engineer,onsite,transition,indexed,standard
STAFF-HCDN-LOT-HCDN-01-B-01,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,SQL/BI engineer,nearshore,steady-state,range,standard
STAFF-HCDN-LOT-HCDN-01-B-02,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,claims ops analyst,offshore,hypercare,indexed,standard
STAFF-HCDN-LOT-HCDN-01-B-03,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,UM nurse reviewer,hybrid,transformation,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-01-B-04,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,data engineer,onsite,transition,range,standard
STAFF-HCDN-LOT-HCDN-01-B-05,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,cloud engineer,nearshore,steady-state,indexed,standard
STAFF-HCDN-LOT-HCDN-01-B-06,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,service desk analyst,offshore,hypercare,exact,critical knowledge-transfer dependency
STAFF-HCDN-LOT-HCDN-01-B-07,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,security engineer,hybrid,transformation,range,standard
STAFF-HCDN-LOT-HCDN-01-B-08,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,integration engineer,onsite,transition,indexed,standard
