decision_id,lot_id,service_tower,proposal_id,bidder,decision_state,evaluation_ref,bafo_ref
DEC-HCDN-LOT-HCDN-01-A,LOT-HCDN-01,Clinical and Epic AMS,PROP-HCDN-A-LOT-HCDN-01,A,shortlist,EVAL-HCDN-LOT-HCDN-01,BAFO-HCDN-A-LOT-HCDN-01
DEC-HCDN-LOT-HCDN-01-B,LOT-HCDN-01,Clinical and Epic AMS,PROP-HCDN-B-LOT-HCDN-01,B,hold for BAFO,EVAL-HCDN-LOT-HCDN-01,BAFO-HCDN-B-LOT-HCDN-01
DEC-HCDN-LOT-HCDN-01-C,LOT-HCDN-01,Clinical and Epic AMS,PROP-HCDN-C-LOT-HCDN-01,C,exclude,EVAL-HCDN-LOT-HCDN-01,BAFO-HCDN-C-LOT-HCDN-01
DEC-HCDN-LOT-HCDN-02-A,LOT-HCDN-02,Payer Platform Operations,PROP-HCDN-A-LOT-HCDN-02,A,shortlist,EVAL-HCDN-LOT-HCDN-02,BAFO-HCDN-A-LOT-HCDN-02
DEC-HCDN-LOT-HCDN-02-B,LOT-HCDN-02,Payer Platform Operations,PROP-HCDN-B-LOT-HCDN-02,B,hold for BAFO,EVAL-HCDN-LOT-HCDN-02,BAFO-HCDN-B-LOT-HCDN-02
DEC-HCDN-LOT-HCDN-02-C,LOT-HCDN-02,Payer Platform Operations,PROP-HCDN-C-LOT-HCDN-02,C,exclude,EVAL-HCDN-LOT-HCDN-02,BAFO-HCDN-C-LOT-HCDN-02
DEC-HCDN-LOT-HCDN-03-A,LOT-HCDN-03,Data Analytics and AI,PROP-HCDN-A-LOT-HCDN-03,A,shortlist,EVAL-HCDN-LOT-HCDN-03,BAFO-HCDN-A-LOT-HCDN-03
DEC-HCDN-LOT-HCDN-03-B,LOT-HCDN-03,Data Analytics and AI,PROP-HCDN-B-LOT-HCDN-03,B,hold for BAFO,EVAL-HCDN-LOT-HCDN-03,BAFO-HCDN-B-LOT-HCDN-03
DEC-HCDN-LOT-HCDN-03-C,LOT-HCDN-03,Data Analytics and AI,PROP-HCDN-C-LOT-HCDN-03,C,exclude,EVAL-HCDN-LOT-HCDN-03,BAFO-HCDN-C-LOT-HCDN-03
DEC-HCDN-LOT-HCDN-04-A,LOT-HCDN-04,Revenue Cycle Technology,PROP-HCDN-A-LOT-HCDN-04,A,shortlist,EVAL-HCDN-LOT-HCDN-04,BAFO-HCDN-A-LOT-HCDN-04
DEC-HCDN-LOT-HCDN-04-B,LOT-HCDN-04,Revenue Cycle Technology,PROP-HCDN-B-LOT-HCDN-04,B,hold for BAFO,EVAL-HCDN-LOT-HCDN-04,BAFO-HCDN-B-LOT-HCDN-04
DEC-HCDN-LOT-HCDN-04-C,LOT-HCDN-04,Revenue Cycle Technology,PROP-HCDN-C-LOT-HCDN-04,C,exclude,EVAL-HCDN-LOT-HCDN-04,BAFO-HCDN-C-LOT-HCDN-04
DEC-HCDN-LOT-HCDN-05-A,LOT-HCDN-05,Cloud Infrastructure and Data Center,PROP-HCDN-A-LOT-HCDN-05,A,shortlist,EVAL-HCDN-LOT-HCDN-05,BAFO-HCDN-A-LOT-HCDN-05
DEC-HCDN-LOT-HCDN-05-B,LOT-HCDN-05,Cloud Infrastructure and Data Center,PROP-HCDN-B-LOT-HCDN-05,B,hold for BAFO,EVAL-HCDN-LOT-HCDN-05,BAFO-HCDN-B-LOT-HCDN-05
DEC-HCDN-LOT-HCDN-05-C,LOT-HCDN-05,Cloud Infrastructure and Data Center,PROP-HCDN-C-LOT-HCDN-05,C,exclude,EVAL-HCDN-LOT-HCDN-05,BAFO-HCDN-C-LOT-HCDN-05
DEC-HCDN-LOT-HCDN-06-A,LOT-HCDN-06,Workplace and Contact Center,PROP-HCDN-A-LOT-HCDN-06,A,shortlist,EVAL-HCDN-LOT-HCDN-06,BAFO-HCDN-A-LOT-HCDN-06
DEC-HCDN-LOT-HCDN-06-B,LOT-HCDN-06,Workplace and Contact Center,PROP-HCDN-B-LOT-HCDN-06,B,hold for BAFO,EVAL-HCDN-LOT-HCDN-06,BAFO-HCDN-B-LOT-HCDN-06
DEC-HCDN-LOT-HCDN-06-C,LOT-HCDN-06,Workplace and Contact Center,PROP-HCDN-C-LOT-HCDN-06,C,exclude,EVAL-HCDN-LOT-HCDN-06,BAFO-HCDN-C-LOT-HCDN-06
DEC-HCDN-LOT-HCDN-07-A,LOT-HCDN-07,Security Identity and Compliance,PROP-HCDN-A-LOT-HCDN-07,A,shortlist,EVAL-HCDN-LOT-HCDN-07,BAFO-HCDN-A-LOT-HCDN-07
DEC-HCDN-LOT-HCDN-07-B,LOT-HCDN-07,Security Identity and Compliance,PROP-HCDN-B-LOT-HCDN-07,B,hold for BAFO,EVAL-HCDN-LOT-HCDN-07,BAFO-HCDN-B-LOT-HCDN-07
DEC-HCDN-LOT-HCDN-07-C,LOT-HCDN-07,Security Identity and Compliance,PROP-HCDN-C-LOT-HCDN-07,C,exclude,EVAL-HCDN-LOT-HCDN-07,BAFO-HCDN-C-LOT-HCDN-07
DEC-HCDN-LOT-HCDN-08-A,LOT-HCDN-08,Integration and Interoperability,PROP-HCDN-A-LOT-HCDN-08,A,shortlist,EVAL-HCDN-LOT-HCDN-08,BAFO-HCDN-A-LOT-HCDN-08
DEC-HCDN-LOT-HCDN-08-B,LOT-HCDN-08,Integration and Interoperability,PROP-HCDN-B-LOT-HCDN-08,B,hold for BAFO,EVAL-HCDN-LOT-HCDN-08,BAFO-HCDN-B-LOT-HCDN-08
DEC-HCDN-LOT-HCDN-08-C,LOT-HCDN-08,Integration and Interoperability,PROP-HCDN-C-LOT-HCDN-08,C,exclude,EVAL-HCDN-LOT-HCDN-08,BAFO-HCDN-C-LOT-HCDN-08
DEC-HCDN-LOT-HCDN-09-A,LOT-HCDN-09,ERP and Corporate Platforms,PROP-HCDN-A-LOT-HCDN-09,A,shortlist,EVAL-HCDN-LOT-HCDN-09,BAFO-HCDN-A-LOT-HCDN-09
DEC-HCDN-LOT-HCDN-09-B,LOT-HCDN-09,ERP and Corporate Platforms,PROP-HCDN-B-LOT-HCDN-09,B,hold for BAFO,EVAL-HCDN-LOT-HCDN-09,BAFO-HCDN-B-LOT-HCDN-09
DEC-HCDN-LOT-HCDN-09-C,LOT-HCDN-09,ERP and Corporate Platforms,PROP-HCDN-C-LOT-HCDN-09,C,exclude,EVAL-HCDN-LOT-HCDN-09,BAFO-HCDN-C-LOT-HCDN-09
