volume_id,service_tower,business_function,metric,value_disclosure_mode,period,evidence_state,source_id
VOL-HCDN-0001,Payer Platform Operations,Revenue Cycle,enhancement backlog,range,quarterly,source-backed candidate,SRC-HCDN-VOL-002
VOL-HCDN-0002,Data Analytics and AI,Patient Access,claims transactions,indexed,annual,source-backed candidate,SRC-HCDN-VOL-003
VOL-HCDN-0003,Revenue Cycle Technology,Interoperability,prior-auth requests,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-004
VOL-HCDN-0004,Cloud Infrastructure and Data Center,Population Health,member calls,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-005
VOL-HCDN-0005,Workplace and Contact Center,Health Plan Operations,Epic change requests,range,annual,source-backed candidate,SRC-HCDN-VOL-006
VOL-HCDN-0006,Security Identity and Compliance,Medicare Advantage,SQL batch jobs,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-007
VOL-HCDN-0007,Integration and Interoperability,Claims Operations,BI report executions,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-008
VOL-HCDN-0008,ERP and Corporate Platforms,Utilization Management,care-gap outreaches,exact,annual,needs finance signoff,SRC-HCDN-VOL-009
VOL-HCDN-0009,Clinical and Epic AMS,Member Services,incident tickets,range,monthly,source-backed candidate,SRC-HCDN-VOL-010
VOL-HCDN-0010,Payer Platform Operations,Quality and Stars,enhancement backlog,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-011
VOL-HCDN-0011,Data Analytics and AI,Risk Adjustment,claims transactions,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-012
VOL-HCDN-0012,Revenue Cycle Technology,Care Management,prior-auth requests,exact,monthly,source-backed candidate,SRC-HCDN-VOL-013
VOL-HCDN-0013,Cloud Infrastructure and Data Center,Finance,member calls,range,quarterly,source-backed candidate,SRC-HCDN-VOL-014
VOL-HCDN-0014,Workplace and Contact Center,Coding,Epic change requests,indexed,annual,source-backed candidate,SRC-HCDN-VOL-015
VOL-HCDN-0015,Security Identity and Compliance,Payer Contracting,SQL batch jobs,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-016
VOL-HCDN-0016,Integration and Interoperability,Digital Front Door,BI report executions,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-017
VOL-HCDN-0017,ERP and Corporate Platforms,Contact Center,care-gap outreaches,range,annual,source-backed candidate,SRC-HCDN-VOL-018
VOL-HCDN-0018,Clinical and Epic AMS,Ambulatory Care,incident tickets,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-019
VOL-HCDN-0019,Payer Platform Operations,Emergency Department,enhancement backlog,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-020
VOL-HCDN-0020,Data Analytics and AI,Inpatient,claims transactions,exact,annual,source-backed candidate,SRC-HCDN-VOL-021
VOL-HCDN-0021,Revenue Cycle Technology,Surgery,prior-auth requests,range,monthly,source-backed candidate,SRC-HCDN-VOL-022
VOL-HCDN-0022,Cloud Infrastructure and Data Center,Imaging,member calls,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-023
VOL-HCDN-0023,Workplace and Contact Center,Lab,Epic change requests,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-024
VOL-HCDN-0024,Security Identity and Compliance,Pharmacy,SQL batch jobs,exact,monthly,needs finance signoff,SRC-HCDN-VOL-025
VOL-HCDN-0025,Integration and Interoperability,Oncology,BI report executions,range,quarterly,source-backed candidate,SRC-HCDN-VOL-026
VOL-HCDN-0026,ERP and Corporate Platforms,Cardiology,care-gap outreaches,indexed,annual,source-backed candidate,SRC-HCDN-VOL-027
VOL-HCDN-0027,Clinical and Epic AMS,Data and Analytics,incident tickets,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-028
VOL-HCDN-0028,Payer Platform Operations,Clinical Analytics,enhancement backlog,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-029
VOL-HCDN-0029,Data Analytics and AI,Actuarial,claims transactions,range,annual,source-backed candidate,SRC-HCDN-VOL-030
VOL-HCDN-0030,Revenue Cycle Technology,Departmental Reporting,prior-auth requests,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-031
VOL-HCDN-0031,Cloud Infrastructure and Data Center,AI Transformation,member calls,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-032
VOL-HCDN-0032,Workplace and Contact Center,Technology,Epic change requests,exact,annual,needs finance signoff,SRC-HCDN-VOL-033
