pricing_line_id,proposal_id,lot_id,service_tower,bidder,role_family,delivery_location,level,unit,value_disclosure_mode,evidence_state
PRICE-HCDN-LOT-HCDN-01-A-01,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,A,service desk analyst,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-A-02,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,A,security engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-A-03,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,A,integration engineer,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-A-04,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,A,revenue-cycle analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-01-A-05,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,A,Epic analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-A-06,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,A,SQL/BI engineer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-A-07,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,A,claims ops analyst,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-A-08,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,A,UM nurse reviewer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-01-A-09,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,A,data engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-A-10,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,A,cloud engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-A-11,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,A,service desk analyst,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-A-12,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,A,security engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-01-B-01,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,B,security engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-B-02,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,B,integration engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-B-03,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,B,revenue-cycle analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-B-04,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,B,Epic analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-01-B-05,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,B,SQL/BI engineer,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-B-06,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,B,claims ops analyst,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-B-07,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,B,UM nurse reviewer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-B-08,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,B,data engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-01-B-09,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,B,cloud engineer,nearshore,architect,monthly,exact,source-backed candidate
