bafo_response_id,bafo_id,lot_id,service_tower,bafo_question_id,response_status,response_effect,source_id
BAFOR-HCDN-LOT-HCDN-01-A-01,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-A-01,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-01-A-02,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-A-02,rejected,commitment clarified,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-01-A-03,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-A-03,alternative offered,requires contract language,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-01-A-04,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-A-04,accepted,pricing improved,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-01-A-05,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-A-05,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-01-B-01,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-B-01,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-01-B-02,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-B-02,rejected,commitment clarified,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-01-B-03,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-B-03,alternative offered,requires contract language,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-01-B-04,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-B-04,accepted,pricing improved,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-01-B-05,BAFO-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-B-05,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-01-C-01,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-C-01,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-01-C-02,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-C-02,rejected,commitment clarified,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-01-C-03,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-C-03,alternative offered,requires contract language,SRC-HCDN-BAFO-C
