infra_id,site_or_zone,component_type,hosting_model,technology_stack,business_function,service_tower,sensitivity,capacity_status,resilience_status
INFRA-HCDN-00001,secondary resilience data center,database platform,owned data center,SQL Server/SSIS/SSAS/SSRS,Revenue Cycle,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00002,private cloud east,network zone,private cloud,legacy EDW,Patient Access,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00003,private cloud central,storage tier,private cloud,Oracle database,Interoperability,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00004,Azure data foundation landing zone,container platform,Azure,flat-file/SFTP,Population Health,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00005,Azure AI/use-case landing zone,integration runtime,Azure,Access/Excel shadow reporting,Health Plan Operations,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00006,AWS transformation sandbox,edge appliance,AWS,Tableau Server,Medicare Advantage,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00007,AWS future-agentic landing zone,security sensor,AWS,Power BI Report Server,Claims Operations,Integration and Interoperability,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00008,Epic hosting zone,observability collector,hybrid,Databricks lakehouse,Utilization Management,ERP and Corporate Platforms,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00009,clinic edge footprint,desktop/endpoint group,hybrid,Azure data services,Member Services,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00010,contact center footprint,cloud resource group,hybrid,AWS data and AI candidate,Quality and Stars,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00011,Oracle/UNIX estate,backup/DR tier,hybrid,Java/.NET custom,Risk Adjustment,Data Analytics and AI,PHI/restricted,normal capacity,resilience mapped
INFRA-HCDN-00012,SQL Server estate zone,compute cluster,hybrid,API/interoperability gateway,Care Management,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00013,primary clinical data center,database platform,owned data center,HL7/FHIR engine,Finance,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00014,secondary resilience data center,network zone,owned data center,claims-administration platform,Coding,Workplace and Contact Center,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00015,private cloud east,storage tier,private cloud,care-management platform,Payer Contracting,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00016,private cloud central,container platform,private cloud,security/IAM stack,Digital Front Door,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00017,Azure data foundation landing zone,integration runtime,Azure,Epic ecosystem,Contact Center,ERP and Corporate Platforms,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00018,Azure AI/use-case landing zone,edge appliance,Azure,SQL Server/SSIS/SSAS/SSRS,Ambulatory Care,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00019,AWS transformation sandbox,security sensor,AWS,legacy EDW,Emergency Department,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00020,AWS future-agentic landing zone,observability collector,AWS,Oracle database,Inpatient,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00021,Epic hosting zone,desktop/endpoint group,hybrid,flat-file/SFTP,Surgery,Revenue Cycle Technology,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00022,clinic edge footprint,cloud resource group,hybrid,Access/Excel shadow reporting,Imaging,Cloud Infrastructure and Data Center,PHI/restricted,normal capacity,resilience mapped
INFRA-HCDN-00023,contact center footprint,backup/DR tier,hybrid,Tableau Server,Lab,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
