risk_id,risk_name,business_function,severity,response,linked_control_id
RISK-HCDN-0001,RAF evidence gap,Revenue Cycle,high,monitor,CTRL-HCDN-0002
RISK-HCDN-0002,PHI/privacy exposure,Patient Access,medium,accept pending evidence,CTRL-HCDN-0003
RISK-HCDN-0003,claims leakage,Interoperability,low,requires executive decision,CTRL-HCDN-0004
RISK-HCDN-0004,prior-auth SLA breach,Population Health,critical,mitigate,CTRL-HCDN-0005
RISK-HCDN-0005,provider-directory inaccuracy,Health Plan Operations,high,monitor,CTRL-HCDN-0006
RISK-HCDN-0006,SQL Server end-of-life,Medicare Advantage,medium,accept pending evidence,CTRL-HCDN-0007
RISK-HCDN-0007,measure definition conflict,Claims Operations,low,requires executive decision,CTRL-HCDN-0008
RISK-HCDN-0008,cloud cost overrun,Utilization Management,critical,mitigate,CTRL-HCDN-0009
RISK-HCDN-0009,vendor concentration,Member Services,high,monitor,CTRL-HCDN-0010
RISK-HCDN-0010,Epic upgrade disruption,Quality and Stars,medium,accept pending evidence,CTRL-HCDN-0011
RISK-HCDN-0011,AWS/Azure operating-model conflict,Risk Adjustment,low,requires executive decision,CTRL-HCDN-0012
RISK-HCDN-0012,Star Rating degradation,Care Management,critical,mitigate,CTRL-HCDN-0013
RISK-HCDN-0013,RAF evidence gap,Finance,high,monitor,CTRL-HCDN-0014
RISK-HCDN-0014,PHI/privacy exposure,Coding,medium,accept pending evidence,CTRL-HCDN-0015
RISK-HCDN-0015,claims leakage,Payer Contracting,low,requires executive decision,CTRL-HCDN-0016
RISK-HCDN-0016,prior-auth SLA breach,Digital Front Door,critical,mitigate,CTRL-HCDN-0017
RISK-HCDN-0017,provider-directory inaccuracy,Contact Center,high,monitor,CTRL-HCDN-0018
RISK-HCDN-0018,SQL Server end-of-life,Ambulatory Care,medium,accept pending evidence,CTRL-HCDN-0019
RISK-HCDN-0019,measure definition conflict,Emergency Department,low,requires executive decision,CTRL-HCDN-0020
RISK-HCDN-0020,cloud cost overrun,Inpatient,critical,mitigate,CTRL-HCDN-0021
RISK-HCDN-0021,vendor concentration,Surgery,high,monitor,CTRL-HCDN-0022
RISK-HCDN-0022,Epic upgrade disruption,Imaging,medium,accept pending evidence,CTRL-HCDN-0023
RISK-HCDN-0023,AWS/Azure operating-model conflict,Lab,low,requires executive decision,CTRL-HCDN-0024
RISK-HCDN-0024,Star Rating degradation,Pharmacy,critical,mitigate,CTRL-HCDN-0025
RISK-HCDN-0025,RAF evidence gap,Oncology,high,monitor,CTRL-HCDN-0026
RISK-HCDN-0026,PHI/privacy exposure,Cardiology,medium,accept pending evidence,CTRL-HCDN-0027
RISK-HCDN-0027,claims leakage,Data and Analytics,low,requires executive decision,CTRL-HCDN-0028
RISK-HCDN-0028,prior-auth SLA breach,Clinical Analytics,critical,mitigate,CTRL-HCDN-0029
RISK-HCDN-0029,provider-directory inaccuracy,Actuarial,high,monitor,CTRL-HCDN-0030
RISK-HCDN-0030,SQL Server end-of-life,Departmental Reporting,medium,accept pending evidence,CTRL-HCDN-0031
RISK-HCDN-0031,measure definition conflict,AI Transformation,low,requires executive decision,CTRL-HCDN-0032
RISK-HCDN-0032,cloud cost overrun,Technology,critical,mitigate,CTRL-HCDN-0033
RISK-HCDN-0033,vendor concentration,Security,high,monitor,CTRL-HCDN-0034
RISK-HCDN-0034,Epic upgrade disruption,Procurement,medium,accept pending evidence,CTRL-HCDN-0035
RISK-HCDN-0035,AWS/Azure operating-model conflict,HR,low,requires executive decision,CTRL-HCDN-0036
RISK-HCDN-0036,Star Rating degradation,Supply Chain,critical,mitigate,CTRL-HCDN-0037
RISK-HCDN-0037,RAF evidence gap,Privacy,high,monitor,CTRL-HCDN-0038
RISK-HCDN-0038,PHI/privacy exposure,Compliance,medium,accept pending evidence,CTRL-HCDN-0039
RISK-HCDN-0039,claims leakage,Provider Network,low,requires executive decision,CTRL-HCDN-0040
RISK-HCDN-0040,prior-auth SLA breach,Value-Based Care,critical,mitigate,CTRL-HCDN-0041
RISK-HCDN-0041,provider-directory inaccuracy,Clinical Operations,high,monitor,CTRL-HCDN-0042
RISK-HCDN-0042,SQL Server end-of-life,Revenue Cycle,medium,accept pending evidence,CTRL-HCDN-0043
RISK-HCDN-0043,measure definition conflict,Patient Access,low,requires executive decision,CTRL-HCDN-0044
RISK-HCDN-0044,cloud cost overrun,Interoperability,critical,mitigate,CTRL-HCDN-0045
RISK-HCDN-0045,vendor concentration,Population Health,high,monitor,CTRL-HCDN-0046
RISK-HCDN-0046,Epic upgrade disruption,Health Plan Operations,medium,accept pending evidence,CTRL-HCDN-0047
RISK-HCDN-0047,AWS/Azure operating-model conflict,Medicare Advantage,low,requires executive decision,CTRL-HCDN-0048
RISK-HCDN-0048,Star Rating degradation,Claims Operations,critical,mitigate,CTRL-HCDN-0049
RISK-HCDN-0049,RAF evidence gap,Utilization Management,high,monitor,CTRL-HCDN-0050
RISK-HCDN-0050,PHI/privacy exposure,Member Services,medium,accept pending evidence,CTRL-HCDN-0051
RISK-HCDN-0051,claims leakage,Quality and Stars,low,requires executive decision,CTRL-HCDN-0052
RISK-HCDN-0052,prior-auth SLA breach,Risk Adjustment,critical,mitigate,CTRL-HCDN-0053
RISK-HCDN-0053,provider-directory inaccuracy,Care Management,high,monitor,CTRL-HCDN-0054
RISK-HCDN-0054,SQL Server end-of-life,Finance,medium,accept pending evidence,CTRL-HCDN-0055
RISK-HCDN-0055,measure definition conflict,Coding,low,requires executive decision,CTRL-HCDN-0056
RISK-HCDN-0056,cloud cost overrun,Payer Contracting,critical,mitigate,CTRL-HCDN-0057
RISK-HCDN-0057,vendor concentration,Digital Front Door,high,monitor,CTRL-HCDN-0058
RISK-HCDN-0058,Epic upgrade disruption,Contact Center,medium,accept pending evidence,CTRL-HCDN-0059
RISK-HCDN-0059,AWS/Azure operating-model conflict,Ambulatory Care,low,requires executive decision,CTRL-HCDN-0060
RISK-HCDN-0060,Star Rating degradation,Emergency Department,critical,mitigate,CTRL-HCDN-0061
RISK-HCDN-0061,RAF evidence gap,Inpatient,high,monitor,CTRL-HCDN-0062
RISK-HCDN-0062,PHI/privacy exposure,Surgery,medium,accept pending evidence,CTRL-HCDN-0063
RISK-HCDN-0063,claims leakage,Imaging,low,requires executive decision,CTRL-HCDN-0064
RISK-HCDN-0064,prior-auth SLA breach,Lab,critical,mitigate,CTRL-HCDN-0065
RISK-HCDN-0065,provider-directory inaccuracy,Pharmacy,high,monitor,CTRL-HCDN-0066
RISK-HCDN-0066,SQL Server end-of-life,Oncology,medium,accept pending evidence,CTRL-HCDN-0067
RISK-HCDN-0067,measure definition conflict,Cardiology,low,requires executive decision,CTRL-HCDN-0068
RISK-HCDN-0068,cloud cost overrun,Data and Analytics,critical,mitigate,CTRL-HCDN-0069
RISK-HCDN-0069,vendor concentration,Clinical Analytics,high,monitor,CTRL-HCDN-0070
RISK-HCDN-0070,Epic upgrade disruption,Actuarial,medium,accept pending evidence,CTRL-HCDN-0071
RISK-HCDN-0071,AWS/Azure operating-model conflict,Departmental Reporting,low,requires executive decision,CTRL-HCDN-0072
RISK-HCDN-0072,Star Rating degradation,AI Transformation,critical,mitigate,CTRL-HCDN-0073
RISK-HCDN-0073,RAF evidence gap,Technology,high,monitor,CTRL-HCDN-0074
RISK-HCDN-0074,PHI/privacy exposure,Security,medium,accept pending evidence,CTRL-HCDN-0075
RISK-HCDN-0075,claims leakage,Procurement,low,requires executive decision,CTRL-HCDN-0076
RISK-HCDN-0076,prior-auth SLA breach,HR,critical,mitigate,CTRL-HCDN-0077
RISK-HCDN-0077,provider-directory inaccuracy,Supply Chain,high,monitor,CTRL-HCDN-0078
RISK-HCDN-0078,SQL Server end-of-life,Privacy,medium,accept pending evidence,CTRL-HCDN-0079
RISK-HCDN-0079,measure definition conflict,Compliance,low,requires executive decision,CTRL-HCDN-0080
RISK-HCDN-0080,cloud cost overrun,Provider Network,critical,mitigate,CTRL-HCDN-0081
RISK-HCDN-0081,vendor concentration,Value-Based Care,high,monitor,CTRL-HCDN-0082
RISK-HCDN-0082,Epic upgrade disruption,Clinical Operations,medium,accept pending evidence,CTRL-HCDN-0083
RISK-HCDN-0083,AWS/Azure operating-model conflict,Revenue Cycle,low,requires executive decision,CTRL-HCDN-0084
RISK-HCDN-0084,Star Rating degradation,Patient Access,critical,mitigate,CTRL-HCDN-0085
RISK-HCDN-0085,RAF evidence gap,Interoperability,high,monitor,CTRL-HCDN-0086
RISK-HCDN-0086,PHI/privacy exposure,Population Health,medium,accept pending evidence,CTRL-HCDN-0087
RISK-HCDN-0087,claims leakage,Health Plan Operations,low,requires executive decision,CTRL-HCDN-0088
RISK-HCDN-0088,prior-auth SLA breach,Medicare Advantage,critical,mitigate,CTRL-HCDN-0089
RISK-HCDN-0089,provider-directory inaccuracy,Claims Operations,high,monitor,CTRL-HCDN-0090
RISK-HCDN-0090,SQL Server end-of-life,Utilization Management,medium,accept pending evidence,CTRL-HCDN-0091
RISK-HCDN-0091,measure definition conflict,Member Services,low,requires executive decision,CTRL-HCDN-0092
RISK-HCDN-0092,cloud cost overrun,Quality and Stars,critical,mitigate,CTRL-HCDN-0093
RISK-HCDN-0093,vendor concentration,Risk Adjustment,high,monitor,CTRL-HCDN-0094
RISK-HCDN-0094,Epic upgrade disruption,Care Management,medium,accept pending evidence,CTRL-HCDN-0095
RISK-HCDN-0095,AWS/Azure operating-model conflict,Finance,low,requires executive decision,CTRL-HCDN-0096
RISK-HCDN-0096,Star Rating degradation,Coding,critical,mitigate,CTRL-HCDN-0097
