epic_asset_id,epic_module,domain,business_function,environment,scope,analytics_or_interface_dependency,roadmap_disposition,vendor_id,contract_id
EPIC-HCDN-0001,Epic Hyperspace,clinical_transaction,Clinical Operations,production,health-plan scope,Caboodle,interface remediation,VEND-HCDN-001,CONT-HCDN-0003
EPIC-HCDN-0002,Epic Hyperspace,clinical_transaction,Clinical Operations,training,shared analytics scope,Bridges,analytics modernization,VEND-HCDN-001,CONT-HCDN-0004
EPIC-HCDN-0003,Epic Hyperspace,clinical_transaction,Clinical Operations,test,primary hospital instance,SQL mart extract,current,VEND-HCDN-001,CONT-HCDN-0005
EPIC-HCDN-0004,Epic Hyperspace,clinical_transaction,Clinical Operations,upgrade,ambulatory instance,FHIR/API,upgrade planned,VEND-HCDN-001,CONT-HCDN-0006
EPIC-HCDN-0005,Epic Hyperspace,clinical_transaction,Clinical Operations,DR,health-plan scope,Chronicles,interface remediation,VEND-HCDN-001,CONT-HCDN-0007
EPIC-HCDN-0006,Epic Chronicles,clinical_transaction,Clinical Operations,production,shared analytics scope,Clarity,analytics modernization,VEND-HCDN-001,CONT-HCDN-0008
EPIC-HCDN-0007,Epic Chronicles,clinical_transaction,Clinical Operations,training,primary hospital instance,Caboodle,current,VEND-HCDN-001,CONT-HCDN-0009
EPIC-HCDN-0008,Epic Chronicles,clinical_transaction,Clinical Operations,test,ambulatory instance,Bridges,upgrade planned,VEND-HCDN-001,CONT-HCDN-0010
EPIC-HCDN-0009,Epic Chronicles,clinical_transaction,Clinical Operations,upgrade,health-plan scope,SQL mart extract,interface remediation,VEND-HCDN-001,CONT-HCDN-0011
EPIC-HCDN-0010,Epic Chronicles,clinical_transaction,Clinical Operations,DR,shared analytics scope,FHIR/API,analytics modernization,VEND-HCDN-001,CONT-HCDN-0012
EPIC-HCDN-0011,Epic Clarity,operational_reporting,Data and Analytics,production,primary hospital instance,Chronicles,current,VEND-HCDN-001,CONT-HCDN-0013
EPIC-HCDN-0012,Epic Clarity,operational_reporting,Data and Analytics,training,ambulatory instance,Clarity,upgrade planned,VEND-HCDN-001,CONT-HCDN-0014
EPIC-HCDN-0013,Epic Clarity,operational_reporting,Data and Analytics,test,health-plan scope,Caboodle,interface remediation,VEND-HCDN-001,CONT-HCDN-0015
EPIC-HCDN-0014,Epic Clarity,operational_reporting,Data and Analytics,upgrade,shared analytics scope,Bridges,analytics modernization,VEND-HCDN-001,CONT-HCDN-0016
EPIC-HCDN-0015,Epic Clarity,operational_reporting,Data and Analytics,DR,primary hospital instance,SQL mart extract,current,VEND-HCDN-001,CONT-HCDN-0017
EPIC-HCDN-0016,Epic Caboodle,enterprise_analytics,Data and Analytics,production,ambulatory instance,FHIR/API,upgrade planned,VEND-HCDN-001,CONT-HCDN-0018
EPIC-HCDN-0017,Epic Caboodle,enterprise_analytics,Data and Analytics,training,health-plan scope,Chronicles,interface remediation,VEND-HCDN-001,CONT-HCDN-0019
EPIC-HCDN-0018,Epic Caboodle,enterprise_analytics,Data and Analytics,test,shared analytics scope,Clarity,analytics modernization,VEND-HCDN-001,CONT-HCDN-0020
